Lower Sorbian	Lower Sorbian	probability
ʨ	ʨ	1.0
ʒ	ʒ	1.0
ʑ	ʥ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʂ	ʀ	1.0
ɲ	ɲ	1.0
ɨ_m	ɔ_m	1.0
ɡ̊_#>	x_#>	1.0
ɡʲ	-	1.0
ɡ	ɦ	1.0
ɔ_k	ɔ_x	1.0
z̥	z̥	1.0
z	z	1.0
w_#>	w_#>	1.0
w	w	1.0
vʲ	ɥ	1.0
v	w	1.0
u	u	1.0
t͡ʂ	ʃ	1.0
t	t	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r	ʀ	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʲ	kʲ	1.0
j	j	1.0
f	w	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
#>	ɔ_#>	1.0
k	k	0.885
ɕ	ʨ	0.864
i	i	0.846
ɨ	ɪ	0.839
a	a	0.782
ɔ	ɔ	0.75
x	x	0.75
mʲ	mʲ	0.75
ɪ	e	0.737
<#	<#_w	0.7
ʦ	ʦ	0.556
e	ɛ	0.455
ɛ	ɔ	0.452
ʦ	ʧ	0.444
ɛ	ɛ	0.355
<#	<#_p	0.3
x	xʲ	0.25
mʲ	-	0.25
e	e	0.227
ɔ	o	0.173
ɨ	i	0.161
ɪ	a	0.158
i	-	0.154
ɕ	ʃ	0.136
e	-	0.136
ɛ	o	0.129
k	x	0.115
a	e	0.109
ɪ	ɛ	0.105
e	ɪ	0.091
e	a	0.091
ɔ	-	0.077
ɛ	-	0.065
a	ɛ	0.055
a	ɔ	0.055
