Aragonese	Aragonese	probability
θ_#>	z_e_#>	1.0
ˈe_ɾ	e_r	1.0
ˈe_ð	ˈe	1.0
ˈe_n	ŋ_t	1.0
ˈa	ˈa	1.0
ʝ	-	1.0
ʎ_a	a	1.0
ʃ	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_n	r_n	1.0
ɾ_a	r_a	1.0
ɾ_#>	r_#>	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
w_ˈa	w_ˈa	1.0
u	o	1.0
t_a	t_a	1.0
s_a	z_a	1.0
r	r	1.0
o_#>	#>	1.0
n_o_#>	ŋ_#>	1.0
n_#>	ŋ_#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_ʃ	s	1.0
j_t	t	1.0
j_#>	r_e_#>	1.0
j	j	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
#>	e_#>	1.0
p	p	0.913
a	a	0.906
ˈe	ˈe	0.897
t	t	0.889
m	m	0.864
s	s	0.862
ˈo	ˈo	0.826
ɣ	ɡ	0.818
o	o	0.812
j_ˈe	ˈɛ	0.8
n	n	0.769
ˈi	ˈi	0.75
ð	d	0.727
ɾ	r	0.724
θ	θ	0.722
ʧ	ð	0.714
β	v	0.706
l	l	0.692
ʎ	l	0.643
ɾ_o	r_o	0.625
ˈe_j	ˈɛ	0.6
<#_ɡ	<#_ɡ	0.571
w_ˈe	ˈo	0.526
ˈu	ˈu	0.5
ɲ	ɲ	0.5
ɲ	n	0.5
w	-	0.5
i	i	0.5
i	-	0.5
b	v	0.5
w_ˈe	ˈɔ	0.474
<#_ɡ	<#	0.429
b	b	0.423
ˈe_j	t	0.4
ɾ_o	r	0.375
e	e	0.364
ʎ	ʧ	0.357
β	-	0.294
ʧ	-	0.286
ˈu	ˈo	0.278
ð	-	0.273
w	ˈɔ	0.25
w	ˈo	0.25
e	-	0.242
l	j	0.231
j_ˈe	ˈe	0.2
ɣ	-	0.182
ˈo	ˈɔ	0.174
θ	z	0.167
ˈi	e	0.167
n	ŋ	0.154
e	ˈe	0.152
e	o	0.152
s	-	0.138
m	ŋ	0.136
o	-	0.125
θ	s	0.111
ˈu	ˈɔ	0.111
ˈu	-	0.111
t	-	0.111
ˈe	ˈɛ	0.103
ɾ	e	0.103
ɾ	-	0.103
e	i	0.091
p	-	0.087
ˈi	-	0.083
n	ŋ_t	0.077
l	-	0.077
b	-	0.077
ɾ	e_r	0.069
o	ŋ	0.062
a	ˈa	0.057
