Luxembourgish	Pennsylvania German	probability
b	b	1.0
d	d	0.961
d	t	0.044
e	ɪ	1.0
f	f	0.887
f	p	0.075
f	p͡f	0.034
h	h	1.0
j	j	1.0
k	k	0.744
k	-	0.149
k	ç	0.098
kʰ	kʰ	0.916
kʰ	ɡ	0.063
kʰ	-	0.038
l	l	0.953
l	ɣ_l	0.046
m	m	1.0
n	n	0.526
n	-	0.474
p	p	1.0
s	s	1.0
t	t	0.867
t	-	0.087
tʰ	d	0.494
v	ʋ	0.645
v	v	0.292
v	f	0.057
w	ʋ	1.0
z	s	0.919
z	ʃ	0.081
ŋ	ŋ	0.782
ŋ	ə	0.079
ŋ	-	0.065
ŋ	n	0.065
ɐ	ɑ	0.867
ɐ	ɾ_ə	0.048
ɐ	ɾ_ɪ	0.048
ɐ	-	0.039
ɕ	ç	0.842
ɕ	x	0.137
ɕ	k	0.035
ə	ə	0.613
ə	-	0.278
ə	ɪ	0.108
ɡ	ɡ	0.914
ɡ	-	0.082
ʀ	ɾ	0.859
ʀ	n	0.108
ʀ	-	0.038
ʃ	ʃ	0.973
ʃ	-	0.038
ʑ	j	0.494
ʦ	ʦ	0.82
ʦ	s	0.175
ˈaː	ˈa	0.447
ˈaː	ˈɔː	0.332
ˈaː	ˈaː	0.185
ˈaː	ˈaʊ̯	0.037
ˈe	ˈɪ	0.559
ˈe	ˈʊ	0.148
ˈe	ˈeː	0.108
ˈe	ˈaɪ̯	0.076
ˈe	ˈiː	0.074
ˈeː	ˈeː	0.669
ˈeː	j	0.109
ˈeː	ˈɔː	0.085
ˈeː	ˈɛ	0.064
ˈeː	ˈɔɪ̯	0.064
ˈeː_n	ˈeː	1.0
ˈi	ˈɪ	0.313
ˈi	ˈiː	0.273
ˈi	ˈeː	0.273
ˈi	ˈɛ	0.111
ˈiə̯	ˈɛ	0.843
ˈiə̯	ˈeː	0.132
ˈiː	ˈɛː	0.361
ˈiː	ˈɪ	0.267
ˈiː	ˈɛ	0.202
ˈiː	ˈaɪ̯	0.109
ˈo	ˈɔ	0.554
ˈo	ˈʊ	0.347
ˈo	ˈa	0.084
ˈoː	ˈoː	0.433
ˈoː	ˈɔː_ɣ	0.212
ˈoː	ˈɔː	0.184
ˈoː	ˈa	0.14
ˈu	ˈuː	0.377
ˈu	ˈʊ	0.296
ˈu	ˈɔː	0.105
ˈu	ˈɔ	0.105
ˈu	ˈa	0.076
ˈuə̯	ˈa	0.265
ˈuə̯	ˈɔː	0.231
ˈuə̯	ˈɔ	0.218
ˈuː	ˈaː	0.723
ˈuː	ˈʊ	0.205
ˈæ	ˈɛ	0.644
ˈæ	ˈa	0.241
ˈæɪ̯	ˈaɪ̯	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈɑ	ˈa	0.575
ˈɑ	ˈɪ	0.306
ˈɑ	ˈɔ	0.058
ˈɑ	ˈɔː	0.056
ˈɑɪ̯	ˈaɪ̯	0.859
ˈɑɪ̯	ˈʊ	0.098
ˈɔ	ˈʊ	0.366
ˈɔ	ˈaʊ̯	0.277
ˈə	ˈɪ	0.683
ˈə	ˈɛ	0.228
ˈə	ˈaɪ̯	0.082
ˈəɪ̯	ˈiː	0.423
ˈəɪ̯	ˈeː	0.344
ˈəɪ̯	ˈoː	0.125
ˈəɪ̯	ˈɛː	0.091
ˈəʊ̯	ˈoː	0.752
ˈəʊ̯	ˈuː	0.246
ˈɛ	ˈɛ	0.733
ˈɛ	ˈaɪ̯	0.265
ˈɛː	ˈɛː	0.74
ˈɛː	ˈɛ	0.194
ˈʊ	ˈuː	0.733
ˈʊ	ˈʊ	0.187
ˈʊɪ̯	ˈɔ	0.244
χ	x	0.778
χ	k	0.214
