Min Bei	Min Bei	probability
⁵⁴	⁵⁵	1.0
ʦ	ʦ	1.0
ɥ_ŋ	n	1.0
ɥ	-	1.0
ɔ_ŋ	a_ŋ	1.0
y_j	ɥ_a	1.0
u_j	a	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o	-	1.0
m	m	1.0
j_ŋ	n	1.0
a_j	ə	1.0
<#_x	<#	1.0
<#_l	<#_n	1.0
⁵⁵	²¹³	0.857
a	a	0.826
²⁴	²¹	0.812
ʦʰ	ʦʰ	0.8
³³	²¹	0.786
j	j	0.778
kʰ	kʰ	0.75
w	w	0.722
u	u	0.7
²¹	⁵³	0.697
ɔ	o	0.667
ŋ	n	0.639
⁴²	²¹	0.625
x	x	0.625
<#	<#_x	0.625
s	s	0.583
e	i	0.545
t	t	0.5
p	p	0.5
k	ʨ	0.455
i	z̩	0.429
s	ɕ	0.417
œ	y	0.4
œ	-	0.4
⁴²	²¹³	0.375
x	f	0.375
n	z	0.375
n	nʲ	0.375
<#	<#_n	0.375
k	k	0.364
i	i	0.357
²¹	²¹	0.303
u	ə_w	0.3
t	ʦ	0.3
p	f	0.3
y	u	0.294
ŋ	ŋ	0.278
e	ə_w	0.273
n	-	0.25
kʰ	ʨʰ	0.25
ɛ	ɛ	0.235
ɛ	j	0.235
ɛ	-	0.235
y	y	0.235
y	w	0.235
j	-	0.222
³³	²¹³	0.214
i	j_ɛ	0.214
ʦʰ	ʨʰ	0.2
ɔ	ə	0.2
œ	ɚ	0.2
t	ʦʰ	0.2
p	pʰ	0.2
²⁴	ɛ_²¹	0.188
k	-	0.182
e	ə	0.182
ɛ	a_j	0.176
w	a	0.167
⁵⁵	⁵³	0.143
ɔ	a	0.133
ɛ	e	0.118
y	ɥ	0.118
y	-	0.118
w	-	0.111
a	j_a	0.087
a	-	0.087
ŋ	-	0.083
