Pennsylvania German	Yiddish	probability
b	b	1.0
d	t	0.634
d	d	0.335
eː	n	1.0
f	f	0.976
h	h	0.983
j	j	0.554
j	ə	0.277
j	ɡ	0.17
k	k	0.687
k	ɡ	0.313
kʰ	k	0.989
l	l	1.0
m	m	0.961
n	n	0.902
n	ʀ_n	0.071
p	b	0.798
p	p	0.202
p͡f	f	1.0
s	z	0.569
s	s	0.412
t	t	0.774
t	d	0.224
v	b	0.757
v	v	0.243
x	χ	1.0
ç	χ	0.667
ç	k	0.215
ç	ɡ	0.078
ŋ	ŋ	1.0
ɑ	ə	0.543
ɑ	ʀ	0.457
ə	n	0.686
ə	ə	0.186
ə	-	0.061
ɡ	ɡ	0.904
ɡ	k	0.096
ɣ	ɡ	1.0
ɪ	ɪ	0.547
ɪ	-	0.273
ɪ	ə	0.115
ɪ	ɛ	0.065
ɾ	ʀ	1.0
ʃ	ʃ	0.829
ʃ	s	0.151
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.815
ˈa	ˈɔ	0.141
ˈaɪ̯	ˈaɪ̯	0.913
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaː	ˈɔ	0.507
ˈaː	ˈa	0.348
ˈaː	ˈʊ	0.145
ˈeː	ˈɛɪ̯	0.6
ˈeː	ˈɛ	0.363
ˈiː	ˈɪ	0.928
ˈiː	ˈaɪ̯	0.072
ˈoː	ˈɔɪ̯	0.529
ˈoː	ˈɔ	0.401
ˈoː	ˈʊ	0.07
ˈuː	ˈʊ	1.0
ˈɔ	ˈɔ	0.746
ˈɔ	ˈɔɪ̯	0.181
ˈɔ	ˈʊ	0.073
ˈɔɪ̯	ˈɛɪ̯	1.0
ˈɔː	ˈɔ	0.434
ˈɔː	ˈɔɪ̯	0.415
ˈɔː	ˈa	0.151
ˈɛ	ˈɛ	0.896
ˈɛ	ˈa	0.078
ˈɛː	ˈɛ	0.454
ˈɛː	ˈa	0.408
ˈɛː	ˈɪ	0.102
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	0.87
ˈʊ	ˈɔ	0.076
ˈʊ	ˈɔɪ̯	0.054
