Franco-Provençal	Franco-Provençal	probability
ˈɛ_t	ˈi_k	1.0
ˈɑː	ˈa	1.0
ˈy	ˈu_β	1.0
ˈo_#>	ˈɔ_j_z_ɔ̆_#>	1.0
ˈo	ˈu	1.0
ˈe_ʁ	ˈɛ_ɾ	1.0
ʦ	t	1.0
ɛ̃	n_ʣ	1.0
ɛ	i	1.0
ɔ̃	-	1.0
ɔ	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	-	1.0
y	-	1.0
u	-	1.0
p	p	1.0
n	n	1.0
m	m	1.0
j_ˈe	ˈɛ	1.0
ĩ	i_m	1.0
a_ð	a_ɾ	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈa	1.0
b	b	0.875
t	t	0.867
ˈa	ˈa	0.857
f	f	0.852
k	k	0.8
d	d	0.8
ʁ	ɾ	0.765
e	i_s	0.75
ˈaː	ˈa	0.714
v	b	0.679
ˈĩ	ˈi_n	0.667
ʃ	k	0.667
s	s	0.618
ˈø	ˈu	0.6
ʒ	d	0.6
ɡ	b	0.6
o	u	0.579
ˈoː	ˈɔ	0.556
ʎ	ʣ	0.556
ˈɑ̃	ˈa_n	0.545
ˈu	ˈu	0.545
#>	u_#>	0.521
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
i	i	0.5
i	a	0.5
ˈi	ˈi	0.471
l	l	0.457
ˈø	ˈɔ	0.4
ʒ	-	0.4
ɲ	n_ʣ	0.4
ɲ	n	0.4
ɡ	ɡ	0.4
ð	ɾ	0.389
ˈɔ̃	ˈɔ_n	0.364
ə	a	0.364
#>	ɛ_#>	0.359
ˈɛ̃	ˈɛ_n	0.333
ˈɛ̃	ˈe_n	0.333
ˈɛ̃	n	0.333
ˈĩ	n	0.333
ə	ɛ	0.333
j	ɾ	0.333
j	-	0.333
o	ɛ	0.316
w	ˈu	0.304
ˈe	ˈa	0.303
ˈaː	ð_ɛ	0.286
ˈɔ̃	n	0.273
ˈɑ̃	ˈa_m	0.273
ˈu	ˈɔ	0.273
ˈɛ	ˈi	0.267
ˈɛ	ˈe	0.267
ˈɛ	-	0.267
w	ˈɔ	0.261
e	-	0.25
ˈɛː	ˈɛ	0.238
ˈi	ˈɛ	0.235
ˈoː	ˈu	0.222
ˈoː	ˈo	0.222
ʎ	u	0.222
ʎ	j_u	0.222
ð	b	0.222
w	ˈo	0.217
w	-	0.217
ˈe	ˈi	0.212
s	k	0.206
ˈɛ	ˈɛ	0.2
ɲ	ɲ	0.2
k	-	0.2
d	-	0.2
ˈɛː	ˈi	0.19
ˈɛː	-	0.19
ˈɔ̃	ˈɔ	0.182
ˈɔ̃	ŋ	0.182
ˈɑ̃	nː	0.182
ˈu	ˈo	0.182
v	-	0.179
ˈi	ˈi_ɛ	0.176
l	ɾ	0.171
l	ɖː	0.171
ð	ɣ	0.167
j	ˈu	0.167
j	j	0.167
ˈe	ɛ	0.152
f	-	0.148
ˈɛː	ˈi_ɛ	0.143
ˈɛː	ˈe	0.143
ˈa	ɣ	0.143
ʃ	ɣ_ɛ	0.143
v	β	0.143
t	s_t	0.133
b	-	0.125
ˈe	ˈɛ	0.121
ˈe	ˈe	0.121
ə	ɛ_ɾ	0.121
ˈi	ɛ	0.118
s	ʦ	0.118
ð	r	0.111
ð	-	0.111
o	-	0.105
ʁ	ɛ_ɾ	0.098
ˈɛː	ˈi_t	0.095
ʃ	z	0.095
ʃ	k_ˈa	0.095
ˈe	-	0.091
ə	u	0.091
ə	-	0.091
l	u	0.086
#>	ɾ_ɛ_#>	0.068
ʁ	r	0.059
s	-	0.059
l	ˈi	0.057
l	-	0.057
#>	a_#>	0.051
