Gascon	Gascon	probability
ˈɛ_ʦ	i	1.0
ˈɛ_t	o	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_j	ɛ	1.0
ˈɛ_#>	j_e_#>	1.0
ˈɔ_s	o	1.0
ˈɔ_r	ɔ	1.0
ˈɔ_k	ø	1.0
ˈy_n	w_ɛ̃	1.0
ˈu_ʦ	w	1.0
ˈu_ŋ	ɔ̃	1.0
ˈu_t	u	1.0
ˈu_n	ɔ̃	1.0
ˈi_ŋ	ɛ̃	1.0
ˈi_z	i	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈe_ʎ	j	1.0
ˈe_n	ɑ̃	1.0
ˈa_ð	e	1.0
ˈa_w	o	1.0
ˈa_r	ɛ_ʁ	1.0
ˈa_j	ɛ	1.0
ˈa_#>	e_#>	1.0
ʦ	-	1.0
ʒ	ʒ	1.0
ɾ_ˈe	ʁ_w	1.0
ɾ_ɔ	l	1.0
ɔ_#>	#>	1.0
ɔ	n	1.0
ð_e	a_ʁ	1.0
ð	-	1.0
z	z	1.0
y	-	1.0
t_ɔ_#>	t_#>	1.0
s_t	t	1.0
s_#>	#>	1.0
s	s	1.0
nː	m	1.0
n_ɔ	n	1.0
n_#>	#>	1.0
mː	m	1.0
m_#>	#>	1.0
k_a	ʃ	1.0
k_#>	#>	1.0
i_#>	#>	1.0
h	f	1.0
f	f	1.0
d	d	1.0
b_ˈa	b	1.0
<#_ˈy	<#	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e_s	<#_e	1.0
<#_a_r	<#_ʁ	1.0
p	p	0.939
l	l	0.929
r	ʁ	0.9
ɾ	ʁ	0.886
m	m	0.867
ɡ	ɡ	0.833
ʎ	j	0.8
ˈɔ	ɔ	0.714
ˈi	i	0.696
ˈy	y	0.667
ŋ	ɛ̃	0.667
j_#>	#>	0.667
w_#>	l_#>	0.636
ˈɛ	ɛ	0.625
<#_a	<#_a	0.625
ˈu	u	0.611
ʃ	s	0.6
i	i	0.6
<#_ˈa	<#_a	0.6
<#_e	<#_e	0.6
b	v	0.594
a	a	0.588
e_#>	ʁ_#>	0.577
k	k	0.571
β	v	0.556
ɲ	ɛ̃	0.556
w_ˈe	œ	0.556
n	ɑ̃	0.556
ˈa_ŋ	ɛ̃	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
t	t	0.5
j_t_#>	i_#>	0.5
j_t_#>	#>	0.5
ɲ	ɲ	0.444
w_ˈe	ɥ	0.444
n	n	0.444
k	ʃ	0.429
e	-	0.429
e_#>	#>	0.423
t	-	0.417
b	b	0.406
ʃ	t	0.4
u	u	0.4
i	-	0.4
<#_ˈa	<#	0.4
<#_e	<#	0.4
<#_a	<#	0.375
w_#>	#>	0.364
j	ɛ	0.357
e	ə	0.357
w	-	0.353
ˈa_ŋ	ɑ̃	0.333
ŋ	ɔ̃	0.333
u	ɔ	0.333
j_#>	a_#>	0.333
#>	ʁ_#>	0.333
ˈa	a	0.324
ˈɔ	œ	0.286
j	i	0.286
u	-	0.267
#>	a_#>	0.267
ˈe	ɛ	0.265
ˈe	w_a	0.235
w	ɔ	0.235
w	f	0.235
a	-	0.235
β	b	0.222
ˈy	ɥ	0.222
j	a	0.214
e	w_a	0.214
ˈa	ɛ	0.206
ʎ	-	0.2
ˈɛ	j_ɛ	0.188
ˈɛ	-	0.188
ˈa	e	0.176
w	ø	0.176
a	ɛ	0.176
ˈu	ɔ	0.167
ˈa_ŋ	ɛ_n	0.167
ɡ	ʒ	0.167
ˈe	w	0.147
j	-	0.143
m	-	0.133
#>	n_#>	0.133
#>	i_#>	0.133
#>	e_#>	0.133
ˈi	-	0.13
ˈe	-	0.118
ɾ	-	0.114
β	ʁ	0.111
β	-	0.111
ˈy	w	0.111
ˈu	œ_ʁ	0.111
ˈu	ø	0.111
r	ɛ_ʁ	0.1
ˈe	j	0.088
ˈe	i	0.088
ˈi	ɛ̃	0.087
ˈi	e	0.087
t	ʁ	0.083
l	-	0.071
p	-	0.061
ˈe	ɑ̃	0.059
ˈa	ɛ̃	0.059
ˈa	ɛ_ʁ	0.059
ˈa	ɑ̃	0.059
ˈa	œ	0.059
ˈa	-	0.059
