Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	ˈɘ̟	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈɘ̟	1.0
ˈɛːi̯_#>	ˈai̯_#>	1.0
ˈɔu̯	ˈɑi̯	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈʏ	1.0
ˈœi̯	ˈɑi̯	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈuː	ˈɑi̯	1.0
ˈu	ˈu	1.0
ʃ	ʃ	1.0
ʀ_t	ʦ	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ̊	ɡ̊	1.0
ɡ	ˈi̯ø	1.0
ə_ɣ̊	ɪ_k	1.0
ə_v̥	f	1.0
ə_m	m	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_ˈɛ	z	1.0
x	x	1.0
w	w	1.0
v_ə	n	1.0
s_t	ʃ_t	1.0
p_ə	f_a	1.0
p_#>	f_#>	1.0
p	p	1.0
m	m	1.0
l_ə	l	1.0
l_#>	w_#>	1.0
j_ə	t_ɛ	1.0
i_n	ɑ	1.0
d̥_#>	t_#>	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
l	w	0.885
n	n	0.875
v	f	0.828
ˈiː	ˈai̯	0.778
ʀ	r	0.737
z	z	0.737
ɣ	ɡ	0.722
ˈɛː	ˈa	0.692
ˈɔː	ˈu	0.667
ˈøː	ˈi	0.667
ˈɛ	ˈɘ̟	0.6
ˈɑ	ˈɑ	0.6
s	ʃ	0.588
ˈoː	ˈʏ	0.571
k	k	0.533
ˈɪ	ˈɛ	0.5
ˈɪ	ˈɘ̟	0.5
ˈɔ	ˈu	0.5
ˈɔ	-	0.5
ˈɒː	ˈø	0.5
ˈœ	ˈɘ̟	0.5
ˈœ	-	0.5
ˈaː	ˈɑ	0.5
v̥	f	0.5
v̥	b̥	0.5
#>	t_#>	0.478
ˈʊː	ˈu	0.467
ə	a	0.46
j	-	0.444
t	ʦ	0.433
t	s	0.433
ˈoː	ˈu	0.429
ˈʊː	ˈʏ	0.4
ˈɛ	ˈa	0.4
ˈi	ˈei̯	0.375
ˈi	-	0.375
ˈeː	ˈi	0.37
ˈɔː	ˈɑi̯	0.333
ˈøː	-	0.333
j	w	0.333
ˈɒː	ˈɔ	0.3
z	ʃ	0.263
#>	a_#>	0.261
ˈeː	ˈɑ	0.259
ˈeː	-	0.259
ˈi	ˈɘ̟	0.25
ˈaː	ˈɔ	0.25
ə	ɛ	0.24
s	s	0.235
k	x	0.233
ˈiː	-	0.222
j	j	0.222
ˈɒː	-	0.2
ˈɑ	ˈɔ	0.2
ˈɑ	-	0.2
ʀ	-	0.193
#>	ə_#>	0.174
ɣ	-	0.167
ˈɛː	ˈɘ̟	0.154
ˈɛː	-	0.154
ˈʊː	-	0.133
t	t	0.133
k	ç	0.133
ˈaː	ˈɔ_w	0.125
ˈaː	-	0.125
s	k_s	0.118
l	l	0.115
ɣ	ɟ	0.111
v	v	0.103
#>	x_#>	0.087
ə	n	0.08
n	-	0.075
ˈeː	ˈa	0.074
ʀ	ɛ_r	0.07
v	ˈei̯_v	0.069
k	ɡ̊	0.067
ə	ə_n	0.06
ə	ə	0.06
ə	-	0.06
s	ʧ	0.059
