Occitan	Italian	probability
a	a	0.772
a	-	0.127
a	ˈa	0.055
a_s	e	1.0
b	b	0.908
b	m	0.059
b	-	0.052
d	d	0.927
d	-	0.073
e	e	0.375
e	o	0.226
e	-	0.168
e	i	0.133
f	f	0.948
f	ʤ	0.052
i	o	0.507
i	i	0.485
j	-	0.453
j	ʃ	0.201
j	j	0.179
j	t	0.081
j	e	0.07
j_ˈe	ˈi	1.0
j_ˈɛ	ˈɛ	1.0
k	k	0.791
k	k_o	0.112
k	ɡ_o	0.051
l	l	0.687
l	j	0.242
l	-	0.062
m	m	0.902
m	-	0.065
n	n	0.775
n	n_t	0.128
n	-	0.058
p	p	0.977
r	r	0.814
r	r_o	0.066
r	r_n	0.064
r	-	0.051
s	s	0.586
s	-	0.132
s	ʧ	0.131
s	ʃ	0.054
t	t	0.801
t	-	0.125
u	o	0.633
u	ˈo	0.163
u	e	0.15
u	ˈɔ	0.054
v	v	1.0
w	o	0.273
w	v_e	0.143
w	e	0.127
w	v_o	0.102
w	l	0.092
w	-	0.08
w	j	0.08
y	u	1.0
z	-	0.231
z	ʧ	0.231
z	z	0.132
z	ʤ	0.132
z	d	0.13
z	k	0.098
ð	t	0.936
ð	d	0.069
ŋ	ŋ	1.0
ɔ	a	0.898
ɡ	ɡ	0.873
ɡ	ʤ	0.126
ɣ	ɡ	0.403
ɣ	k	0.38
ɣ	-	0.094
ɣ	r	0.094
ɥ	w	0.44
ɥ	ˈo	0.187
ɥ	-	0.134
ɥ	ˈu	0.096
ɥ	ˈɔ	0.096
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲ	0.931
ɲ	ʤ	0.071
ɾ	r	0.876
ɾ	-	0.088
ʎ	ʎ	0.433
ʎ	k	0.184
ʎ	ʣ	0.184
ʎ	-	0.131
ʒ	ʤ	0.807
ʒ	j	0.188
ʤ	b	0.251
ʤ	ʤ	0.251
ʤ	d	0.15
ʤ	s	0.15
ʤ	ɡ	0.103
ʦ	ʧ_e	0.451
ʦ	ʦ	0.436
ʦ	ʧ	0.092
ʧ	t	0.761
ʧ	ʣ	0.119
ʧ	ʤ	0.094
ˈa	ˈa	0.756
ˈa	ˈa_r	0.152
ˈa_w	ˈɔ	1.0
ˈe	ˈe	0.786
ˈe	ˈɛ	0.062
ˈe	ˈe_ɲ	0.056
ˈe_j	ˈi	0.519
ˈi	ˈi	0.864
ˈi	ˈu	0.078
ˈu	ˈo	0.756
ˈu	ˈu	0.171
ˈu	ˈɔ_k	0.058
ˈy	ˈu	0.72
ˈy	ˈu_r	0.115
ˈy	ˈe	0.052
ˈɔ	ˈɔ	0.902
ˈɔ	ˈo	0.066
ˈɛ	ˈɛ	0.771
ˈɛ	ˈe	0.099
ˈɛ	-	0.054
β	b	0.301
β	v	0.278
β	p	0.247
β	p_e	0.084
β	-	0.063
