Pennsylvania German	Pennsylvania German	probability
ˈɪ_ç	ˈeː	1.0
ˈɔɪ̯	ˈɛ_ɡ̊ː	1.0
ˈeː_ɑ	ˈɛːa̯_ɹ	1.0
ˈa_x	ˈɔ	1.0
ɪ	ŋ	1.0
ɣ	ɡ̊	1.0
ɡ̊_#>	#>	1.0
ɡ̊	-	1.0
ə_#>	#>	1.0
ɑ_n	t͡n̥	1.0
ɑ_d̥	ˈøː_ɹ	1.0
ŋ_k	ʰk	1.0
ç_t	ʰt_ʊ	1.0
s_ə	t_a	1.0
s_ɑ	ʰt͡n̥	1.0
p	ʰp	1.0
n_s	sː	1.0
l_d̥	t͡l̥	1.0
j	-	1.0
eː	a_n	1.0
d̥_#>	#>	1.0
d_ɑ	ɪ_ɹ	1.0
<#_ˈɛ	<#	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
<#	<#_v	1.0
b	b̥	0.95
h	h	0.905
ɡ	ɡ̊	0.846
ʋ	v	0.821
ɾ	ɹ	0.818
m	m	0.786
t	t	0.727
l	l	0.727
ˈaː	ˈɔ	0.714
ə	a	0.7
b̥	v_ʊ	0.667
ˈaɪ̯	ˈʊ̯iː	0.65
d̥	d̥	0.643
ˈaʊ̯	ˈʉːu̯	0.636
f	f	0.633
ˈɛː	-	0.6
s	s	0.595
ʃ	s	0.593
ˈʊ	ˈʊ	0.588
ˈɪ	ˈɪ	0.577
#>	ʊ_ɹ_#>	0.557
ˈoː	ˈɔ̯aː	0.556
ŋ	ŋ_ɡ̊	0.556
ʦ	tʰ	0.545
ˈuː	ˈɔːu̯	0.5
ç	k	0.5
x	k	0.5
x	-	0.5
d	tʰ	0.5
k	kʰ	0.462
ˈɔ	-	0.455
ˈa	ˈa	0.423
ˈɛː	j_ˈœ	0.4
n	n	0.375
ˈɛ	ˈɛ	0.368
ˈɔ	ˈʊ	0.364
ˈiː	ˈɔːu̯	0.333
ŋ	ŋ	0.333
b̥	-	0.333
ˈɔː	ˈɛːa̯	0.316
ˈeː	ˈai̯	0.316
k	-	0.308
ˈuː	-	0.3
ˈʊ	-	0.294
ˈaː	ˈa_ɹ	0.286
ʦ	-	0.273
t	ʰt	0.273
ˈa	ˈɛːa̯	0.269
ˈiː	ˈøː	0.25
ˈiː	-	0.25
ˈaɪ̯	-	0.25
ç	ɹ	0.25
ç	ɡ̊_ʊ	0.25
ˈɪ	-	0.231
ˈoː	ˈɛːi̯	0.222
ˈoː	-	0.222
ʃ	ʃ	0.222
ɑ	ɹ	0.222
n	nː	0.219
s	t	0.216
#>	ɹ_#>	0.216
d̥	ɹ	0.214
ˈɛ	ˈeː	0.211
ˈɛ	-	0.211
ˈɔː	ˈɛːi̯	0.211
ˈeː	ˈaːi̯	0.211
ˈeː	-	0.211
ˈuː	ˈɛ_ɡ̊	0.2
ˈɪ	ˈiː	0.192
ʃ	s_k	0.185
ˈɔ	ˈœ	0.182
ˈaʊ̯	ˈɪ_ɡ̊	0.182
ˈaʊ̯	-	0.182
ʦ	ʈ	0.182
#>	a_#>	0.17
ˈiː	ˈʉːu̯	0.167
f	p	0.167
d	w	0.167
d	-	0.167
ˈɔː	ˈɔ̯aː	0.158
ˈɔː	ˈa	0.158
ˈɔː	-	0.158
ˈeː	ˈɛ	0.158
n	-	0.156
ɡ	ʤ̊	0.154
k	k	0.154
l	t͡l̥	0.152
ɑ	ʊ	0.148
ɑ	ɹ_ʊ	0.148
ɑ	ɪ_ɹ	0.148
d̥	j_ʊ	0.143
s	ʰt	0.135
f	v	0.133
n	n_d̥	0.125
l	l̥	0.121
ˈʊ	ˈɔːu̯	0.118
ˈa	ˈɔ	0.115
ˈa	-	0.115
ɑ	ɹ_a	0.111
ŋ	ɲ	0.111
ʋ	kʰ_v	0.107
ˈɛ	ˈɔ	0.105
ˈɛ	ˈiː	0.105
ˈeː	ˈɔ̯aː	0.105
ˈaɪ̯	ˈʊ	0.1
h	-	0.095
ɾ	ɹ_ˈɛːa̯	0.091
ɾ	-	0.091
d	ʧʰ	0.083
d	ʤ̊	0.083
ˈa	ˈɛ	0.077
k	ʰʧ	0.077
ɑ	ɹ_ɪ	0.074
ɑ	ɡ̊_ʊ	0.074
ɑ	a_ɹ	0.074
ʋ	-	0.071
m	ɹ	0.071
m	mː	0.071
m	-	0.071
f	ʰp	0.067
n	ʤ̊ː	0.062
n	t͡n̥	0.062
s	ʃ	0.054
