Piedmontese	Romansch	probability
ˈɛ_l	ˈɛː	1.0
ˈə	e	1.0
ˈu_n	ˈuː_n	1.0
ˈu_j	ˈu_s	1.0
ɲ	ɲ	1.0
ŋ_ɡ	ŋ	1.0
y	i	1.0
t_a	t_ə	1.0
s_ˈa	s	1.0
s_i	ʧ	1.0
r_t	r_t	1.0
r_a	r_ə	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_a	l_ə	1.0
j_t	ʨ	1.0
f	f	1.0
dː	z_ˈa	1.0
a	ə	0.953
t	t	0.923
ŋ	n	0.904
v	v	0.829
b	b	0.787
n	n	0.784
d	d	0.765
ˈu	ˈu	0.758
l	l	0.752
z	ʃ	0.712
w	w	0.706
k	ʨ	0.642
ɡ	ɡ	0.623
s	s	0.583
i	e	0.571
ʧ	ʧ	0.5
ʧ	k_l	0.5
ə	ə	0.5
ə	r	0.5
i	i	0.429
ˈa	ˈa	0.424
ˈi	ˈiː	0.421
ʤ	ʃ	0.419
e	ə	0.415
ʤ	ʥ	0.387
ˈe	ˈaː_r	0.382
ɡ	-	0.377
ˈy	ˈiː	0.368
j	j	0.365
ˈɛ	ˈɛ	0.364
u	u	0.36
u	o	0.359
k	k	0.358
ˈi	ˈi	0.353
ˈy	ˈu	0.338
ˈø	-	0.336
ˈy	ˈi	0.294
w	-	0.294
ˈɔ	ˈɔː	0.289
z	-	0.288
u	-	0.281
j	l	0.265
j	ʎ	0.257
ˈɛ	ˈa	0.25
l	l_j	0.248
e	ə_r	0.238
d	-	0.235
ˈa	ˈaː	0.224
n	-	0.216
b	v	0.213
ˈe	ˈa_j	0.211
ˈø	ˈɔ	0.198
ˈɔ	ˈɔ	0.197
ʤ	ɡ_l	0.194
ˈa	ˈɔ	0.188
e	e	0.188
s	ʧ	0.187
ˈø	ˈo	0.181
s	ʃ	0.167
ˈe	ˈa	0.165
ˈɔ	-	0.164
ˈa	ˈa_w	0.164
e	r	0.159
ˈø	ˈɛ	0.156
ˈu	ˈuː	0.156
v	w	0.152
ˈɔ	ˈu	0.146
ˈɔ	ˈa_w	0.146
ˈɛ	ˈɛː	0.145
ˈi	ˈɛ	0.141
ˈø	ˈɔː	0.128
ˈe	ˈeː	0.101
ˈe	-	0.1
ˈɛ	ˈe	0.096
ŋ	ŋ	0.096
ˈi	-	0.085
t	-	0.077
ˈɛ	ˈiə̯	0.073
ˈɛ	-	0.073
j	-	0.064
s	ʦ	0.062
ˈɔ	w	0.058
ˈu	-	0.052
