North Frisian	Swiss German	probability
ˈɛː	ˈæ	1.0
ˈɛ	ˈyə̯	1.0
ˈɔ	ˈo	1.0
ˈiː_ə	ˈeː	1.0
ˈiː_nʲ_#>	ˈæi̯_#>	1.0
ˈai̯	ˈi	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɡ	ɡ̊	1.0
ə_v	b̥	1.0
ə_#>	#>	1.0
z_ə	s	1.0
z	sː	1.0
x	χ	1.0
tʲ	sː	1.0
r_#>	#>	1.0
r	r	1.0
p_ə	f_ə	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
nʲ	ŋ	1.0
n_#>	#>	1.0
lʲ	l	1.0
j_ˈa	ˈæ	1.0
j_ə	ɡ̊	1.0
i	i	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b̥	1.0
<#_t	<#_d̥	1.0
<#_r	<#_r	1.0
l	l	0.952
n	n	0.939
m	m	0.909
ə	ə	0.847
ŋ	ŋ	0.8
k	χ	0.8
v	ʋ	0.75
dʲ	t	0.75
ˈɒ	ˈɒ	0.714
d	t	0.677
ˈøː	ˈuː	0.667
ˈi	ˈiː	0.667
ˈeː	ˈæ	0.667
ˈa	ˈi	0.667
ˈʊ	ˈu	0.6
ˈɛi̯	ˈɒː	0.6
ˈyː	ˈuː	0.6
ˈɒː	ˈɒ	0.571
s	s	0.571
t	t	0.512
ˈœ	ˈuə̯	0.455
j	ɡ̊	0.444
ˈɒː	ˈɒː	0.429
<#	<#_ɡ̊	0.429
ˈɛi̯	ˈæ	0.4
ˈyː	ˈoː	0.4
t	ʦ	0.39
ˈuː	ˈau̯	0.385
#>	ə_#>	0.382
ˈœ	ˈɒ	0.364
ˈøː	ˈo	0.333
ˈi	ˈi	0.333
ˈeː	ˈɒː	0.333
ˈa	ˈu	0.333
j	-	0.333
s	ʃ	0.327
ˈiː	ˈyː	0.316
ˈuː	ˈɒ	0.308
ˈuː	ˈoː	0.308
#>	ɡ̊_#>	0.294
ˈɒ	ˈæi̯	0.286
<#	<#_ʋ	0.286
<#	<#_d̥	0.286
ˈiː	ˈæi̯	0.263
ˈɔː	ˈɒː	0.25
ˈɔː	ˈɒ	0.25
ˈɔː	ˈo	0.25
ˈɔː	ˈi	0.25
dʲ	d̥	0.25
j	l	0.222
ŋ	ɡ̊	0.2
k	k	0.2
ˈœ	ˈo	0.182
#>	d̥_#>	0.147
v	b̥	0.143
ˈʊ	ˈɒ	0.133
ˈʊ	ˈæ	0.133
ˈʊ	ˈi	0.133
d	d̥	0.129
v	-	0.107
ˈiː	ˈøː	0.105
ˈiː	ˈiː	0.105
ˈiː	ˈiə̯	0.105
ˈiː	ˈeː	0.105
t	sː	0.098
d	tː	0.097
d	sː	0.097
m	mː	0.091
ə	d̥_ə	0.085
s	χ	0.061
n	nː	0.061
#>	t_#>	0.059
#>	r_#>	0.059
#>	i_#>	0.059
