Yiddish	Afrikaans	probability
b	b	0.668
b	f	0.136
b	-	0.107
b	v	0.085
d	d	0.42
d	-	0.293
d	t	0.28
f	f	0.74
f	p	0.259
h	ɦ	0.92
h	k	0.078
j	j	1.0
k	k	0.68
k	χ	0.235
k	ɦ	0.052
k	ŋ	0.05
k_s	s	1.0
l	ɫ	0.76
l	l	0.23
m	m	0.935
m	n	0.064
m_ɛ	m	1.0
n	n	0.626
n	-	0.36
p	p	0.53
p	f	0.425
s	t	0.767
s	s	0.21
s_n	t	1.0
t	t	0.412
t	d	0.309
t	-	0.272
v	v	0.697
v	w	0.22
v	-	0.077
z	s	1.0
ŋ	ŋ	0.683
ŋ	n	0.232
ŋ_ɡ	ŋ	1.0
ə	-	0.531
ə	ə	0.462
ɛ	-	0.514
ɛ_m	m	1.0
ɡ	χ	0.675
ɡ	-	0.199
ɡ	ŋ	0.059
ɡ	k	0.057
ɡ_l	ɫ	1.0
ɪ	ə	1.0
ʀ	r	0.959
ʀ	-	0.041
ʁ	r	0.74
ʁ	-	0.148
ʃ	s	0.804
ʃ	s_k	0.194
ʎ	ɫ	0.514
ʦ	t	1.0
ʧ	s	1.0
ˈa	ˈa	0.758
ˈa	ˈɑː	0.141
ˈa	ˈɪ	0.041
ˈa	ˈæ	0.04
ˈa	ˈæː	0.04
ˈa_l	ˈœu̯	1.0
ˈaɪ̯	ˈəɪ̯	0.483
ˈaɪ̯	ˈi	0.176
ˈaɪ̯	ˈə	0.141
ˈaɪ̯	ˈœɪ̯	0.102
ˈaɪ̯	ˈœi̯	0.081
ˈaɪ̯_ə	ˈyː	1.0
ˈi	ˈʊə̯	0.136
ˈɔ	ˈɑː	0.352
ˈɔ	ˈɔ	0.182
ˈɔ	ˈa	0.148
ˈɔ	ˈʊə̯	0.088
ˈɔ	ˈɪø̯	0.064
ˈɔɪ̯	ˈʊə̯	0.684
ˈɔɪ̯	ˈœɪ̯	0.187
ˈɔɪ̯	ˈɔ	0.054
ˈɔɪ̯	ˈoːi̯	0.05
ˈɔɪ̯	ˈœu̯	0.043
ˈɛ	ˈɪə̯	0.328
ˈɛ	ˈɑː	0.194
ˈɛ	ˈɛ	0.142
ˈɛ	ˈi	0.085
ˈɛ	ˈʊə̯	0.085
ˈɛɪ̯	ˈɪə̯	0.459
ˈɛɪ̯	ˈəɪ̯	0.264
ˈɛɪ̯	w	0.14
ˈɛɪ̯	ˈʊə̯	0.109
ˈɪ	ˈə	0.428
ˈɪ	ˈi	0.178
ˈɪ	ˈɛ	0.113
ˈɪ	ˈu	0.096
ˈɪ	ˈɪə̯	0.065
ˈɪ_n	ˈəɪ̯	1.0
ˈʊ	ˈɔ	0.472
ˈʊ	ˈu	0.271
ˈʊ	ˈʊə̯	0.055
ˈʊ	ˈuːi̯	0.055
ˈʊ	ˈuː	0.055
ˈʊ_k	ˈɔ	0.264
χ	χ	0.6
χ	k	0.317
χ	-	0.069
