Yiddish	Afrikaans	probability
a	-	1.0
b	b	0.627
b	f	0.209
b	-	0.103
b	v	0.061
d	d	0.491
d	t	0.285
d	-	0.224
f	f	0.695
f	p	0.268
h	ɦ	0.973
j	j	1.0
k	k	0.692
k	χ	0.189
k	-	0.086
l	ɫ	0.963
m	m	0.981
n	n	0.843
n	-	0.14
p	p	0.859
p	f	0.141
s	t	0.764
s	s	0.236
t	t	0.634
t	d	0.3
t	-	0.065
v	v	0.793
v	w	0.16
z	s	1.0
ŋ	ŋ	0.919
ŋ	n	0.081
ə	ə	0.484
ə	-	0.467
ɛ	-	1.0
ɡ	χ	0.669
ɡ	-	0.21
ɡ	ŋ	0.08
ɪ	ə	1.0
ʀ	r	0.931
ʀ	-	0.069
ʃ	s	1.0
ʦ	t	1.0
ʧ	s	1.0
ˈa	ˈa	0.741
ˈa	ˈɑː	0.075
ˈa	ˈæː	0.061
ˈa	ˈœu̯	0.053
ˈaɪ̯	ˈəɪ̯	0.472
ˈaɪ̯	ˈi	0.179
ˈaɪ̯	ˈə	0.088
ˈaɪ̯	ˈœɪ̯	0.077
ˈaɪ̯	ˈɪə̯	0.075
ˈaɪ̯	ˈyː	0.067
ˈɔ	ˈɑː	0.33
ˈɔ	ˈʊə̯	0.168
ˈɔ	ˈɔ	0.16
ˈɔ	ˈa	0.114
ˈɔ	ˈɛː	0.052
ˈɔɪ̯	ˈʊə̯	0.582
ˈɔɪ̯	ˈœɪ̯	0.247
ˈɔɪ̯	ˈɔ	0.077
ˈɛ	ˈɪə̯	0.214
ˈɛ	ˈɑː	0.183
ˈɛ	ˈʊə̯	0.141
ˈɛ	ˈi	0.119
ˈɛ	ˈɛ	0.094
ˈɛ	ˈæ	0.088
ˈɛ	ˈa	0.082
ˈɛ	ˈæː	0.052
ˈɛɪ̯	ˈɪə̯	0.444
ˈɛɪ̯	ˈəɪ̯	0.227
ˈɛɪ̯	w	0.128
ˈɛɪ̯	ˈɑː	0.118
ˈɛɪ̯	ˈʊə̯	0.083
ˈɪ	ˈə	0.395
ˈɪ	ˈi	0.176
ˈɪ	ˈəɪ̯	0.108
ˈɪ	ˈɛ	0.088
ˈɪ	ˈœ	0.069
ˈɪ	ˈu	0.065
ˈʊ	ˈɔ	0.607
ˈʊ	ˈu	0.214
ˈʊ	ˈɪø̯	0.082
ˈʊ	ˈʊə̯	0.073
χ	χ	0.492
χ	k	0.479
