Westphalian	Bavarian	probability
aɪ̯	eɐ̯	1.0
b	b̥	0.944
d	d̥	0.928
d	t	0.058
f	f	0.982
h	h	1.0
j	j	1.0
k	kʰ	0.362
k	x	0.243
k	ç	0.225
k	k	0.078
k	ɡ̊	0.052
l	l	0.581
l	j	0.384
m	m	0.875
m	n	0.071
m	a	0.053
n	n	0.867
n	-	0.119
p	f	0.829
p	p͡f	0.113
p	p	0.058
r	r	1.0
s	s	0.954
t	ʦ	0.355
t	s	0.314
t	t	0.191
t	d̥	0.127
v	ʋ	0.706
v	b̥	0.163
v	m	0.116
x	ɡ̊	0.745
x	x	0.255
z	s	0.519
z	r	0.481
ç	ɡ̊	0.355
ç	-	0.221
ç	x	0.221
ç	k	0.204
ŋ	ŋ	1.0
ɐ	a	0.47
ɐ	ɐ	0.372
ɐ	r	0.085
ɐ	-	0.073
ə	ə	0.52
ə	a	0.48
ɡ	ɡ̊	0.725
ɡ	ŋ	0.275
ɣ	-	0.848
ɣ	ɡ̊	0.152
ɪ	ŋ	0.365
ɪ	-	0.318
ɪ	i	0.318
ʃ	ʃ	1.0
ʋ	ʋ	0.753
ʋ	ə	0.082
ʋ	-	0.082
ʋ	b̥	0.082
ˈa	ˈa	0.324
ˈa	ˈo	0.218
ˈa	ˈɔ	0.125
ˈa	ˈɒː	0.092
ˈa	ˈɛ	0.069
ˈa	ˈoɐ̯	0.069
ˈaɪ̯	ˈiɐ̯	0.333
ˈaɪ̯	ˈeɐ̯	0.234
ˈaɪ̯	ˈiː	0.138
ˈaɪ̯	ˈɛː	0.087
ˈaɪ̯	j	0.079
ˈaʊ̯	ˈou̯	0.371
ˈaʊ̯	ˈaː	0.338
ˈaʊ̯	ˈau̯	0.116
ˈaʊ̯	ˈa	0.078
ˈaʊ̯	ˈoɐ̯	0.058
ˈaː	ˈɒ	0.64
ˈaː	ˈoː	0.18
ˈaː	ˈɒː	0.18
ˈeː	ˈoɐ̯	0.662
ˈeː	ˈai̯	0.12
ˈeː	ˈeː	0.117
ˈeː	ˈi	0.101
ˈiɛ̯	ˈeː	0.273
ˈiɛ̯	ˈai̯	0.264
ˈiɛ̯	ˈo	0.231
ˈiɛ̯	ˈɛ	0.231
ˈiː	ˈai̯	0.743
ˈiː	ˈi	0.235
ˈoː	ˈuɐ̯	0.733
ˈoː	ˈeɐ̯	0.267
ˈuə̯	ˈo	0.525
ˈuə̯	ˈu	0.259
ˈuə̯	ˈoː	0.158
ˈuə̯	ˈuɐ̯	0.058
ˈuː	ˈau̯	0.889
ˈuː	ˈu	0.111
ˈuːə̯	ˈu	0.722
ˈuːə̯	ˈoː	0.158
ˈuːə̯	ˈuɐ̯	0.076
ˈyː	ˈai̯	1.0
ˈyːœ̯	ˈy	1.0
ˈø	ˈai̯	0.847
ˈø	ˈe	0.153
ˈøː	ˈuɐ̯	0.284
ˈøː	ˈeː	0.24
ˈøː	ˈiɐ̯	0.176
ˈøː	ˈeɐ̯	0.151
ˈøː	ˈu	0.085
ˈøː	ˈi	0.065
ˈœː	ˈɛː	0.474
ˈœː	ˈe	0.284
ˈœː	ˈo	0.242
ˈɒː	ˈoː	1.0
ˈɔ	ˈo	0.549
ˈɔ	ˈɔ	0.192
ˈɔ	ˈu	0.161
ˈɔ	ˈaː	0.098
ˈɔː	ˈɔ	0.341
ˈɔː	ˈe	0.175
ˈɔː	ˈoː	0.148
ˈɔː	ˈoɐ̯	0.119
ˈɔː	ˈaː	0.113
ˈɔː	ˈɒː	0.104
ˈɛ	ˈe	0.275
ˈɛ	ˈɛ	0.237
ˈɛ	ˈo	0.187
ˈɛ	ˈi	0.155
ˈɛ	ˈiɐ̯	0.073
ˈɛ	ˈoː	0.073
ˈɛː	ˈe	0.482
ˈɛː	ˈɛ	0.346
ˈɛː	ˈoː	0.172
ˈɪ	ˈi	0.804
ˈɪ	ˈa	0.064
ˈɪ	ˈeɐ̯	0.051
ˈɪə̯	ˈai̯	0.509
ˈɪə̯	ˈi	0.248
ˈɪə̯	ˈeː	0.151
ˈɪə̯	ˈiː	0.092
ˈɪɛ̯	ˈe	0.299
ˈɪɛ̯	ˈɛ	0.26
ˈɪɛ̯	ˈeː	0.155
ˈɪɛ̯	ɐ	0.142
ˈɪɛ̯	ˈu	0.142
ˈʊ	ˈu	0.48
ˈʊ	ˈaː	0.201
ˈʊ	ˈau̯	0.175
ˈʊ	ˈo	0.144
ˈʏ	ˈu	0.618
ˈʏ	ˈʏ	0.165
ˈʏ	ˈo	0.109
ˈʏ	ˈɛ	0.109
