Westphalian	Bavarian	probability
b	b̥	0.871
b	-	0.064
b	f	0.064
d	d̥	0.866
d	t	0.1
d	l	0.036
f	f	0.883
f	b̥	0.09
f	-	0.036
h	h	1.0
j	j	1.0
k	kʰ	0.299
k	-	0.271
k	x	0.164
k	ç	0.134
k	ɡ̊	0.053
l	j	0.47
l	l	0.459
l	ə	0.038
l	i	0.038
m	m	0.879
m	a	0.115
n	n	0.739
n	-	0.234
n	m	0.028
p	f	0.614
p	p	0.205
p	p͡f	0.132
r	r	1.0
s	s	0.955
s	ʃ	0.049
t	ʦ	0.293
t	s	0.286
t	t	0.274
t	d̥	0.139
t_ə	s	1.0
v	m	0.354
v	b̥	0.262
v	ʋ	0.173
v	f	0.173
w	ʋ	1.0
x	ɡ̊	0.769
x	x	0.22
z	s	0.369
z	r	0.179
ç	ɡ̊	0.5
ç	x	0.287
ç	-	0.16
ŋ	ŋ	1.0
ɐ	a	0.544
ɐ	ɐ	0.287
ɐ	r	0.111
ɐ	-	0.05
ə	-	0.541
ə	ə	0.291
ə	a	0.15
ɡ	ɡ̊	0.561
ɡ	ŋ	0.425
ɣ	-	0.486
ɣ_ə	ɡ̊	1.0
ɪ	-	0.415
ɪ	i	0.202
ɪ	ŋ	0.202
ʃ	ʃ	1.0
ˈa	ˈa	0.346
ˈa	ˈo	0.132
ˈa	ˈɒ	0.098
ˈa	ˈɔ	0.089
ˈa	ˈoɐ̯	0.086
ˈaɪ̯	ˈiɐ̯	0.234
ˈaɪ̯	ˈiː	0.128
ˈaɪ̯	ˈai̯	0.097
ˈaɪ̯	ˈeː	0.097
ˈaɪ̯	ˈe	0.097
ˈaʊ̯	ˈou̯	0.359
ˈaʊ̯	ˈaː	0.237
ˈaʊ̯	ˈau̯	0.175
ˈaʊ̯	ˈoɐ̯	0.101
ˈaʊ̯	ˈuɐ̯	0.058
ˈaː	ˈɒ	0.57
ˈaː	ˈɒː	0.242
ˈaː	ˈoː	0.147
ˈeː	ˈoɐ̯	0.457
ˈeː	ˈi	0.422
ˈeː	ˈai̯	0.087
ˈeː_n	ˈoɐ̯	1.0
ˈiə̯	ˈi	0.486
ˈiɛ̯	ˈɛ	1.0
ˈiː	ˈai̯	0.659
ˈiː	ˈi	0.281
ˈiː	ˈoɐ̯	0.053
ˈoː	ˈuɐ̯	0.813
ˈoː	ˈeɐ̯	0.186
ˈuə̯	ˈuɐ̯	0.369
ˈuə̯	ˈoː	0.179
ˈuː	ˈau̯	0.822
ˈuː	ˈu	0.109
ˈuːə̯	ˈu	0.525
ˈuːə̯	ˈɔ	0.257
ˈuːə̯	ˈoː	0.155
ˈyː	ˈai̯	1.0
ˈyːœ̯	ˈy	1.0
ˈø	ˈai̯	1.0
ˈøː	ˈiɐ̯	0.398
ˈøː	ˈeɐ̯	0.169
ˈøː	ˈeː	0.147
ˈøː	ˈu	0.147
ˈœː	ˈe	0.279
ˈœː	ˈɛː	0.279
ˈɒː	ˈoː	0.236
ˈɔ	ˈo	0.526
ˈɔ	ˈu	0.19
ˈɔ	ˈɔ	0.14
ˈɔ	ˈaː	0.078
ˈɔː	ˈɔ	0.356
ˈɔː	ˈɒː	0.258
ˈɔː	ˈoɐ̯	0.224
ˈɔː	ˈaː	0.068
ˈɔː	ˈoː	0.066
ˈɛ	ˈe	0.349
ˈɛ	ˈɛ	0.203
ˈɛ	ˈo	0.116
ˈɛ	ˈoː	0.116
ˈɛ	ˈiɐ̯	0.116
ˈɛː	ˈe	0.53
ˈɛː	ˈoː	0.17
ˈɛː	ˈɛ	0.17
ˈɪ	ˈi	0.745
ˈɪ	ˈai̯	0.129
ˈɪ	ˈa	0.085
ˈɪ	ˈiː	0.043
ˈɪə̯	ˈeː	0.45
ˈɪə̯	ˈai̯	0.219
ˈɪə̯	ˈiː	0.122
ˈɪɛ̯	ˈe	0.293
ˈɪɛ̯	ˈɛ	0.235
ˈɪɛ̯	ˈeː	0.143
ˈɪɛ̯	ˈu	0.132
ˈɪɛ̯	ɐ	0.095
ˈʊ	ˈau̯	0.375
ˈʊ	ˈo	0.301
ˈʊ	ˈu	0.301
ˈʏ	ˈo	0.322
ˈʏ	ˈu	0.322
ˈʏ	ˈɛ	0.18
ˈʏ	ˈʏ	0.066
