Old French	Old French	probability
ˈɛ_w	ˈɔ_k	1.0
ˈɛ_n	ˈi_nː	1.0
ˈɛ_f	v_ʊ	1.0
ˈɔ_j	ˈi	1.0
ˈỹ_m	nː	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈu_s	ˈu_j	1.0
ˈõ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ʧ_j	k_ˈa	1.0
ɲ	ɲː	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ɛ	i	1.0
ŋ	ŋ	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
v_ˈa	v_ˈa	1.0
ũ	u	1.0
t_ə	t_a	1.0
s_t	ʃː	1.0
s_#>	#>	1.0
r_ə	ɪ	1.0
p_l	c	1.0
p	p	1.0
o	-	1.0
n_ə	n_a	1.0
n_s	n_ɪ	1.0
n_#>	ʊ_#>	1.0
l_ə	ɖː_a	1.0
k_r	k_ɾ	1.0
k_#>	ɡ_ʊ_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈa	1.0
j_n	n	1.0
ĩ	i	1.0
i	i	1.0
f_l	ç	1.0
e_s	ʃ	1.0
ã_n	a_n	1.0
a_l	a_l	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɔ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#	<#_j	1.0
f	f	0.95
ˈa	ˈa	0.905
m	m	0.897
n	n	0.886
b	b	0.857
v	v	0.815
ʧ	k	0.8
j_t	tː	0.8
ˈu	ˈu	0.769
ˈy	ˈu	0.733
ʦ	ɕ	0.667
a	a	0.667
t	t	0.645
w	w	0.615
ˈɛ	ˈɛ	0.6
ˈi	ˈi	0.6
j_s	ɕ_ɪ	0.6
ʎ	ɟː	0.583
ə	a	0.571
#>	ʊ_#>	0.568
d	d	0.556
ˈẽ	ˈɛ	0.545
ˈe	ˈa	0.5
ʤ	j	0.5
j_ə	k_a	0.5
j_ə	a	0.5
j_#>	k_ʊ_#>	0.5
j_#>	#>	0.5
e	i	0.5
e	a	0.5
s	s	0.476
ˈẽ	ˈi	0.455
ˈɔ	ˈɔ	0.444
u	u	0.444
d	ɪ_ɾ	0.444
l	l	0.438
r	ɾ	0.432
ˈũ	ˈɔ	0.429
ʎ	cː	0.417
j_s	ʦː	0.4
#>	ɪ_#>	0.384
l	ɖː	0.375
ʦ	-	0.333
u	-	0.333
a	-	0.333
ˈũ	ˈu	0.286
ˈũ	ˈo	0.286
ʤ	ʤ	0.286
r	r	0.284
ˈi	ˈɛ	0.28
ˈɔ	ˈi	0.278
j	-	0.278
ˈy	ˈɔ	0.267
ˈu	ˈɔ	0.231
w	ˈɔ	0.231
ˈe	ɾ	0.222
u	o	0.222
j	i	0.222
ʤ	-	0.214
ˈɛ	ˈa	0.2
ʧ	kː	0.2
j_t	dː	0.2
t	tː	0.194
s	ʊ	0.19
v	p	0.185
ˈɔ	ˈu	0.167
ˈe	ˈi	0.167
j	ɾ	0.167
w	ʊ	0.154
s	ʃ	0.143
b	v	0.143
ˈɛ	ˈi	0.133
ə	ʊ	0.13
ˈi	ɪ	0.12
ə	ɪ	0.117
n	nː	0.114
ˈɔ	ˈa_w	0.111
ˈe	-	0.111
j	ˈa	0.111
j	ɲː	0.111
j	ɪ	0.111
m	mː	0.103
ˈa	-	0.095
s	ˈu	0.095
s	ʃː	0.095
l	-	0.094
r	ɽ	0.081
ə	i	0.078
r	ɪ_ɾ	0.068
ˈɛ	ˈa_ʈ	0.067
t	d	0.065
t	-	0.065
l	ˈi	0.062
ə	t_a	0.052
ə	-	0.052
