Proto-Germanic	Nynorsk Norwegian	probability
a	-	0.479
b	b	0.953
b	-	0.049
d	d	0.689
d	-	0.208
d	tʰ	0.092
d_ɑ	nː	0.11
e	ɑ	0.66
e	e	0.151
i	-	0.695
i	e	0.211
i	ɛ	0.045
i	ʋ	0.037
i	ə	0.031
iː	-	0.316
iː	ɪ	0.316
j	-	0.853
j	ə	0.056
j	ɾ	0.053
j	ˈɪ	0.044
j_ɔ̃ː	ə	1.0
jː	ɡː	1.0
k	kʰ	0.567
k	k	0.149
k	ç	0.13
k	-	0.057
k	ʰkː	0.057
k_i	k	1.0
k_s	k	1.0
k_ɑ	k	1.0
kʷ	ç	0.758
kʷ	kʰ	0.083
kː	k	0.479
l	l	0.775
l	lː	0.092
l	j	0.043
l	nː	0.036
l	-	0.034
l_ɑ	l	1.0
lː	lː	1.0
m	m	0.911
m	mː	0.06
m	-	0.038
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.229
n	n	0.608
n	-	0.29
n	nː	0.086
n_ɑ	n	1.0
n_ɑ̃	ɑ	1.0
n_θ	nː	1.0
nː	nː	1.0
p	p	0.886
p	-	0.099
pː	ʋ	0.053
r	ɾ	0.882
r	-	0.115
r_i	ɾ	0.479
r_ð	ɾ	1.0
r_ɑ	ɾ	1.0
r_ɑ̃	ɾ	1.0
r_ɔː	ɾ	1.0
r_θ	ɾ	1.0
s	s	0.844
s	-	0.101
s	ʃ	0.05
s_k	ʃ	1.0
s_ɑ̃	s	1.0
sː	s	1.0
t	t	0.525
t	tʰ	0.258
t	ç	0.074
t	-	0.062
t	çː	0.049
t_s	t	0.479
t_ɑ	t	0.775
t_ɑ	ʰtː	0.211
t_ɑ̃	t	1.0
u	-	0.797
u	e	0.143
u	ʉ	0.053
w	-	0.444
w	ʋ	0.405
w	ˈuː	0.096
w	ˈʏ	0.034
w	v	0.032
w_ˈu	ˈʉ	1.0
wː	ɡ	1.0
x	h	0.562
x	-	0.34
x	k	0.036
x	ɡ	0.036
x	ŋː	0.031
x_t	ʰtː	1.0
xʷ	kʰ_ʋ	0.74
xʷ	-	0.188
z	-	1.0
ð	-	0.897
ð	d	0.102
ð_ɑ̃	d	0.479
ŋ	ŋ	0.784
ŋ	ɲ	0.119
ŋ_k	ʰkː	1.0
ŋ_ɡ	ŋː	1.0
ɑ	-	0.902
ɑ	e	0.047
ɑ	ˈøː	0.025
ɑ	j	0.025
ɑ_l	l	1.0
ɑi̯	ˈʉː	0.229
ɑː	ɑ	1.0
ɑ̃	-	0.892
ɑ̃	ɑ	0.088
ɑ̃	e	0.029
ɔː	-	0.804
ɔː	e	0.109
ɔː	n	0.079
ɔː_r	ɾ	1.0
ɔːu̯	e	0.479
ɔːː	e	0.477
ɔːː	ɑ	0.186
ɔːː	n	0.162
ɔːː	-	0.141
ɔ̃ː	e	1.0
ɛː	-	0.478
ɛː	e	0.354
ɛː	ɛ	0.128
ɡ	-	1.0
ɡʷ	j	0.229
ɣ	ɡ	0.568
ɣ	j	0.322
ɣ	-	0.098
ɣ_j	ɡː	1.0
ɣ_ɑ	ɡ	1.0
ɸ	f	0.805
ɸ	-	0.125
ɸ	m	0.043
ɸ_r	kʰ	1.0
ˈe	ˈɛ	0.198
ˈe	j	0.177
ˈe	ˈiː	0.126
ˈe	ˈeː	0.126
ˈe	ˈɛː	0.065
ˈe_w	ˈeː	0.479
ˈeu̯	ˈyː	0.457
ˈeu̯	ˈʉː	0.242
ˈeu̯	ˈuː	0.13
ˈeu̯	ˈʏ	0.101
ˈeː	ˈeː	0.479
ˈi	ˈɪ	0.504
ˈi	ˈiː	0.199
ˈi	ˈeː	0.092
ˈi	ˈɛ	0.076
ˈi	ˈʏ	0.069
ˈi_n	ˈiː	1.0
ˈiu̯	ˈʏ	0.488
ˈiu̯	ˈyː	0.308
ˈiː	ˈiː	0.888
ˈiː	ˈeː	0.098
ˈiː_ð	ˈiː	1.0
ˈĩː	ˈɛ	0.479
ˈu	ˈʉ	0.239
ˈu	ˈʊ	0.226
ˈu	ˈɔ	0.2
ˈu	ˈʏ	0.191
ˈu	ˈoː	0.05
ˈuː	ˈʉː	0.826
ˈuː	ˈʉ	0.096
ˈuː	ˈyː	0.073
ˈɑ	ˈɑ	0.41
ˈɑ	ˈɑː	0.22
ˈɑ	ˈɛ	0.126
ˈɑ	ˈoː	0.06
ˈɑ	ˈɔ	0.05
ˈɑi̯	ˈæɪ̯	0.387
ˈɑi̯	-	0.137
ˈɑi̯	ˈoː	0.137
ˈɑi̯	ˈɛ	0.119
ˈɑi̯	ˈøː	0.09
ˈɑu̯	ˈæʉ̯	0.541
ˈɑu̯	ˈœʏ̯	0.278
ˈɑu̯	-	0.109
ˈɑu̯	ˈoː	0.06
ˈɑu̯_ð	ˈæʉ̯	1.0
ˈɔː	ˈuː	0.521
ˈɔː	ˈøː	0.348
ˈɔː	ˈyː	0.112
ˈɔː_ð	ˈuː	1.0
ˈɔː_θ	ˈuː	1.0
ˈɛː	ˈoː	1.0
β	ʋ	0.719
β	-	0.251
β_ɑ	ʋ	1.0
θ	tʰ	0.515
θ	-	0.22
θ	d	0.171
θ	ç	0.078
