Alsatian	Alsatian	probability
ˈɔi̯	-	1.0
ˈœ	ˈɑi̯	1.0
ˈøː	ˈʏ	1.0
ˈøi̯	ˈɑi̯	1.0
ˈø	ˈø	1.0
ˈæː	ˈɑ	1.0
ˈæ	-	1.0
ˈyː	ˈɑi̯	1.0
ˈaː_ʋ	ˈi̯ø	1.0
ˈai̯	ˈɑi̯	1.0
ʦ	ʦ	1.0
ʃ_t	s_t	1.0
ɡ̊	ɡ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
w	v	1.0
p	p	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
eː_n	ɑ	1.0
e	-	1.0
<#_ˈɒ	<#_ˈɑ	1.0
#>	ɡ̊_#>	1.0
n	n	0.917
m	m	0.909
ʁ	r	0.882
t	t	0.875
l	w	0.833
ʋ	v	0.81
k	k	0.8
b̥	b	0.778
ˈəi̯	ˈa	0.714
x	x	0.714
ˈi	ˈɘ̟	0.708
ˈu	ˈu	0.688
ˈo	ˈu	0.667
ʃ	ʃ	0.654
ˈʊː	ˈʏ	0.636
ˈɒː	ˈɔ	0.6
ə	a	0.553
s	s	0.516
ˈɒ	ˈɑ	0.5
ˈeː	ˈei̯	0.5
ˈei̯	ˈai̯	0.5
ˈei̯	-	0.5
j	ɟ	0.5
j	j	0.5
s	z	0.484
ˈiː	ˈi	0.474
ˈoː	ˈu	0.462
i	ɪ	0.429
ˈɒː	ˈɑ	0.4
ˈɒ	ˈɔ	0.4
ˈe	ˈɛ	0.4
ˈoː	ˈø	0.385
d̥	d	0.379
d̥	d̥	0.345
ˈo	-	0.333
ə	ɛ	0.319
ˈəi̯	-	0.286
x	ˈɔ_x	0.286
i	ɡ̊	0.286
i	ə	0.286
d̥	t	0.276
ˈiː	ˈai̯	0.263
ˈeː	ˈi	0.25
ˈeː	-	0.25
b̥	-	0.222
ˈe	ˈɘ̟	0.2
ˈe	ˈɑ	0.2
ˈe	-	0.2
k	c	0.2
ʃ	x	0.192
ˈu	ˈɘ̟	0.188
ˈʊː	ˈɑi̯	0.182
ˈʊː	-	0.182
ˈiː	-	0.158
ˈoː	ˈʏ	0.154
ˈu	ˈʏ	0.125
ˈi	ˈai̯	0.125
t	-	0.125
ʁ	-	0.118
ʃ	ç	0.115
l	l	0.111
ˈiː	ˈɑi̯_ɛ	0.105
ˈɒ	-	0.1
ʋ	v_ˈɛ	0.095
ʋ	-	0.095
m	-	0.091
ˈi	ˈɑi̯	0.083
ˈi	ˈei̯	0.083
ə	n	0.064
ə	-	0.064
l	-	0.056
