Eastern Lombard	Western Lombard	probability
b	b	1.0
f	f	1.0
i	i	1.0
j	j	1.0
k	k	1.0
l	l	1.0
p	p	1.0
w	w	1.0
ɲ	ɲ	1.0
ʋ	ʋ	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
e	ʋ	0.051
s	ʧ	0.101
ˈy	ˈyː	0.491
d	d	0.802
e	i	0.202
ˈa	ˈa	0.832
ˈe	ˈɛ	0.152
ˈi	ˈi	0.592
ˈu	ˈũː	0.322
ˈɔ	ˈo	0.182
ˈɛ	ˈe	0.2
n	n	0.883
t	ʧ	0.093
ɡ	-	0.053
ˈø	ˈø	0.13
ˈɔ	ˈɔ	0.663
ˈi	ˈe	0.254
ˈo	ˈu	0.224
ˈø	ˈøː	0.264
z	z	0.165
ˈe	ˈi	0.165
ˈu	<#_ʋ	0.065
ˈy	-	0.165
ˈy	ˈy	0.345
ˈø	ˈy	0.595
ˈɛ	ˈẽː	0.065
o	u	0.86
s	ʦ	0.136
s	s	0.626
t	t	0.866
z	s	0.06
z	ʤ	0.726
ˈe	ˈeː	0.096
ˈi	ˈĩː	0.136
ˈu	ˈu	0.506
e	e	0.707
n	-	0.117
o	e	0.117
ɡ	ɡ	0.947
ˈo	ˈɔ	0.707
ˈu	ˈyː	0.107
a	a	0.938
d	-	0.198
m	m	0.958
r	r	0.978
s	ʃ	0.118
ˈa	ˈãː	0.058
ˈa	ˈaː	0.08
ˈe	ˈe_j	0.178
ˈe	ˈe	0.368
ˈɔ	ˈø	0.128
ˈɛ	ˈɛ	0.618
ˈo	ˈuː	0.069
