American English	German	probability
b	b	1.0
h	h	1.0
i	ɪ_ç	1.0
kʰ	kʰ	1.0
pʰ	p͡f	1.0
t	t	1.0
tʰ	ʦ	1.0
ə	-	1.0
ɡ	ɡ	1.0
ɾ	s	1.0
ʃ	ʃ	1.0
v	b	0.381
ɚ	ɐ	0.931
ʔ	s_n	0.221
ˈeɪ̯	ˈaː_ɡ	0.21
ˈi	ˈaɪ̯	0.091
ˈi	ˈaː	0.151
ˈɑ	ˈɔ	0.11
ˈɛ	ˈɛː	0.051
ˈʌ	ˈoː	0.171
d	tʰ	0.302
m	m	0.82
p	f	0.702
z	z_ə	0.602
ð	t	0.492
ʔ	t	0.162
ʧ	ç	0.232
ˈaʊ̯	ˈʊ	0.052
ˈi	ˈyː	0.142
ˈoʊ̯	ˈɔ	0.072
ˈoʊ̯	ˈeː	0.222
ˈɑ	ˈɛ	0.202
ˈɛ	ˈoː	0.132
ˈɝ	ˈʊ_ɐ	0.132
ˈʌ	ˈaʊ̯	0.12
s	s	0.3
ŋ	ŋ	0.73
ˈu	ˈuː	0.643
ˈɛ	ˈaɪ̯	0.093
ˈʌ	ˈʊ	0.453
ˈʌɪ̯	ˈɪ_ç	0.213
d	t_n	0.104
k	ç	0.354
v	f	0.244
z	ɡ̊_#>	0.064
ɹ	ɐ	0.354
ʔ	s	0.304
ˈaɪ̯	ˈaɪ̯	0.354
ˈoʊ̯	ˈaɪ̯	0.664
ˈɛ	ˈeː	0.184
ˈʊ	ˈɔ	0.304
ˈʌɪ̯	ˈa_x	0.214
ˈʌɪ̯	ˈaɪ̯	0.574
θ	d	0.664
j	j	0.5
j	ɡ	0.5
k	k_n	0.055
k	x	0.335
n	n	0.945
v	b_n	0.375
ɫ	l	0.975
ʔ	s_ə	0.105
ˈeɪ̯	ˈeː	0.105
ˈeɪ̯	ˈa	0.515
ˈæ	ˈaː	0.145
ˈɔ	ˈa	0.125
ˈɛ	ˈɛ	0.415
ˈɪ	ˈeː	0.055
k	k	0.256
ɹ	ʁ	0.646
ʔ	ʦ	0.176
ˈi	ˈiː	0.16
ˈɔ	ˈɔ	0.796
ˈɪ	ˈaɪ̯	0.056
ˈɪ	ˈɛ	0.056
ˈʊ	ˈuː	0.696
s	ʃ	0.177
z	ə_#>	0.127
ˈaɪ̯	ˈɔʏ̯	0.17
ˈaɪ̯	ˈɪ	0.347
ˈeɪ̯	ˈaː	0.17
ˈi	ˈeː	0.057
ˈu	ˈiː	0.357
ˈæ	ˈɛ	0.057
ˈɛ	ˈa	0.097
d	d	0.068
d	t	0.378
m	m_ə	0.18
p	f_n	0.298
z	n_#>	0.168
ð	d	0.508
ŋ	ŋ_ə	0.248
ʧ	kʰ	0.768
ˈaʊ̯	ˈuː	0.268
ˈaʊ̯	ˈaʊ̯	0.68
ˈi	ˈaʊ̯	0.18
ˈɑ	ˈa	0.688
ˈɔ	ˈɛ	0.078
ˈɝ	ɐ	0.868
θ	d̥	0.318
d	d̥	0.129
f	f	0.919
s	z	0.479
w	v	0.979
ɚ	ʁ_ə	0.069
ˈaɪ̯	ˈaʊ̯	0.089
ˈæ	ˈa	0.799
ˈɪ	ˈɪ	0.759
ˈʌ	ˈɔ	0.189
