Catalan	Romansch	probability
b	v	0.501
b	b	0.347
b	-	0.091
d	d	1.0
f	f	0.899
f	f_j	0.097
i	ə	0.491
i	u	0.147
i	-	0.133
i	j	0.089
i	i	0.065
j	-	0.433
j	ʥ	0.263
j	i	0.122
j	ə	0.122
k	ʨ	0.538
k	k	0.42
l	l	0.838
l	-	0.103
l	w	0.053
m	m	0.904
m	-	0.06
n	n	0.808
n	n_t	0.099
n	n_ʨ	0.068
p	p	0.968
r	r	0.961
s	s	0.749
s	ʧ	0.17
t	t	0.75
t	ʨ	0.096
t	-	0.083
u	u	0.484
u	ə	0.166
u	o	0.101
u	i	0.088
u	ˈɔ	0.088
u	-	0.062
u_z	ˈu	1.0
w	-	0.231
w	j	0.176
w	f	0.166
w	w	0.153
w	ə	0.095
z	ʃ	0.392
z	d	0.23
z	z	0.23
ð	d	0.894
ð	t	0.1
ŋ	n	0.324
ŋ	ŋ	0.223
ŋ	f	0.156
ŋ	ɲ	0.15
ə	ə	0.697
ə	-	0.242
ə_s	ʃ	1.0
ɡ	ɡ	0.784
ɡ	ʃ	0.097
ɡ	k	0.077
ɡ	ʥ	0.054
ɣ	-	0.297
ɣ	j	0.22
ɣ	ɡ	0.155
ɣ	r	0.145
ɣ	ʥ	0.109
ɲ	ɲ	0.605
ɲ	n	0.21
ɲ	m	0.083
ɲ	ŋ	0.081
ɾ	r	0.817
ɾ	-	0.128
ʃ	ʃ	0.53
ʃ	s	0.425
ʎ	l	0.568
ʎ	ʎ	0.385
ʒ	ʥ	0.502
ʒ	ʃ	0.31
ʒ	f	0.091
ʒ	ɡ	0.084
ʤ	d	1.0
ʧ	ʦ	0.574
ʧ	ʧ	0.293
ˈa	ˈa	0.612
ˈa	ˈaː	0.152
ˈa	ˈɔ	0.092
ˈa	-	0.073
ˈe	ˈɛ	0.355
ˈe	ˈe	0.201
ˈe	ˈa	0.117
ˈe	ˈa_j	0.094
ˈe	j_ˈɛ	0.074
ˈe_ʎ	ˈɛ	1.0
ˈi	ˈi	0.497
ˈi	ˈɛ	0.18
ˈi	ˈi_n	0.097
ˈi	ˈiː_r	0.084
ˈo	ˈu	0.713
ˈo	ˈuː	0.068
ˈo	ˈe	0.065
ˈu	ˈi	0.434
ˈu	ˈu	0.314
ˈu	ˈɛ	0.082
ˈɔ	ˈɔ	0.451
ˈɔ	ˈu	0.306
ˈɔ	w	0.124
ˈɔ	ˈɔː	0.06
ˈɔ_k	w	1.0
ˈɛ	ˈe	0.203
ˈɛ	ˈa_j	0.193
ˈɛ	ˈɛ	0.159
ˈɛ	ˈi	0.133
ˈɛ	ˈeː	0.104
ˈɛ	ˈa	0.085
ˈɛ_w	ˈu	1.0
β	v	0.613
β	w	0.141
β	v_j	0.123
β	-	0.069
β	p	0.055
