Ladin	Ladin	probability
ˈɛ_l	ˈɛː	1.0
ˈɔ_n	ˈuː_n	1.0
ˈo_w	ˈuː	1.0
ˈi_#>	ˈiː_r_#>	1.0
ˈe_#>	ˈaː_r_#>	1.0
ʧ	ʧ	1.0
ʥ	ʥ	1.0
ŋ_k	ŋ	1.0
z	z	1.0
v	v	1.0
u	-	1.0
t_#>	ʨ_#>	1.0
s	s	1.0
r_ˈe	r_ˈa	1.0
r_n	r_n	1.0
r_a	r_ə	1.0
p_#>	p_#>	1.0
p	p	1.0
o_l	ə_l	1.0
n_w	n_ˈɔ	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	l_ˈa	1.0
k_#>	w_#>	1.0
j_ˈɛ	ˈɛ	1.0
i	-	1.0
f	f	1.0
e_s	ə_s	1.0
e_#>	ə_r_#>	1.0
d_l	ʎ	1.0
a_v	ə_v	1.0
a_n	ə_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʥ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_a	<#_ə	1.0
a	ə	0.966
n	n	0.963
r	r	0.944
l	l	0.935
t	t	0.929
ʃ	ʃ	0.905
d	d	0.867
b	b	0.867
ˈo	ˈu	0.808
j	j	0.76
ʒ	ʃ	0.75
ɲ	ɲ	0.75
k	k	0.741
ɡ	ɡ	0.714
o	u	0.7
ʨ	ʨ	0.692
e_r	ə_r	0.667
ʦ	ʦ	0.6
w_ˈɛ	j_ˈɛ	0.6
j_#>	j_r_#>	0.6
ˈi	ˈiː	0.565
ŋ	ŋ	0.5
ŋ	n	0.5
w	w	0.5
w	-	0.5
<#	<#_ˈa	0.5
<#	<#_v	0.5
ˈe	ˈa	0.455
ˈa	ˈa	0.441
ˈi	ˈi	0.435
ʦ	s	0.4
w_ˈɛ	ˈɔː	0.4
j_#>	#>	0.4
ˈɔ	ˈɔ	0.368
ˈɛ	ˈɛ	0.364
#>	ə_#>	0.357
ˈu	ˈu	0.333
ˈu	ˈiː	0.333
ˈu	ˈi	0.333
e_r	r	0.333
e	ə	0.333
ˈɔ	ˈɔː	0.316
o	o	0.3
ɡ	-	0.286
ˈe	ˈe	0.273
ʒ	ʒ	0.25
ɲ	-	0.25
ʨ	ʧ	0.231
e	r	0.222
#>	w_#>	0.214
ˈa	ˈɔ	0.206
ˈo	ˈuː	0.192
k	ʨ	0.185
ˈa	ˈaː	0.176
ˈa	ˈa_w	0.176
e	i	0.167
e	-	0.167
j	-	0.16
ˈɛ	ˈa	0.159
ˈɔ	ˈu	0.158
ˈɔ	-	0.158
ˈe	-	0.152
#>	ʦ_#>	0.143
#>	s_#>	0.143
#>	r_#>	0.143
ˈɛ	-	0.136
d	-	0.133
b	v	0.133
ˈe	ˈeː	0.121
ˈɛ	ˈɛː	0.114
e	e	0.111
ʃ	-	0.095
ˈɛ	ˈiə̯	0.091
ˈɛ	ˈaː	0.091
j	ʥ	0.08
ʨ	-	0.077
k	k_w	0.074
t	-	0.071
l	ʎ	0.065
r	ə	0.056
