Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈe	1.0
ˈo_j	ˈu	1.0
ˈi_r	ˈi_r	1.0
ˈe_w	ˈi_o	1.0
ˈe_r	e	1.0
ˈau̯	ˈɔ	1.0
ˈa_s	ˈa_z	1.0
ʧʲ	-	1.0
ʧ_e	z_e	1.0
ʦʲ	t_i	1.0
ʦ_ə	s_a	1.0
ʤ	z	1.0
ʒ	z	1.0
ɨ	a	1.0
ŋ	ŋ	1.0
z_b	z_v	1.0
z	d	1.0
v	v	1.0
u_m	ˈɛ	1.0
t_ˈi	ˈe	1.0
t_e	e	1.0
t_#>	#>	1.0
r_u	r_o	1.0
r_t	r_t	1.0
r_#>	ɰ_o_#>	1.0
p_ˈu	p_ˈo	1.0
p_t	t	1.0
o	o	1.0
nʲ	n_i	1.0
n_ˈu	n_ˈɔ	1.0
m_e	m_e	1.0
kʲ	ʧ_o	1.0
k_e	ʧ_a	1.0
j_ˈe	ˈɛ	1.0
f_r	b	1.0
f	f	1.0
e_d	ˈe_d	1.0
e_#>	#>	1.0
b	b	1.0
a	a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_j	<#	1.0
s	s	0.897
ˈa	ˈa	0.846
d	d	0.824
ˈɨ	ˈa	0.818
#>	o_#>	0.812
ʃ	s	0.8
r	r	0.774
<#_l	<#_ɰ	0.769
p	p	0.727
r_ə	r_a	0.714
ə	a	0.706
k	k	0.7
u	o	0.688
t	t	0.667
e_r	e_r	0.667
m	m	0.647
ˈe	ˈe	0.64
e̯ˈa	ˈe	0.625
ˈi	ˈi	0.621
w	-	0.6
ʦ	-	0.571
ˈu	ˈo	0.531
ɡ	ʤ	0.5
ɡ	ɡ	0.5
o̯ˈa	ˈɔ	0.5
j	j	0.5
j	-	0.5
i	e	0.5
<#	<#_t	0.5
<#	<#_k	0.5
n	n	0.489
e	e	0.476
ʧ	s	0.471
n	ŋ	0.447
ʦ	s	0.429
l	j	0.429
ˈo	ˈo	0.421
ʧ	-	0.412
w	v_o	0.4
o̯ˈa	ˈo	0.375
e̯ˈa	ˈɛ	0.375
ˈo	ˈɔ	0.368
e_r	r	0.333
ˈu	ˈu	0.312
u	-	0.312
i	-	0.3
r_ə	r	0.286
l	o	0.286
l	l	0.286
ˈe	ˈɛ	0.28
k	ɡ	0.25
<#_l	<#	0.231
ˈi	ˈe	0.207
ʃ	-	0.2
i	i	0.2
t	d	0.185
ˈɨ	ˈe	0.182
m	ɲ	0.176
m	-	0.176
d	-	0.176
e	o	0.167
e	a	0.167
ə	e	0.157
t	-	0.148
o̯ˈa	-	0.125
ʧ	s_j	0.118
ˈo	ˈu	0.105
ˈo	ˈi	0.105
ˈi	-	0.103
ˈa	ˈɛ	0.103
s	-	0.103
ə	o	0.098
ˈu	ˈɔ	0.094
p	v	0.091
r	l	0.081
ˈe	-	0.08
e	r	0.071
e	-	0.071
ˈi	ˈɛ	0.069
n	ɲ	0.064
ˈu	ˈi	0.062
#>	a_#>	0.062
p	o	0.061
p	k_w	0.061
p	-	0.061
ˈa	ɡ	0.051
