Fuzhounese	Fuzhounese	probability
⁵⁵	⁵⁵	1.0
⁵³	³⁵	1.0
⁵	⁵¹	1.0
ʦ_w	ʨʰ_ɥ	1.0
ʦ_j	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʔ	-	1.0
ɥ_ŋ	ŋ	1.0
ɥ	j	1.0
ɛ_j	i	1.0
ɔ_ʔ	ɛ	1.0
ɔ	-	1.0
ɑ_ʔ	a	1.0
ŋ_²¹³	n_⁵¹	1.0
ø_ɥ_ʔ	u	1.0
ø	ʊ	1.0
³³	²¹⁴	1.0
²¹³	⁵¹	1.0
y	-	1.0
w_ɔ	a	1.0
w_ŋ	ŋ	1.0
w_o	ə	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_w	u	1.0
l̃	l	1.0
j_ŋ	ŋ	1.0
j_²⁴²	⁵¹	1.0
j_a	ɤ	1.0
i_ŋ	i_n	1.0
<#_ʦʰ	<#	1.0
<#_ŋ	<#	1.0
<#_h	<#	1.0
<#	<#_x	1.0
ɑ	a	0.75
²⁴²	⁵¹	0.75
h	x	0.727
<#_nˡ	<#_n	0.714
²⁴	²¹⁴	0.667
m	m	0.667
w	w	0.656
ŋ	n	0.625
kʰ	kʰ	0.625
a	a	0.615
o	ɑ	0.565
j	j	0.56
ʔ_²⁴	⁵⁵	0.545
ʦʰ	ʈ͡ʂʰ	0.5
k	ʨ	0.5
p	f	0.429
t	t	0.417
s	ʂ	0.417
e	-	0.417
ŋ	ŋ	0.375
kʰ	ʨʰ	0.375
i	ʐ̩	0.375
i	-	0.375
p	p	0.357
²⁴	³⁵	0.333
t	ʈ͡ʂ	0.333
s	ɕ	0.333
m	-	0.333
k	k	0.312
ʦʰ	ʦʰ	0.3
ɛ	ɤ	0.3
ɛ	i	0.3
<#_nˡ	<#	0.286
ʔ_²⁴	⁵¹	0.273
h	f	0.273
ɑ	-	0.25
²⁴²	²¹⁴	0.25
u	u	0.25
u	-	0.25
t	ʈ͡ʂʰ	0.25
s	s	0.25
i	z̩	0.25
e	ɑ	0.25
p	pʰ	0.214
ʦʰ	ʨʰ	0.2
ɛ	ɛ	0.2
ɛ	-	0.2
j	-	0.2
k	ʨʰ	0.188
ʔ_²⁴	³⁵	0.182
o	ɛ	0.174
u	y	0.167
u	w_ə	0.167
u	e	0.167
e	ʐ̩	0.167
e	o	0.167
w	-	0.156
a	o	0.154
j	ɤ	0.12
j	i	0.12
a	i	0.115
a	-	0.115
w	ɥ	0.094
w	ɑ_w	0.094
o	w_ɔ	0.087
o	u	0.087
o	a	0.087
