Icelandic	Bavarian	probability
a	n	0.499
a	-	0.289
a	a	0.146
a	ŋ	0.042
b̥	b̥	1.0
c	ç	0.179
c	k	0.1
c	ʃ	0.1
cʰ	kʰ	0.236
d̥	d̥	0.886
d̥	t	0.096
f	f	0.936
f	b̥	0.064
h	h	1.0
j	-	0.667
j	ˈiː	0.097
j	ˈiɐ̯	0.083
j	ˈe	0.064
j	ˈi	0.064
j_a	n	1.0
j_ˈoːu̯	ˈɛː	1.0
k	x	0.428
k	ç	0.221
k	k	0.168
k	ɡ̊	0.168
kʰ	kʰ	0.528
kʰ	ʋ	0.46
l	l	0.637
l	j	0.237
l	i	0.058
l	-	0.055
l̥	j	0.749
l̥	l	0.239
m	m	1.0
n	n	0.846
n	-	0.119
n	d̥	0.038
nː	n	0.761
nː	l	0.232
n̥	-	0.474
n̥	a	0.317
n̥	n	0.189
p	f	0.776
p	m	0.17
p_ʏ	f	1.0
r	r	0.66
r	ɐ	0.257
r	-	0.078
r_t	ɐ	1.0
r̥	-	0.874
r̥	ɐ	0.064
r̥	r	0.041
s	s	0.684
s	ʃ	0.249
s	-	0.043
s	x	0.032
s_c	ʃ	1.0
s_k	ʃ	1.0
sː	s	0.486
t	-	0.435
t	s	0.22
t	t	0.191
t	ʦ	0.147
t_ʏ	s	1.0
tʰ	ʦ	1.0
u	-	0.279
u	ˈa	0.279
v	ʋ	0.36
v	b̥	0.27
v	-	0.208
v	m	0.062
v	p	0.062
v	f	0.038
v_a	m	1.0
v_ʏ	f	1.0
x	-	1.0
ç	h	1.0
ð	d̥	0.492
ð	t	0.328
ð	-	0.083
ð	d	0.048
ð	s	0.048
ð_ʏ	d̥	1.0
ŋ	ŋ	0.822
ŋ	n	0.141
ɑu̯	-	0.236
ɛ	-	1.0
ɛː	ɪ	0.486
ɟ̊	ɡ̊	0.758
ɟ̊	-	0.18
ɟ̊ː	ɡ̊	0.486
ɡ̊	ɡ̊	0.545
ɡ̊	-	0.372
ɡ̊	ŋ	0.072
ɡ̊_ʏ	ɡ̊	0.486
ɡ̊ː	-	0.574
ɡ̊ː	ɡ̊	0.279
ɣ	ɡ̊	0.725
ɣ	ç	0.187
ɪ	-	0.618
ɪ	a	0.28
ɪ	ə	0.09
ɪ_r̥	a	1.0
ɲ	ŋ	0.486
ʏ	-	0.946
ʏ	i	0.036
ʏ	ə	0.033
ʏ_r̥	a	1.0
ʰk	ŋ	0.574
ʰk	k	0.279
ʰp	p͡f	0.486
ʰt	s	0.232
ʰt	x_t	0.225
ʰt	x	0.185
ʰt	-	0.14
ˈa	ˈo	0.278
ˈa	ˈa	0.204
ˈa	ˈɒ	0.147
ˈa	ˈaː	0.112
ˈa	ˈe	0.085
ˈa	ˈoɐ̯	0.079
ˈa	ˈɛ	0.074
ˈai̯	ˈai̯	0.296
ˈai̯	ˈeɐ̯	0.258
ˈai̯	ˈʏ	0.08
ˈaː	ˈoː	0.293
ˈaː	ˈɒ	0.174
ˈaː	ˈɒː	0.174
ˈaː	ˈa	0.151
ˈaː	ˈo	0.082
ˈaː	ˈeː	0.067
ˈaːi̯	ˈiɐ̯	0.784
ˈaːi̯	ˈe	0.122
ˈaːu̯	ˈɔ	1.0
ˈeːi̯	ˈoɐ̯	0.486
ˈi	ˈi	0.57
ˈi	ˈy	0.242
ˈi	ˈai̯	0.147
ˈiː	ˈai̯	0.797
ˈiː	ˈeː	0.087
ˈiː	ˈau̯	0.051
ˈiː	ˈuɐ̯	0.043
ˈiː	ˈoɐ̯	0.041
ˈou̯	ˈo	0.392
ˈou̯	ˈi	0.219
ˈou̯	ˈɛ	0.219
ˈoːu̯	ˈuɐ̯	0.46
ˈoːu̯	-	0.301
ˈoːu̯	ˈeɐ̯	0.089
ˈoːu̯	ˈu	0.089
ˈoːu̯	r	0.055
ˈu	ˈu	0.488
ˈu	ʋ	0.313
ˈuː	ˈau̯	0.708
ˈuː	ŋ	0.101
ˈuː	-	0.091
ˈœ	ˈe	0.304
ˈœ	ˈa	0.184
ˈœ	ˈɔ	0.17
ˈœ	ˈɛ	0.17
ˈœy̯	ˈe	0.486
ˈœː	ˈaː	0.341
ˈœː	ˈeː	0.191
ˈœː	ˈiː	0.191
ˈœː	ˈoɐ̯	0.076
