Standard Croatian	Russian	probability
ʨ	-	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_ə	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ̊	ɡ̊	1.0
uː_̌	ʊ	1.0
t_i	tʲ	1.0
r̩ː	ɵ	1.0
r̩	e	1.0
r_j	rʲ	1.0
oː	o	1.0
o_̌	ɐ	1.0
n_a	n_a	1.0
m_j	mʲ	1.0
l_j	lʲ	1.0
l_a	ɫ_a	1.0
j_eː	e	1.0
j	-	1.0
i_̂	ɨ_ˈ	1.0
aː_̌	ɐ	1.0
a_k	kʲ	1.0
k	k	0.902
̂	ˈ	0.898
ɡ	ɡ	0.888
b	b	0.832
iː	ɨ	0.807
e_̌	ɪ	0.804
o	o	0.752
p	pʲ	0.675
s	s	0.661
d	d	0.638
x	x	0.625
ʒ	ʐ	0.617
l	ɫ	0.61
t	t	0.595
z	z	0.587
e	e	0.571
̌	-	0.556
i	i	0.528
m	mʲ	0.515
r	r	0.506
m	m	0.485
ʋ	v	0.476
u	u	0.474
̌	ˈ	0.444
n	n	0.421
eː	ɪ	0.418
uː	u	0.41
a	a	0.406
t	tʲ	0.405
ʒ	ʐ̊	0.383
aː	o	0.38
r	rʲ	0.375
d	dʲ	0.348
s	sʲ	0.339
u	o	0.338
n	nʲ	0.329
p	p	0.325
aː	ə	0.325
z	zʲ	0.315
uː	o	0.298
aː	a	0.295
l	lʲ	0.29
ʋ	vʲ	0.272
eː	-	0.224
uː	ʊ	0.211
ʋ	-	0.207
x	j	0.203
e_̌	ɨ	0.196
iː	i	0.193
i	-	0.191
u	v	0.188
o	ɐ	0.182
eː	e	0.175
x	xʲ	0.172
b	b̥	0.168
i	ɨ_ˈ	0.166
a	-	0.16
e	e_ˈ	0.156
a	ə	0.155
a	o	0.151
n	n_ɨ	0.133
e	-	0.132
r	ɐ_r	0.119
n	ɨ	0.117
i	i_ˈ	0.115
ɡ	ɡ̊	0.112
l	ə_ɫ	0.099
z	z̥	0.098
k	-	0.098
eː	ɛ	0.088
uː	ʉ	0.081
e	ɪ	0.071
e	ɵ	0.069
o	o_ˈ	0.066
eː	ɵ	0.054
̂	o_ˈ	0.051
̂	-	0.051
