Proto-Germanic	East Low German	probability
a	-	0.24
b	b	0.95
b	-	0.053
b_ˈi	ˈɪ	1.0
d	d	0.826
d	t	0.123
d	-	0.054
e	æ	1.0
i	-	0.928
i	ɾ	0.071
i_j	æ	0.49
iː	-	0.699
iː	n	0.146
j	-	0.85
j	j	0.113
j	ˈʏ	0.044
jː	ˈae̯	0.24
k	kʰ	0.616
k	k	0.292
k	-	0.063
k	h	0.036
k_i	k	1.0
k_s	k	1.0
kʷ	f	0.24
kʷ	k	0.118
kː	k	0.24
l	l	0.969
l	-	0.039
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	0.49
lː_ɑ	l	1.0
m	m	0.911
m	-	0.049
m	n	0.048
m_i	m	1.0
mː	m	1.0
n	n	0.793
n	-	0.19
n_u	n	0.49
n_x	ŋ	1.0
n_ɑ	m	1.0
nː	n	1.0
p	p	0.833
p	b	0.136
p_ɑ̃	p	1.0
pː	p	0.49
pː	f	0.058
r	r	0.524
r	-	0.304
r	æ	0.167
r_i	æ	1.0
r_u	æ	1.0
r_ɑ	æ	1.0
r_ɑ̃	æ	1.0
s	z	0.307
s	ʃ	0.273
s	s	0.249
s	-	0.163
s_k	ʃ	1.0
s_ɑ̃	s	1.0
t	t	0.639
t	tʰ	0.223
t	-	0.132
t_ɑ	t	1.0
u	-	0.964
u	ˈøː	0.04
u_n	n	1.0
w	v	0.524
w	-	0.28
w	w	0.112
w	ˈʏ	0.04
w	ɣ	0.04
wː	ˈuː	1.0
x	h	0.62
x	x	0.141
x	ç	0.114
x	-	0.096
x	kʰ	0.03
x_l	l	1.0
x_s	s	1.0
xʷ	v	0.683
xʷ	-	0.315
z	-	0.962
z	ç	0.036
ð	ɾ	0.514
ð	d	0.155
ð	t	0.155
ð	-	0.138
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.68
ŋ	-	0.298
ŋ_ɡ	ŋ	1.0
ɑ	-	0.926
ɑ	ɪ	0.053
ɑ_l	l	1.0
ɑ_n	m	1.0
ɑi̯	ˈɪ	0.49
ɑː	-	0.49
ɑ̃	-	1.0
ɔː	-	0.583
ɔː	æ	0.413
ɔː_n	n	1.0
ɔːu̯	-	1.0
ɔːː	-	0.719
ɔːː	æ	0.266
ɔ̃ː	-	0.755
ɔ̃ː	m	0.119
ɔ̃ː	ˈuː	0.091
ɛː	æ	1.0
ɡ	-	0.342
ɡ	ç	0.298
ɡ_ɑ	k	1.0
ɡʷ	-	0.49
ɣ	ɡ	0.424
ɣ	j	0.247
ɣ	ŋ	0.111
ɣ	ç	0.083
ɣ	k	0.063
ɣ_i	ç	1.0
ɣ_j	ç	1.0
ɣ_ɑ	x	0.549
ɣ_ɑ	ç	0.407
ɸ	f	0.957
ɸ	-	0.039
ɸ	ʃ	0.031
ˈe	ˈɛ	0.242
ˈe	ˈɛː	0.176
ˈe	ˈae̯	0.137
ˈe	ˈiː	0.137
ˈe	ˈɪ	0.077
ˈe_r	ˈaː	1.0
ˈeu̯	ˈae̯	0.548
ˈeu̯	ˈɪ	0.218
ˈeu̯	ˈaɪ̯	0.125
ˈeu̯	ˈɔ	0.093
ˈeː	ˈiː	0.24
ˈi	ˈɪ	0.658
ˈi	ˈiː	0.165
ˈi	ˈɛ	0.053
ˈi	ɪ	0.047
ˈi	ˈae̯	0.046
ˈiu̯	ˈyː	0.683
ˈiu̯	ˈiː	0.315
ˈiː	ˈiː	0.863
ˈiː	ˈae̯	0.083
ˈiː	ˈɪ	0.049
ˈĩː	ˈɪ	0.24
ˈu	ˈʊ	0.286
ˈu	ˈɔ	0.166
ˈu	ˈʏ	0.127
ˈu	ˈuː	0.122
ˈu	ˈœː	0.084
ˈuː	ˈuː	0.896
ˈuː	ˈaʊ̯	0.094
ˈɑ	ˈa	0.507
ˈɑ	ˈɒː	0.136
ˈɑ	ˈɛ	0.079
ˈɑ	ˈɛː	0.069
ˈɑ	ˈɔ	0.054
ˈɑ_r	ˈaː	1.0
ˈɑ_x	ˈɒː	0.49
ˈɑi̯	ˈae̯	0.677
ˈɑi̯	ˈeː	0.143
ˈɑi̯	ˈɪ	0.125
ˈɑi̯	ˈaʊ̯	0.044
ˈɑu̯	ˈaʊ̯	0.569
ˈɑu̯	ˈɔʏ̯	0.125
ˈɑu̯	ˈœ	0.072
ˈɑu̯	ˈoː	0.072
ˈɑu̯	ˈyː	0.059
ˈɔ	ˈɔʏ̯	1.0
ˈɔː	ˈaʊ̯	0.57
ˈɔː	ˈɔʏ̯	0.2
ˈɔː	ˈyː	0.085
ˈɔː	ˈɛ	0.069
ˈɔː	ˈʊ	0.069
ˈɛː	ˈɒː	0.685
ˈɛː	ˈoː	0.313
β	v	0.281
β	b	0.245
β	m	0.213
β	f	0.162
β	p	0.056
β_ɑ	f	1.0
β_ɑ̃	f	1.0
θ	d	0.708
θ	-	0.167
θ	ɾ	0.072
θ	t	0.047
θ_ɑ̃	d	0.49
