West Flemish	West Flemish	probability
ˈɪ	ˈi	1.0
ˈɛː	ˈɛː	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈu	1.0
ˈyː	-	1.0
ˈuə̯	ˈoː	1.0
ˈi	ˈiː	1.0
ʃ_h	s_k	1.0
ɾ_n	r_n	1.0
ə_l	l_s	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	x	1.0
w	l	1.0
s	s	1.0
p	p	1.0
m	m	1.0
h	h	1.0
d̥_#>	t_#>	1.0
d_ə	θ_a	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_h	1.0
v	f	0.889
ʋ	w	0.867
t	t	0.818
k	k	0.812
#>	s_#>	0.788
l	l	0.778
n	n	0.739
ˈɒː	ˈa	0.727
ɾ_#>	r_#>	0.714
d	d	0.714
ˈiə̯	ˈiu̯	0.636
ɾ	r	0.636
ˈu	ˈu	0.625
ˈɛ	-	0.6
ɦ	ɡ	0.6
ˈœ	ˈu	0.5
ˈœ	-	0.5
ˈoː	ˈɔː	0.5
ɦ̥	ɡ_s	0.5
ɦ̥	x_s	0.5
j	j	0.5
j	-	0.5
ˈeː	ˈi	0.444
ˈɔ	ˈu	0.429
v̥	f_s	0.429
d̥	θ	0.421
ˈɛ	ˈi	0.4
ˈæ	ˈɛ	0.4
ˈæ	ˈi	0.4
ɦ	-	0.4
ˈu	ˈa_l	0.375
ˈiə̯	-	0.364
ˈoː	ˈɔ	0.333
ˈeː	ˈɛː	0.333
ə	oː	0.333
ə	a	0.292
ˈɔ	ˈa	0.286
ˈɔ	-	0.286
ɾ_#>	#>	0.286
v̥	β	0.286
v̥	b	0.286
d	θ	0.286
ˈɒː	ˈeː	0.273
n	a_n	0.261
ˈeː	-	0.222
l	lː	0.222
#>	u_s_#>	0.212
d̥	θ_s	0.211
d̥	d_s	0.211
ˈæ	-	0.2
k	ɡ_s	0.188
ɾ	s	0.182
ɾ	a_r	0.182
ˈoː	-	0.167
ə	-	0.167
d̥	d	0.158
ʋ	ʍ	0.133
ə	s	0.125
v	β	0.111
t	t_a	0.091
t	s	0.091
