Upper Sorbian	Lower Sorbian	probability
β_<#	<#	1.0
ˈɪ	ˈɨ	1.0
ˈɔ_w	w	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ʦ	ʦ	1.0
ʤ	ʑ	1.0
ʒ	ʐ	1.0
ʀʲ	rʲ	1.0
ɲ	ɲ	1.0
ɪ	ɨ	1.0
ɦ	ɡ	1.0
ɥ	vʲ	1.0
ɔ	ɔ	1.0
z	z	1.0
xʲ	x	1.0
t	t	1.0
s	s	1.0
pʲ	pʲ	1.0
p_<#	<#	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
l	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a	a	1.0
w	w	0.895
ʀ	r	0.842
β	v	0.833
ˈo	ˈɔ	0.818
ˈa	ˈa	0.818
i	i	0.714
x	k	0.7
ʧ	ɕ	0.696
ˈe	ˈɪ	0.667
ˈɔ	ˈɔ	0.571
ɛ	e	0.571
ʃ	ʂ	0.5
ʃ	ɕ	0.5
ɛ	ɛ	0.429
ˈɛ	ˈe	0.364
x	x	0.3
i	ɨ	0.286
ˈɛ	ˈɛ	0.273
ˈɔ	ˈɛ	0.25
ˈe	ˈe	0.19
ˈɛ	ˈɪ	0.182
ˈɛ	ɛ	0.182
ˈo	ˈɛ	0.182
ˈa	ˈɪ	0.182
ʧ	ʨ	0.174
β	ˈɔ	0.167
ʀ	ʂ	0.158
ˈe	ˈa	0.143
ʧ	ʦ	0.13
ˈɔ	ˈa	0.107
w	-	0.105
ˈɔ	ɨ	0.071
