Romansch	Romansch	probability
ˈɛː_r	ˈe_ʀ	1.0
ˈɛ_w	ˈɔ_k	1.0
ˈo	ˈœ	1.0
ˈaː_r_#>	ˈa_#>	1.0
ˈa_j	ˈɪ	1.0
ʨ	ʧ	1.0
ʧ	s	1.0
ʦ_#>	#>	1.0
ʦ	s	1.0
ʒ	v	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɡ_l	ʎ	1.0
ə_n	ã_ŋ	1.0
ə_l	ɒ_l	1.0
ŋ	ŋ	1.0
v_ˈa	v_ˈa	1.0
t_#>	#>	1.0
s_ˈi	s_ˈɪ	1.0
s_t	t	1.0
s_#>	#>	1.0
r_ˈa	ʀ_ˈɪ	1.0
r_ə	ʀ_ɔ	1.0
r_t	ʀ	1.0
r_#>	#>	1.0
o	u	1.0
n_t	ŋ	1.0
n_s	lː	1.0
j_r	ə	1.0
i_t	i	1.0
f_#>	w_#>	1.0
e	-	1.0
a	ɥ	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʤ	1.0
<#_ə	<#_ɒ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ɒ	1.0
s	s	0.9
k	k	0.9
p	p	0.889
t	t	0.846
l_#>	l_#>	0.833
m	m	0.808
ˈɔː	w_ˈɔ	0.8
f	f	0.8
ˈaː	ˈa	0.778
n_#>	ŋ_#>	0.778
d	d	0.778
b	b	0.769
ʃ_#>	s_#>	0.714
ə	ɔ	0.708
r	ʀ	0.707
ʥ	ʤ	0.7
l	l	0.667
i	-	0.667
ˈiː	ˈi	0.632
ˈɛː	ˈe_l	0.6
ˈuː	ˈu	0.6
ɡ	ɡ	0.583
ə_r	ʀ_ə	0.545
w	w	0.538
n	n	0.538
ˈiə̯	ˈe	0.5
ˈiə̯	-	0.5
ˈeː	ˈɪ	0.5
ˈeː	ˈe	0.5
ˈe	-	0.5
ˈa_w	ˈã	0.5
ˈa_w	ˈa	0.5
s_ə	s_ˈa	0.5
s_ə	s_ɔ	0.5
j	-	0.5
ˈu	ˈu	0.483
w	-	0.462
v	v	0.458
ˈɛ	ˈe	0.44
ˈɔ	ˈã	0.438
ˈɔ	w_ˈɔ	0.438
ˈa	ˈa	0.424
ʨ_#>	j_#>	0.417
ɡ	-	0.417
ˈɛː	ˈɛ_l	0.4
ʃ	ɪ	0.4
n	ŋ	0.385
u	u	0.364
#>	ə_#>	0.35
#>	ɔ_#>	0.35
ˈi	ˈĩ	0.333
ʨ_#>	#>	0.333
i	ɔ	0.333
ʥ	-	0.3
ʃ_#>	#>	0.286
ə_r	ə	0.273
u	-	0.273
ʃ	-	0.267
ˈi	ˈi	0.25
ˈi	-	0.25
ˈe	ˈe	0.25
ˈe	ʎ	0.25
ʨ_#>	k_#>	0.25
v	b	0.25
l	-	0.25
ˈɛ	ˈẽ	0.24
b	b_w	0.231
j	j	0.227
ˈaː	-	0.222
n_#>	#>	0.222
ˈiː	ˈy	0.211
v	vʲ	0.208
ˈɛ	-	0.2
ˈɔː	w	0.2
ˈuː	ˈɔ	0.2
ˈuː	ˈy	0.2
ʃ	s	0.2
f	fʲ	0.2
r	ʀ_ə	0.195
ə_r	e	0.182
u	œ	0.182
j	w	0.182
ˈi	ˈy	0.167
l_#>	#>	0.167
ˈiː	-	0.158
t	-	0.154
ˈu	ˈũ	0.138
ʃ	z	0.133
ˈɔ	j_ˈɔ	0.125
ə	ɒ	0.123
ˈa	ˈe_j	0.121
ˈa	ˈe	0.121
ˈa	ˈã	0.121
ˈɛ	ˈœ	0.12
m	mʲ	0.115
d	dʲ	0.111
d	-	0.111
ə	ə	0.108
ˈu	ˈɔ̃	0.103
s	t	0.1
k	-	0.1
#>	ˈa_#>	0.1
#>	ŋ_#>	0.1
#>	k_#>	0.1
ˈa	-	0.091
u	ũ	0.091
u	ĩ	0.091
j	ˈɪ	0.091
v	w	0.083
l	ʎ	0.083
n	-	0.077
m	-	0.077
p	-	0.074
ˈu	w_ˈɔ̃	0.069
ˈu	w_ˈẽ	0.069
ˈu	w	0.069
ˈu	-	0.069
ˈa	ˈɪ	0.061
ˈa	ʀ	0.061
