Swedish	Swedish	probability
ˈʏ	-	1.0
ˈɵ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɔ	-	1.0
ˈɑː	ˈa	1.0
ˈœː	ˈɔː	1.0
ˈœ	-	1.0
ˈøː_#>	ˈɛː_w_s_#>	1.0
ˈæː	-	1.0
ˈiː	ˈiː	1.0
ˈa	ˈa	1.0
ʈː	r_t	1.0
ʈ	t_iː	1.0
ʂ	ˈɔ_r_s	1.0
ɳ	r_n	1.0
ɪ	-	1.0
ɛ_l	l_s	1.0
ɕ	-	1.0
ŋː	ŋ_ɡ	1.0
ŋ	-	1.0
v_#>	f_s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
lː	lː	1.0
l_d	l_θ	1.0
l	l	1.0
kː	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_w	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
k	k	0.8
t	t	0.769
<#_kʰ	<#_k	0.714
n	n	0.692
ˈuː	ˈoː	0.667
a	a	0.645
r	r	0.619
ˈʊ	-	0.6
ˈʉː	ˈiu̯	0.6
<#_tʰ	<#_t	0.6
ˈøː	ˈɔː	0.583
tː	h_t	0.571
ɧ	s	0.556
ɛ	a	0.545
ˈɛː	ˈiu̯	0.5
ˈɛː	-	0.5
ˈeː	ˈɛː	0.5
#>	s_#>	0.5
<#	<#_h	0.455
ˈɛ	ˈi	0.444
ɧ	s_k	0.444
d	d	0.444
tː	t	0.429
ˈʊ	ˈu	0.4
ˈʉː	ˈuː	0.4
<#_tʰ	<#_θ	0.4
ˈoː	ˈeː	0.385
nː	nː	0.375
nː	n_θ	0.375
<#	<#_w	0.364
#>	n_#>	0.357
ˈuː	ˈɔ	0.333
ɡ	ɡ	0.333
ɡ	x	0.333
d	θ	0.333
a	oː	0.323
ˈoː	ˈa	0.308
r	s	0.286
<#_kʰ	<#	0.286
ɛ	-	0.273
ˈøː	-	0.25
ˈeː	j_a	0.25
ˈeː	-	0.25
nː	n	0.25
t	t_s	0.231
ˈɛ	ˈa	0.222
ɡ	ɣ	0.222
d	θ_s	0.222
v	w	0.2
v	f	0.2
v	-	0.2
k	-	0.2
j	ˈɛ	0.2
j	ɡ	0.2
j	l	0.2
j	d	0.2
j	-	0.2
ɛ	r_u	0.182
<#	<#_j	0.182
ˈɛ	ˈɛː	0.167
ˈɛ	ˈɛ	0.167
ˈøː	ˈɔ	0.167
ˈoː	ˈu	0.154
ˈoː	-	0.154
n	n_s	0.154
n	-	0.154
v	ʍ	0.133
v	w_ˈi	0.133
v	b	0.133
ɡ	ɡʷː	0.111
r	-	0.095
#>	u_s_#>	0.086
