Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ_l	ˈuː	1.0
ˈɪ_k	ˈaː	1.0
ˈɛɪ̯	ˈiː	1.0
ˈɒː_n	ˈeː	1.0
ˈøː	ˈi_ŋ	1.0
ˈiː_f	ˈaːɪ̯	1.0
ˈeː	-	1.0
ˈae̯_ŋ	ˈiː	1.0
ˈae̯_v̥	ˈi_f	1.0
ˈa_l	ˈɑː	1.0
ɾ	ð	1.0
ɣ̊	ə	1.0
ɣ	ˈəi̯	1.0
ɡ̊	-	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
æ_n	r_n	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
w	w	1.0
v̥	f	1.0
tʰ	tʰ	1.0
r_ˈaʊ̯	r	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_n	n	1.0
m_#>	#>	1.0
m	m	1.0
h	h	1.0
f	f	1.0
d̥_#>	θ_#>	1.0
d_r	d_r	1.0
d_n	d	1.0
b_m_#>	#>	1.0
b	b	1.0
ae̯	i	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
t	t	0.951
l	l	0.933
k	k	0.929
d̥	d	0.913
ˈɪ	ˈɪ	0.792
ˈɔʏ̯	ˈi	0.778
s	s	0.778
ˈɛː	-	0.75
kʰ	kʰ	0.75
ˈʊ	ˈʌ	0.727
v	w	0.682
ˈʏ	ˈɪ	0.667
ɪ	i	0.667
n	n	0.616
ɡ	ɡ	0.6
ˈoː	-	0.571
æ	ə_r	0.545
d	θ	0.545
ʃ	s	0.542
ˈiː	ˈəi̯	0.533
ˈɛ	ˈɛ	0.5
ˈœː	ˈɪ	0.5
ˈœː	-	0.5
ˈœ	ˈa	0.5
ˈœ	-	0.5
ˈyː	ˈəi̯	0.5
ˈyː	ˈiː	0.5
ç	-	0.5
x	ç	0.5
x	x	0.5
j	ɡ	0.5
j	j	0.5
ˈae̯	ˈe	0.476
ʃ	ʃ	0.458
d	d	0.455
ˈuː	ˈu	0.444
ˈoː	ˈeː	0.429
ˈɔ	ˈo	0.4
ɡ	-	0.4
æ	r	0.394
ˈa	ˈɑː	0.353
ˈa	ˈa	0.353
ˈʏ	-	0.333
ˈaː	ˈeː_r	0.333
ɪ	e	0.333
n	-	0.329
ˈaʊ̯	ˈø	0.316
ˈɒː	ˈi	0.308
ˈɒː	ˈe	0.308
ˈʊ	ˈu	0.273
ˈiː	ˈiː	0.267
ˈaʊ̯	-	0.263
ˈɛː	ˈi	0.25
ˈɛ	-	0.25
kʰ	k	0.25
ˈɒː	-	0.231
ˈɔʏ̯	-	0.222
ˈuː	ˈuː	0.222
ˈaː	ˈɛ	0.222
ˈaː	r	0.222
ˈaː	-	0.222
s	k_s	0.222
ˈaʊ̯	ˈi	0.211
ˈɔ	ˈɪ	0.2
ˈɔ	ˈɑː	0.2
ˈɔ	-	0.2
ˈiː	-	0.2
ˈae̯	ˈiː	0.19
ˈa	ˈɪ	0.176
ˈɛ	ˈɪ	0.167
ˈuː	ˈo	0.167
ˈuː	-	0.167
ç	ɡ	0.167
ç	ç_t	0.167
ç	x	0.167
ˈaʊ̯	ˈɪ	0.158
ˈɒː	ˈʌ	0.154
ˈae̯	ˈɛ	0.143
v	ʍ	0.136
ˈɪ	-	0.125
ˈa	ˈe	0.118
ˈae̯	ˈɪ	0.095
ˈae̯	ˈɑː	0.095
v	w_ˈɪ	0.091
v	w_ˈa	0.091
d̥	ˈe_d	0.087
ˈɪ	ˈɛ	0.083
ˈɛ	ˈɛː	0.083
k	ʤ	0.071
l	-	0.067
æ	ˈiː_r	0.061
ˈaʊ̯	ˈøː	0.053
