Afrikaans	Alsatian	probability
b	b̥	1.0
d	d̥	0.629
d	t	0.321
d	-	0.052
f	f	0.932
f	b̥	0.066
j	j	1.0
k	kʰ	0.48
k	ʃ	0.173
k	i_ʃ	0.103
k	-	0.068
k	ɡ̊	0.068
m	m	1.0
n	n	0.935
n	-	0.041
p	f	0.372
p	f_ə	0.24
p	p͡f	0.209
p	p	0.158
r	ʁ	0.964
r	-	0.039
s	s	0.59
s	ʃ	0.38
s_k	ʃ	1.0
t	t	0.343
t	s	0.222
t	d̥	0.178
t	ʦ	0.177
t	-	0.073
v	ʋ	0.763
v	v	0.1
v	f	0.066
v	w	0.066
w	w	0.392
w	ʋ	0.342
w	-	0.048
ŋ	ŋ	0.679
ŋ	-	0.155
ŋ	n	0.131
ə	ə	0.488
ə	-	0.262
ə	i	0.221
ə	ˈiː	0.038
ɦ	h	1.0
ɫ	l	1.0
ˈa	ˈɒ	0.587
ˈa	ˈɒː	0.316
ˈa	-	0.048
ˈa	ˈɛ	0.048
ˈi	ˈiː	0.362
ˈi	ˈei̯	0.259
ˈi	ˈeː	0.158
ˈi	ˈæː	0.11
ˈi	ˈi	0.084
ˈoːi̯	ˈoː	0.501
ˈu	ˈʊː	0.423
ˈu	ˈiː	0.348
ˈu	ˈøː	0.207
ˈuː	ˈʊː	0.501
ˈuːi̯	ˈʊː	1.0
ˈyː	ˈiː	1.0
ˈæː	ˈæ	0.331
ˈæː	ˈe	0.166
ˈœ	ˈu	0.776
ˈœ	w	0.175
ˈœi̯	ˈiː	0.501
ˈœu̯	ˈɒ_l	0.723
ˈœu̯	ˈɔi̯	0.208
ˈœɪ̯	ˈyː	0.506
ˈœɪ̯	ˈi	0.171
ˈœɪ̯	ˈiː	0.117
ˈœɪ̯	ˈøi̯	0.117
ˈɑː	ˈoː	0.421
ˈɑː	ˈɒ	0.373
ˈɑː	ˈæː	0.141
ˈɑː	ˈɒː	0.06
ˈɔ	ˈo	0.433
ˈɔ	ˈu	0.364
ˈɔ	ˈyː	0.071
ˈɔ	ˈʊː	0.071
ˈɔ	ˈoː	0.061
ˈɔː	ˈaː	0.331
ˈɔː	ˈu	0.331
ˈə	ˈi	0.737
ˈə	ˈiː	0.169
ˈə	ˈe	0.081
ˈəɪ̯	ˈəi̯	0.524
ˈəɪ̯	ˈiː	0.18
ˈəɪ̯	ˈei̯	0.133
ˈəɪ̯	ˈi	0.098
ˈɛ	ˈe	0.322
ˈɛ	ˈi	0.28
ˈɛ	ˈeː	0.126
ˈɛ	ˈiː	0.126
ˈɛ	ˈæ	0.126
ˈɛː	ˈaː	0.574
ˈɛː	ˈɒ	0.288
ˈɪ	ˈɒ	0.501
ˈɪø̯	ˈoː	0.392
ˈɪø̯	ˈu	0.226
ˈɪø̯	ˈɒː	0.226
ˈɪə̯	ˈæ	0.214
ˈɪə̯	ˈəi̯	0.214
ˈɪə̯	ˈe	0.146
ˈɪə̯	ˈi	0.127
ˈɪə̯	ˈæː	0.099
ˈʊə̯	ˈoː	0.288
ˈʊə̯	ˈʊː	0.2
ˈʊə̯	ˈo	0.155
ˈʊə̯	ˈeː	0.14
ˈʊə̯	ˈai̯	0.061
χ	ɡ̊	0.327
χ	x	0.18
χ	k	0.147
χ	-	0.142
χ	j	0.073
