Icelandic	Yiddish	probability
a	n	0.525
a	-	0.303
a	ə	0.166
b̥	b	0.919
b̥	-	0.081
c	k	0.308
c	χ	0.2
c	ʧ	0.158
c	-	0.12
cʰ	k	1.0
d̥	t	0.784
d̥	d	0.2
d̥_ʏ	t	1.0
f	f	1.0
h	h	0.921
h	k	0.078
j	-	0.355
j	ˈɪ	0.251
j	ˈɛ	0.207
j	χ	0.08
j	ˈɛɪ̯	0.075
j_ˈoːu̯	ˈɪ	0.141
j_ˈœ	ˈɛ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈɛː	ˈɪ	1.0
k	χ	0.623
k	k	0.349
kʰ	k	0.742
kʰ	f	0.253
kʰ_v	v	1.0
l	l	0.966
l	-	0.048
l_ʏ	l	1.0
l̥	l	1.0
m	m	0.927
m	n	0.076
m_ʏ	m	1.0
n	n	0.825
n	-	0.146
n	m	0.044
nː	n	0.839
nː	-	0.158
n̥	n	0.836
n̥	-	0.14
p	f	0.558
p	m	0.219
p	v	0.219
p_ʏ	f	0.521
r	ʀ	0.812
r	ʀ_ɛ	0.066
r	ʀ_ə	0.057
r	z	0.05
r	-	0.043
r_j	ʀ	0.271
r_t	ʀ	1.0
rː̥	k	0.074
r̥	-	0.703
r̥	ʀ	0.28
s	z	0.51
s	ʃ	0.333
s	s	0.093
s	-	0.058
s_k	ʃ	1.0
t	-	0.442
t	t	0.229
t	s	0.163
t	ʦ	0.159
t_ʏ	s	1.0
tʰ	ʦ	1.0
u	ˈa	0.5
u	ɪ	0.5
v	v	0.373
v	b	0.277
v	f	0.109
v	-	0.082
v	p	0.082
x	χ	1.0
ç	h	1.0
ð	t	0.577
ð	d	0.203
ð	-	0.167
ð	s	0.054
ð_ʏ	t	1.0
ŋ	ŋ	0.768
ŋ	-	0.129
ŋ	ɪ	0.099
ɑu̯	ɪ	1.0
ɛ	-	0.521
ɛː	ə	0.521
ɟ̊	ɡ	0.657
ɟ̊	-	0.169
ɟ̊	k	0.169
ɡ̊	ɡ	0.651
ɡ̊	-	0.185
ɡ̊	k	0.14
ɡ̊_a	ɡ	0.521
ɡ̊_ʏ	ɡ	1.0
ɣ	ʦ	0.574
ɣ	χ	0.299
ɣ_a	ɡ	1.0
ɣ_ʏ	ɡ	1.0
ɪ	ə	0.709
ɪ	-	0.198
ɪ	ɛ	0.091
ɲ	ŋ	0.141
ʏ	-	0.754
ʏ	ə	0.208
ʏ	ɪ	0.042
ʏ_ð	t	0.271
ʰk	ŋ_k	0.74
ʰk	k	0.152
ʰp	p	0.236
ʰp	f	0.123
ʰt	χ_t	0.506
ʰt	v	0.253
ʰt	s	0.113
ʰt	χ	0.078
ʰt_ʏ	χ	1.0
ˈa	ˈa	0.737
ˈa	ˈɔ	0.1
ˈa	ˈɔɪ̯	0.066
ˈa	-	0.059
ˈa	ˈɛ	0.052
ˈai̯	ˈɪ	0.418
ˈai̯	ˈaɪ̯	0.099
ˈaː	ˈɔ	0.512
ˈaː	ˈa	0.484
ˈaːi̯	ˈɪ	0.45
ˈaːi̯	ˈa	0.356
ˈaːu̯	ŋ	1.0
ˈeːi̯	ˈɔɪ̯	0.141
ˈi	ˈɪ	0.57
ˈi	ˈaɪ̯	0.181
ˈi	ˈi	0.166
ˈiː	ˈaɪ̯	0.8
ˈiː	-	0.091
ˈiː	ˈʊ	0.086
ˈiː	ˈɪ	0.047
ˈiː_r̥	ˈaɪ̯	1.0
ˈou̯	ˈɛ	0.784
ˈou̯	ˈɔ	0.14
ˈoːu̯	ˈʊ	0.842
ˈoːu̯	-	0.09
ˈoːu̯	ʀ	0.071
ˈu	ˈʊ	0.407
ˈu	-	0.268
ˈu	j	0.184
ˈu	ˈɔ	0.078
ˈuː	ˈɔɪ̯	0.645
ˈuː	ˈʊ	0.144
ˈuː	ə	0.111
ˈuː	-	0.085
ˈœ	ˈɔ	0.644
ˈœ	ˈa	0.254
ˈœy̯	ˈɔɪ̯	0.521
ˈœː	ˈɔ	0.384
ˈœː	-	0.137
ˈœː	ˈɔɪ̯	0.13
ˈœː	ˈɛɪ̯	0.12
ˈœːy̯	ˈɔɪ̯	1.0
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɔ	0.608
ˈɑːu̯	ˈɔɪ̯	0.136
ˈɑːu̯	ˈɛ	0.125
ˈɔ	ˈɔɪ̯	0.418
ˈɔ	ˈɔ	0.395
ˈɔ	ˈʊ	0.15
ˈɔu̯	ˈɔ	0.304
ˈɔu̯	ˈa	0.304
ˈɔu̯	-	0.182
ˈɔu̯	ˈʊ	0.118
ˈɔː	ˈʊ	0.5
ˈɔː	ˈɔ	0.5
ˈɛ	ˈɛ	0.516
ˈɛ	ˈɛɪ̯	0.114
ˈɛ	ˈa	0.103
ˈɛ	-	0.09
ˈɛ	ˈɪ	0.09
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛː	ˈɛ	0.582
ˈɛː	ˈɔ	0.407
