Icelandic	Yiddish	probability
a	n	0.643
a	ə	0.253
a	ɡ_n	0.104
aːu̯	-	1.0
b̥	b	0.981
c	χ	0.353
c	ʧ	0.34
c	-	0.161
c	k	0.147
cʰ	k	1.0
d̥	t	0.763
d̥	d	0.237
f	f	1.0
h	h	0.921
h	k	0.079
j	-	0.459
j	ˈɛ	0.28
j	ˈɪ	0.147
k	χ	0.656
k	-	0.27
k	k	0.074
kʰ	k	0.752
kʰ	-	0.248
l	l	1.0
l̥	l	1.0
m	m	0.889
m	ə_m	0.058
m	n	0.053
n	n	0.888
n	-	0.093
nː	n	0.893
nː	l	0.107
n̥	n	0.525
n̥	-	0.333
n̥	ɛ	0.142
p	f	0.827
p	m	0.154
r	ʀ	0.946
r	-	0.054
rː̥	k	1.0
r̥	-	0.712
r̥	ʀ	0.288
s	z	0.517
s	ʃ	0.362
s	-	0.105
sː	d	1.0
t	s	0.55
t	-	0.239
t	t	0.113
t	ʦ	0.098
tʰ	ʦ	0.864
tʰ	b	0.103
u	ɪ	0.5
u	ˈa	0.5
v	v	0.522
v	b	0.25
v	f	0.078
v	-	0.078
x	χ	0.743
x	ɡ	0.257
ç	h	1.0
ð	t	0.745
ð	d	0.108
ð	-	0.097
ð	s	0.05
ŋ	ŋ	0.684
ŋ	-	0.233
ŋ	ɪ	0.083
ɑu̯	ɪ	1.0
ɛ	-	1.0
ɛː	ə	1.0
ɟ̊	ɡ	1.0
ɟ̊ː	k	0.874
ɟ̊ː	ɡ	0.126
ɡ̊	ɡ	0.854
ɡ̊	-	0.103
ɡ̊ː	-	0.5
ɡ̊ː	k	0.5
ɣ	ɡ	0.83
ɣ	χ	0.141
ɪ	ə	0.753
ɪ	-	0.234
ɲ	ŋ	1.0
ʏ	-	0.882
ʏ	ə	0.118
ʰc	k	1.0
ʰk	ŋ_k	0.545
ʰk	k	0.359
ʰk	χ	0.096
ʰp	f	0.747
ʰp	p	0.253
ʰt	χ	0.576
ʰt	ʦ	0.342
ʰt	s	0.07
ˈa	ˈa	0.665
ˈa	-	0.155
ˈa	ˈɔ	0.107
ˈa	ˈɛ	0.074
ˈai̯	ˈaɪ̯	0.399
ˈai̯	ˈɪ	0.394
ˈai̯	ˈɛ	0.206
ˈau̯	-	0.459
ˈau̯	ˈɛɪ̯	0.263
ˈau̯	ˈɛ	0.169
ˈau̯	ˈa	0.11
ˈaː	ˈɔ	0.522
ˈaː	ˈa	0.478
ˈaːi̯	ˈa	0.619
ˈaːi̯	ˈɪ	0.204
ˈaːi̯	ˈʊ	0.177
ˈaːu̯	ˈɔ	1.0
ˈeːi̯	ˈɔɪ̯	1.0
ˈi	ˈɪ	0.963
ˈiː	ˈaɪ̯	0.691
ˈiː	-	0.11
ˈiː	ˈʊ	0.101
ˈiː	ˈɪ	0.098
ˈou̯	ˈɛ	0.848
ˈou̯	ˈɔ	0.152
ˈoːu̯	-	0.53
ˈoːu̯	ˈʊ	0.389
ˈu	ˈʊ	0.524
ˈu	ˈɔ	0.19
ˈu	-	0.15
ˈu	j	0.135
ˈuː	ˈɔɪ̯	0.632
ˈuː	-	0.347
ˈœ	ˈa	0.478
ˈœ	ˈɔ	0.436
ˈœ	ˈɪ	0.086
ˈœː	-	0.738
ˈœː	ˈɔ	0.153
ˈœː	ˈɛɪ̯	0.066
ˈœːy̯	ˈɔɪ̯	1.0
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɔɪ̯	0.357
ˈɑːu̯	ˈɔ	0.249
ˈɑːu̯	j	0.161
ˈɑːu̯	-	0.156
ˈɑːu̯	ˈɛ	0.077
ˈɔ	ˈɔ	0.436
ˈɔ	v_ˈɔ	0.324
ˈɔ	ˈʊ	0.176
ˈɔ	ˈɔɪ̯	0.065
ˈɔu̯	-	0.393
ˈɔu̯	ˈa	0.261
ˈɔu̯	ˈʊ	0.21
ˈɔu̯	ˈɔ	0.137
ˈɔː	ˈʊ	0.835
ˈɔː	ˈɔ	0.165
ˈɛ	ˈɛ	0.648
ˈɛ	ˈaɪ̯	0.105
ˈɛ	-	0.087
ˈɛ	ˈɛɪ̯	0.08
ˈɛ	ˈa	0.055
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛː	ˈɪ	0.695
ˈɛː	ˈɛ	0.137
ˈɛː	ˈɔ	0.129
ˈɛːi̯	ˈɛɪ̯	0.545
ˈɛːi̯	ˈɔɪ̯	0.195
ˈɛːi̯	ˈɛ	0.132
ˈɛːi̯	ˈɔ	0.128
ˈɪ	ˈɪ	0.802
ˈɪ	ˈɔ	0.146
ˈɪ	ˈɛ	0.052
ˈɪː	ˈɪ	0.477
ˈɪː	ˈa	0.182
ˈɪː	ˈɛɪ̯	0.116
ˈɪː	ˈɔ	0.113
ˈɪː	ˈɛ	0.113
ˈʏ	ˈʊ	0.528
ˈʏ	ˈɔɪ̯	0.213
ˈʏ	ˈɪ	0.11
ˈʏ	ˈɛ	0.075
ˈʏ	ˈɔ	0.074
ˈʏː	ˈʊ	0.336
ˈʏː	ˈɔ	0.315
ˈʏː	ˈaɪ̯	0.195
ˈʏː	ˈɛ	0.112
θ	d	0.786
θ	t	0.154
θ	-	0.06
