Northern Low Saxon	Dutch	probability
aɪ̯	i	1.0
b	b	0.696
b	p	0.304
d	t	0.562
d	d	0.422
f	v	0.698
f	f	0.302
h	ɦ	1.0
i	ə	1.0
j	ˈɛi̯	1.0
k	k	1.0
kʰ	k	1.0
l	ɫ	0.849
l	ə_ɫ	0.093
l	-	0.058
m	m	0.688
m	v_ə	0.135
m	ə	0.119
n	n	0.764
n	ə_n	0.234
p	p	1.0
pʰ	p	1.0
r	ɾ	1.0
s	s	0.719
s	z	0.228
s	ɾ_s	0.053
t	t	0.754
t	ɾ_t	0.246
tʰ	t	1.0
v	ʋ	0.968
x	χ	1.0
z	z	0.942
z	-	0.058
ç	χ	0.711
ç	ŋ	0.181
ç	k	0.104
ŋ	ŋ	0.668
ŋ	χ	0.332
ɐ	ɾ	0.504
ɐ	ə	0.451
ə	ə	0.677
ə	ɾ	0.323
ɡ	k	0.534
ɡ	χ	0.466
ɪ	ə	0.5
ɪ	ɪ	0.5
ʃ	s	0.925
ʃ	z	0.075
ʒ	j	1.0
ˈa	ˈɑ	1.0
ˈaɪ̯	ˈi	0.613
ˈaɪ̯	ˈeː	0.261
ˈaɪ̯	ˈɛi̯	0.057
ˈaʊ̯	ˈoː	0.533
ˈaʊ̯	ˈu	0.33
ˈaʊ̯	ˈeː	0.061
ˈaː	ˈɛ	0.597
ˈaː	ˈɑ	0.403
ˈeɪ̯	ˈeː	0.667
ˈeɪ̯	ˈi	0.333
ˈeː	ˈeː	0.586
ˈeː	ˈɑ	0.156
ˈeː	ˈɛ	0.121
ˈeː	ˈi	0.082
ˈeː	ˈaː	0.055
ˈiː	ˈɛi̯	0.942
ˈoː	ˈaː	0.803
ˈoː	ˈoː	0.167
ˈuː	ˈœy̯	0.666
ˈuː	ˈɑu̯	0.209
ˈuː	ˈu	0.057
ˈyː	ˈœy̯	0.461
ˈyː	ˈyː	0.341
ˈyː	ˈi	0.198
ˈø	ˈɛ	1.0
ˈøː	ˈoː	0.567
ˈøː	ˈeː	0.371
ˈøː	ˈøː	0.062
ˈœ	ˈɛ	0.671
ˈœ	ˈaː	0.231
ˈœ	ˈɔ	0.098
ˈœː	ˈʏ	0.677
ˈœː	ˈɛ	0.323
ˈɔ	ˈɔ	0.898
ˈɔ	ˈɑu̯	0.102
ˈɔʏ̯	ˈoː	0.637
ˈɔʏ̯	ˈu	0.309
ˈɔʏ̯	-	0.054
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	0.833
ˈɛ	ˈeː	0.167
ˈɛɪ̯	ˈeː	0.358
ˈɛɪ̯	ˈaː	0.321
ˈɛɪ̯	ˈɛ	0.321
ˈɛː	j	1.0
ˈɪ	ˈɪ	0.855
ˈɪ	ˈɛ	0.064
ˈʊ	ˈɔ	0.843
ˈʊ	ˈoː	0.079
ˈʊ	ˈœy̯	0.051
ˈʏ	ˈʏ	0.377
ˈʏ	ˈoː	0.177
ˈʏ	ˈɛ	0.135
ˈʏ	ˈi	0.129
ˈʏ	ˈɛi̯	0.096
ˈʏ	ˈɔ	0.086
