Asturian	Latin	probability
d	d	1.0
f	f	1.0
p	p	1.0
ɟ͡ʝ	-	1.0
ɣ	k	1.0
m	m	0.881
t	tː	0.081
ɡ	k	0.141
ʝ	d_i	0.1
β	b	0.391
θ	k_ɛ̃ː	0.321
a	aː	0.072
b	b	0.332
e	ɛ	0.252
k	k	0.842
l	lʲː	0.052
n	n	0.972
o	-	0.052
r	r	0.892
ɾ	r	0.532
ʃ	j	0.2
ʝ	k	0.172
ʝ	-	0.442
ʧ	k_t	0.942
e	ɛ̃ː	0.403
i	ɪ	0.313
j	i	0.193
k	kʷ	0.063
m	m_ɪ	0.083
s	s	0.933
u	ʊ̃ː	0.773
ɲ	nː	0.073
ʃ	ɡ	0.263
ʎ	l	0.303
ˈa	ˈaː	0.553
ˈe	ˈɛ	0.123
ˈo	ˈʊ	0.283
ˈo	ˈoː	0.293
a	ãː	0.504
e	n_ɛ̃ː	0.054
ˈe	ˈiː	0.084
β	-	0.054
θ	s_i	0.094
e	ɪ	0.145
o	ˈoː	0.055
ŋ	-	0.225
ɡ	ɡʷ	0.125
ˈu	ˈʊ	0.235
ˈu	ˈuː	0.765
θ	-	0.055
a	i_ãː	0.056
l	l	0.076
l	ɫ	0.616
o	ɔ	0.566
ð	t	0.956
ɡ	ɡ	0.726
ʎ	p_ɫ	0.076
ˈe	ˈeː	0.276
ˈo	ˈɔ	0.306
i	iː	0.687
j	-	0.807
o	oː	0.237
ŋ	n_ɛ̃ː	0.317
ɾ	r_ɛ	0.337
ʃ	sː	0.537
ʎ	lʲː	0.117
ʎ	ɫ	0.47
ʝ	lʲ	0.067
ˈa	ˈa	0.447
ˈe	ˈɪ	0.167
θ	t_i	0.067
θ	k	0.427
b	w	0.668
l	-	0.08
r	rː	0.108
ŋ	ŋ	0.458
ɲ	n_e	0.088
ɾ	-	0.078
ʝ	k_ʊ	0.218
ʧ	ɫ_t	0.058
ˈe	ɛ	0.098
ˈi	ˈiː	0.888
β	p	0.168
β	w	0.38
a	a	0.189
l	ʊ_ɫ	0.159
t	t	0.89
ɲ	n	0.839
ˈo	ˈau̯	0.079
