Saterland Frisian	Ripuarian	probability
a	ˈeː	0.525
a	ə	0.475
b	b	0.926
b	-	0.074
d	d	0.45
d	t	0.327
d	k	0.102
d	-	0.097
f	f	1.0
h	h	0.966
i	e	1.0
j	-	0.506
j	j	0.247
j	ˈe	0.155
j	ˈʏ	0.051
k	k	0.384
k	-	0.289
k	ɕ	0.28
l	l	0.991
m	m	0.944
n	n	0.669
n	ŋ	0.292
p	f	0.522
p	p	0.478
r	ʀ	0.434
r	ɐ	0.394
r	-	0.095
r	d_ɐ	0.077
s	ʃ	0.429
s	z	0.342
s	s	0.152
s	k	0.051
t	s	0.373
t	ʦ	0.3
t	t	0.207
t	d	0.114
v	ʋ	0.79
v	v	0.114
w	ə	0.402
w	ʋ	0.402
w	v	0.196
x	ɕ	0.432
x	x	0.238
x	k	0.165
x	f	0.106
x	ŋ	0.06
z	s	0.473
z	j	0.352
z	ʀ	0.123
z	z	0.053
ŋ	ŋ	0.963
ə	ə	0.812
ə	-	0.134
ɡ	j	1.0
ɣ	j	0.411
ɣ	ɣ	0.308
ɣ	v	0.076
ɣ	k	0.071
ɣ	-	0.066
ɪ	ə	0.417
ɪ	ɪ	0.417
ɪ	-	0.166
ˈa	ˈa	0.291
ˈa	ˈɛ	0.261
ˈa	ˈɔ	0.196
ˈa	ˈaː	0.141
ˈa	ˈe	0.111
ˈaː	ˈeː	0.442
ˈaː	ˈaː	0.282
ˈaː	ˈa	0.167
ˈaː	ˈɛ	0.108
ˈaːi̯	ˈɛː	0.659
ˈaːi̯	ˈiː	0.204
ˈaːi̯	ˈaː	0.137
ˈaːu̯	ˈiː	0.947
ˈeː	ˈeː	0.271
ˈeː	ˈɛː	0.154
ˈeː	ˈyː	0.131
ˈeː	ˈiː	0.131
ˈeː	ˈɛ	0.111
ˈeː	ˈeɪ̯	0.111
ˈeː	ˈøː	0.09
ˈeːu̯	ˈɛ	1.0
ˈi	ˈiː	0.192
ˈi	ˈeː	0.185
ˈi	ˈɛː	0.17
ˈi	ˈɪ	0.161
ˈi	ˈe	0.149
ˈi	ɐ	0.074
ˈi	-	0.07
ˈiː	ˈɛː	0.233
ˈiː	ˈoː	0.201
ˈiː	ˈe	0.173
ˈiː	ˈiː	0.133
ˈiː	ˈɪ	0.1
ˈiː	ˈa	0.078
ˈiːu̯	ˈɛ	1.0
ˈoː	ˈoː	0.22
ˈoː	ˈeː	0.171
ˈoː	ˈuː	0.168
ˈoː	-	0.119
ˈoː	ˈa	0.077
ˈoː	ˈaː	0.059
ˈoːu̯	ˈoː	0.335
ˈoːu̯	ˈa	0.293
ˈoːu̯	ˈɔ	0.206
ˈoːu̯	ˈo	0.106
ˈoːu̯	ˈaʊ̯	0.061
ˈu	ˈoː	0.566
ˈu	ˈuː	0.329
ˈu	ˈɔ	0.106
ˈuː	ˈuː	0.191
ˈuː	ˈoː	0.186
ˈuː	ˈʏ	0.144
ˈuː	ˈu	0.124
ˈuː	ˈyː	0.122
ˈuː	ˈo	0.094
ˈyː	ˈœ	0.552
ˈyː	ˈeː	0.287
ˈyː	ˈʏ	0.16
ˈøː	ˈaʊ̯	1.0
ˈœː	ˈʏ	1.0
ˈɔ	ˈa	0.424
ˈɔ	ˈɔ	0.222
ˈɔ	ˈʏ	0.187
ˈɔ	ˈœ	0.102
ˈɔ	ˈo	0.065
ˈɔː	ˈaː	0.283
ˈɔː	ˈa	0.229
ˈɔː	ˈyː	0.107
ˈɔː	ˈɪ	0.093
ˈɔː	ˈoː	0.085
ˈɔː	ˈɔ	0.073
ˈɔː	ˈɛː	0.073
ˈɔːɪ̯	ˈeɪ̯	1.0
ˈɛ	ˈɛ	0.446
ˈɛ	ˈa	0.303
ˈɛ	ˈoː	0.126
ˈɛ	ˈøː	0.126
ˈɛɪ̯	ˈøː	0.375
ˈɛɪ̯	ˈoː	0.165
ˈɛɪ̯	ˈaː	0.12
ˈɛɪ̯	ˈeː	0.108
ˈɛɪ̯	ˈeɪ̯	0.101
ˈɛɪ̯	ˈɛː	0.073
ˈɛː	ˈœ	0.292
ˈɛː	ˈɛ	0.155
ˈɛː	ˈiː	0.15
ˈɛː	-	0.143
ˈɛː	ˈɛː	0.14
ˈɛː	ˈɪ	0.08
ˈɪ	ˈe	0.436
ˈɪ	ˈɪ	0.287
ˈɪ	ˈɛ	0.155
ˈɪ	ˈa	0.088
ˈʊ	ˈo	0.452
ˈʊ	ˈɪ	0.187
ˈʊ	ˈʊ	0.097
ˈʊ	ˈɔ	0.082
