Occitan	Logudorese	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ɥ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈo	1.0
a_m	a_m	1.0
a_s	a_s	1.0
a_ð	a_ð	1.0
a_ɾ	a_r	1.0
b	-	1.0
d_ɾ	e_r	1.0
e_l	e_l	1.0
i	i	1.0
j	-	1.0
j_#>	ˈe_#>	1.0
j_s	s_k	1.0
j_ɾ	ð_e	1.0
j_ˈɛ	ˈe	1.0
k_#>	u_#>	1.0
m	m	1.0
r_k	r_k	1.0
s_#>	z	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
u_l	o_l	1.0
w_t	t	1.0
z	ɣ	1.0
ð	ð	1.0
ŋ	ŋ_ɡ	1.0
ŋ_k	m_b	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ	-	1.0
ɣ	ɣ	1.0
ɥ_ˈɔ	ˈo_ɣ	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	n_ʣ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ˈe	r_ˈe	1.0
ʎ	ʣ	1.0
ʤ_e	ɣ	1.0
ʦ	ʦ	1.0
ʦ_#>	ɣ_e_#>	1.0
ʧ	t	1.0
ˈa_n	ˈa_n	1.0
ˈa_t	ˈa_ð	1.0
ˈa_w	ˈa_ɣ	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_t	ˈi_ð	1.0
ˈi_l	ˈi_ʣ	1.0
ˈu_n	ˈo_n	1.0
ˈy	ˈu	1.0
ˈɛ	ˈe	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_r	ˈe_rː	1.0
e	-	0.211
n	ŋ	0.111
s	k	0.111
s	p_u_z_ŭ	0.111
ˈi	ˈu	0.111
ˈi	ˈi_n	0.111
ˈi	ˈi_r	0.111
ˈu	ˈo_n	0.091
ˈɛ_l	ˈe_ɖː	0.571
<#_e	a	0.182
a	-	0.222
n	n	0.722
ˈe	ˈi	0.542
<#_ɡ	<#_ɡ	0.333
k	ɣ	0.333
t	d	0.133
u	u	0.333
u	o	0.333
w	-	0.333
w_#>	u_#>	0.333
ɾ	r	0.593
ʤ	j	0.333
ʤ	i_ɣ	0.333
ʤ	ɡ	0.333
ˈa	ˈa_n	0.113
ˈa	ˈa	0.623
ˈe	-	0.083
#>	e_#>	0.474
<#_s	<#_s	0.704
<#_ʤ	<#_b	0.714
e	i	0.474
s	s	0.444
ˈa	ˈa_r	0.264
ˈu	ˈo	0.364
e_#>	e_#>	0.455
l	-	0.075
l	ɖː	0.125
l	r	0.275
l	l	0.475
r	rː	0.105
r	r	0.895
ˈe	ˈe	0.375
ˈu	ˈu	0.545
ˈɔ	ˈo_l	0.105
ˈɔ	ˈo	0.895
β	-	0.25
β	p	0.25
β	β	0.5
#>	u_#>	0.526
<#_s	<#_k	0.296
<#_ʤ	<#_j	0.286
e_#>	r_e_#>	0.136
<#_ɡ	<#_b	0.667
k	k	0.667
n	nː	0.167
s	o_z	0.167
s	-	0.167
t	t	0.867
u	-	0.167
u	ˈo	0.167
w	β	0.667
w_#>	e_#>	0.667
ɾ	e_r	0.407
ˈi	ˈi	0.667
<#_e	<#_i	0.818
a	a	0.778
e	ˈe	0.158
e	e	0.158
e_#>	u_#>	0.409
ˈɛ_l	k_r	0.429
