Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɪ_w	ˈi_o	1.0
ˈɪ	ˈe	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	ˈɔ	1.0
ˈɔ_s	sː	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈy_ʀ	ˈu_r	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_l	ˈɛ_l	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ʧ_ɔ	kː_a	1.0
ʧ_ɒ	k_a	1.0
ʒ	ʧ	1.0
ʃ	ʧ	1.0
ʀ_ɔ	r_a	1.0
ɪ	s	1.0
ɡʲ	sː	1.0
ɡ	ɡ	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
vʲ	v	1.0
v	v	1.0
ũ	o	1.0
u	o	1.0
s_#>	o_#>	1.0
pʲ	-	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	z	1.0
j_ʀ	d_r	1.0
ĩ	i	1.0
fʲ	f	1.0
e	e_r	1.0
dʲ	d	1.0
d_ɔ	t_a	1.0
b_ʀ	p_r	1.0
ã	a	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈa	<#	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_p	1.0
#>	o_#>	1.0
f	f	0.944
n	n	0.895
ˈa	ˈa	0.86
ɔ	a	0.846
ʀ	r	0.833
ɒ	a	0.8
k	k	0.75
ˈi	ˈi	0.737
ˈy	ˈu	0.714
b	b	0.714
ˈĩ	ˈi	0.667
ɲ	ɲː	0.667
ʤ	ʤ	0.647
ˈe	ˈɛ	0.625
ʧ	k	0.619
ˈu	ˈo	0.577
ˈũ	ˈo	0.571
s	s	0.564
ˈɔ	ˈɔ	0.533
t	t	0.526
ŋ	n	0.512
z	ʧ	0.5
z	d	0.5
i	i	0.5
i	-	0.5
d	t	0.5
ˈũ	-	0.429
ə	e	0.415
ʎ	ʎː	0.4
l	lː	0.343
l	j	0.343
ˈĩ	-	0.333
ɲ	n	0.333
t	tː	0.316
ə	o	0.302
d	d	0.3
ˈy	-	0.286
ʎ	j	0.267
j	-	0.267
ˈi	ˈi_r	0.263
l	l	0.257
w	ˈɔ	0.256
ʤ	j	0.235
ˈɔ	ˈu	0.2
ʎ	kː_j	0.2
ɒ	e	0.2
j	e	0.2
d	e	0.2
ʧ	t	0.19
w	w	0.186
ŋ	ŋ	0.171
ŋ	n_t	0.171
ə	i	0.17
t	s_t	0.158
ˈe	ˈe	0.156
ˈu	ˈo_r	0.154
s	ʧ	0.154
ŋ	n_e	0.146
w	l	0.14
ˈɔ	s	0.133
ˈɔ	r_t	0.133
ʎ	k_o	0.133
j	tː_o	0.133
j	tː_e	0.133
j	o	0.133
k	k_w	0.125
ʤ	ɡ	0.118
w	ˈo	0.116
w	v_e	0.116
ˈu	ˈu	0.115
ɔ	-	0.108
n	-	0.105
ʧ	s_k	0.095
ʧ	-	0.095
b	p_e	0.095
b	p	0.095
b	bː	0.095
ˈe	ˈa	0.094
w	-	0.093
ˈu	ˈɔ_kː	0.077
ˈu	ˈu_tː	0.077
s	ʧː	0.077
s	ʦː	0.077
s	ʃː	0.077
ə	-	0.075
j	ʣː	0.067
j	dː	0.067
ˈe	j_ˈɛ	0.062
ˈe	-	0.062
k	ɡ_o	0.062
k	ɡ	0.062
l	l_e	0.057
ʀ	rː	0.056
f	fː	0.056
s	ʦ	0.051
