Nynorsk Norwegian	Old High German	probability
ˈɪ	ˈi	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈæː	ˈɛ	1.0
ˈæɪ̯	ˈei̯	1.0
ˈæ	ˈɛ	1.0
ˈuː_ɾ	r_d	1.0
ˈuː	ˈuo̯	1.0
ˈeː_ɡ	ˈi_x	1.0
ʰpː	f	1.0
ʰkː	ŋ_k	1.0
ɾ_ˈuː	v	1.0
ɾ_t	r_ʦ	1.0
ɲ	ŋ	1.0
ɡː	kː	1.0
ɡ_ɾ	ɡ_r	1.0
ɡ	ɡ	1.0
ŋ	i_ŋ	1.0
v	w	1.0
tː	ɛ_h	1.0
sː	n_s	1.0
s_t	s_t	1.0
s	s	1.0
pʰ	p͡f	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	w	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e_ɾ	i	1.0
b	b	1.0
ɾ	r	0.974
n	n	0.932
ˈøː	ˈuo̯	0.78
ə	ɑ	0.772
ç	-	0.748
ˈœ	-	0.739
ˈʉ	ˈu	0.736
ˈoː	ˈɑː	0.734
d	t	0.721
ʋ	w	0.694
ʂ	s_k	0.685
tʰ	d	0.618
ˈʊ	ˈo	0.6
t	s̻	0.571
lː	l	0.571
ˈœʏ̯	ˈoː	0.562
ŋː	ŋ_ɡ	0.561
ˈyː	ˈio̯	0.555
ˈæʉ̯	ˈoː	0.55
ˈʉː	ˈuː	0.532
p	f	0.527
ˈiː	ˈiː	0.477
ˈeː	ˈɛ	0.46
ɑ	ɑ_n	0.459
ˈʏ	ˈu	0.457
ˈyː	ˈiu̯	0.445
ˈɔ	ˈu	0.443
ŋː	ŋ	0.439
ˈœʏ̯	ˈou̯	0.438
lː	lː	0.429
k	xː	0.423
ˈʊ	ˈu	0.4
e	o	0.397
ʰtː	x_t	0.387
k	k	0.387
tʰ	ʦ	0.382
ˈʉː	ˈio̯	0.379
nː	nː	0.379
ˈæʉ̯	ˈou̯	0.364
t	s̻ː	0.364
j	ɡ	0.36
ˈɛ	ˈɛ	0.337
j	ˈɛ	0.321
ʰtː	s̻	0.319
ʂ	s	0.315
ʰtː	t	0.295
ˈʏ	ˈi	0.293
nː	n	0.282
d	d	0.279
ˈʉ	ˈo	0.264
ˈœ	ˈu	0.261
ˈeː	-	0.253
ç	xː	0.252
ˈɔ	ˈo	0.248
nː	n_t	0.237
p	p	0.236
p	fː	0.236
ə	-	0.228
ʋ	b	0.224
e	ɑ	0.221
ˈøː	ˈeː	0.22
ˈɔ	-	0.204
ɑ	e_n	0.198
k	x	0.191
ˈɛ	ˈɑ	0.187
ˈɛ	ˈe	0.187
ɑ	ɑ	0.175
j	-	0.161
ˈeː	ˈi	0.159
j	ɡ_eː	0.158
ˈoː	-	0.152
ˈʏ	ˈiu̯	0.148
ˈiː	ˈi	0.146
e	ɛ	0.145
ˈiː	ˈiː_t	0.14
ˈiː	-	0.14
ˈeː	ˈie̯	0.128
e	u	0.124
ˈoː	ˈeː	0.115
e	i	0.113
ˈɛ	ˈi	0.108
ˈɛ	-	0.108
ˈɔ	ˈɑ_x	0.106
ˈʏ	-	0.102
nː	n_d	0.102
ˈiː	ˈi_n	0.096
ˈʉː	ˈo	0.089
ˈæʉ̯	ou̯	0.085
ʋ	f	0.082
ɑ	n	0.074
ˈɛ	ˈiː	0.072
t	t	0.065
ɑ	oː	0.057
