Logudorese	Logudorese	probability
β_a	a	1.0
β	p	1.0
ˈɛ_ɾ	ˈɛ_r	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈi_ð	ˈi_t	1.0
ˈa_ð	ˈa	1.0
ɾ_ˈi	r_ˈi	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_t	l_t	1.0
ɾ_k	l_ʧ	1.0
ɾ_b	l_b	1.0
ɾ_a	r_a	1.0
ɲ	ɲː	1.0
ɣ_u	k_u	1.0
ɛ̆	-	1.0
ɛ_ɾ	a_r	1.0
ɛ_n	u	1.0
ɛ_#>	#>	1.0
ɖː	ɖː	1.0
ɔ̆_#>	#>	1.0
ɔ̆	t_i	1.0
ɔ_z	i	1.0
ɔ_l	u_l	1.0
ŋ_ɡ	ɲː	1.0
ŭ	-	1.0
u_#>	#>	1.0
s_ˈi	s_ˈi	1.0
s_u	sː_u	1.0
s	s	1.0
r	rː	1.0
p_ˈɔ	p_u	1.0
o	-	1.0
n_ʣ	ɲː	1.0
m_b	ŋ_k	1.0
l_ɛ	l_i	1.0
l_a	l_a	1.0
k_ɾ	c	1.0
ă	e	1.0
a_m	a_m	1.0
a_l	a_l	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_a	<#_a	1.0
f	f	0.962
n	n	0.957
u	u	0.953
ˈa	ˈa	0.944
p	p	0.939
a	a	0.935
ɾ_ɛ_#>	#>	0.885
d	d	0.875
ˈu	ˈu	0.853
ɔ	u	0.833
ˈi	ˈi	0.829
e	-	0.778
ð	t	0.769
k	k	0.756
i	i	0.739
l	l	0.727
ɡ	ɡ	0.714
nː	nː	0.714
m	m	0.684
ɾ_u	r_u	0.667
ɛ	i	0.667
ˈɔ	ˈɔ	0.621
z	-	0.615
ˈo	ˈɔ	0.609
ʦ	ʦ	0.6
ˈe	ˈɛ	0.591
j	j	0.583
ʣ	ɖː	0.556
t	t	0.514
ˈɛ	ˈɛ	0.5
#>	u_#>	0.5
#>	i_#>	0.5
t	tː	0.429
ɣ	ʧ	0.421
b	b	0.415
ˈe	ˈe	0.409
ʦ	-	0.4
b	v	0.39
ɾ	r	0.385
ˈɛ	ˈe	0.346
ɾ	l	0.346
ɾ_u	u	0.333
j	cː	0.333
ˈo	ˈo	0.304
ɡ	-	0.286
nː	n	0.286
l	ɖː	0.273
ˈɔ	ˈo	0.241
ð	-	0.231
z	z	0.231
ʣ	ʧ	0.222
ʣ	-	0.222
e	a	0.222
ɣ	-	0.211
m	mː	0.211
k	ʧ	0.195
ˈi	-	0.171
ɔ	ɔ	0.167
ɣ	ɡ	0.158
ɣ	k	0.158
z	ˈa_l	0.154
ˈu	ˈɔ	0.147
d	-	0.125
b	ɟ	0.122
ɛ	u	0.117
ɾ_ɛ_#>	ˈe_#>	0.115
ɾ	j	0.115
m	ŋ	0.105
ˈo	-	0.087
i	d_i	0.087
i	d	0.087
i	-	0.087
j	ʒ	0.083
ˈɛ	ˈa	0.077
ˈɛ	i	0.077
ɾ	r_u	0.077
ɾ	i	0.077
b	ɡ	0.073
ˈɔ	o	0.069
ˈɔ	-	0.069
ɛ	ˈi	0.067
p	pː	0.061
t	ʦː	0.057
ˈa	-	0.056
ɣ	ʤ	0.053
