English	North Frisian	probability
b	b	1.0
h	h	1.0
kʰ	k	1.0
pʰ	p	1.0
s	s	1.0
tʰ	t	1.0
w	v	1.0
ð	d	1.0
əʊ̯	j	1.0
ɪ	i	1.0
ɹ	r	1.0
ʃ	ʃ	1.0
ʤ	-	1.0
ˈuː	ˈɔu̯	1.0
ˈɒ	ˈɔː	1.0
ˈɜː	ˈœ_r	1.0
ˈʊ	ˈœ	1.0
j	-	0.31
m	m	0.741
p	p_ə	0.381
v	v	0.741
z	z_ə	0.701
ə	ə_r	0.521
ˈe	ˈɛː	0.161
ˈeɪ̯	ˈɒː	0.341
ˈæ	ˈeː	0.1
ˈɪ	ˈai̯	0.11
θ	s	0.291
d	d	0.702
ŋ	ŋ	0.982
ˈaɪ̯	ˈyː	0.122
ˈaɪ̯	ˈiː	0.252
ˈe	ˈɔː	0.092
ˈeɪ̯	ˈɔː	0.312
ˈæ	ˈœ	0.642
ˈɪ	ˈa	0.142
f	v	0.063
l	l	0.973
n	n_ə	0.083
t	t	0.583
ˈe	ˈiː	0.153
ˈe	ˈyː	0.3
ˈeɪ̯	ˈeː	0.153
ˈɑː	ˈeː_r	0.113
ˈɔː	ˈɔ_r	0.83
ˈɪ	ˈeː	0.173
ˈɪ	ˈi	0.183
k	k	0.764
ə	r	0.274
ɡ	ɡ	0.944
ʧ	k	0.204
ˈaɪ̯	ˈa_x	0.054
ˈaɪ̯	ˈɒ_x	0.084
ˈeɪ̯	ˈɛi̯	0.194
ˈɐ	ˈaː	0.154
ˈɑː	ˈɒː	0.274
ˈɔː	j	0.054
ˈəʊ̯	ˈiː	0.864
ˈɪ	ˈiː	0.094
θ	t	0.54
d	dʲ	0.185
t	tʲ	0.155
ˈaʊ̯	ˈøː	0.15
ˈaʊ̯	ˈyː	0.85
ˈiː	ˈuː	0.145
ˈiː	ˈɛi̯	0.15
ˈiː	ˈiː	0.385
ˈɐ	ˈa	0.075
ˈɑː	ˈa_r	0.515
ˈɪ	ˈaː	0.065
ˈɪ	ˈʏ	0.065
t	t_ə	0.06
z	s	0.06
ɡ	-	0.056
ɫ	l	0.766
ˈaɪ̯	ˈi	0.466
ˈiː	ˈɛ	0.096
ˈiː	ˈeː	0.116
ˈɐ	ˈɔu̯	0.156
ˈɔː	r	0.116
k	k_ə	0.187
n	n	0.907
t	x_t	0.077
z	ə_#>	0.117
ˈe	ˈɒː	0.137
ˈɪ	ˈʊ	0.167
d	dʲ_ə	0.058
f	f	0.888
t	d	0.078
v	v_ə	0.228
ə	ə	0.178
ɫ	ə_l	0.058
ʧ	k_ə	0.258
ʧ	ʃ	0.538
ˈe	ˈeː	0.068
ˈæ	ˈɔː	0.258
ˈɐ	ˈʊ	0.488
ˈɑː	ə	0.098
ˈəʊ̯	ˈœ	0.068
ˈəʊ̯	ˈyː	0.068
θ	d	0.168
j	j	0.69
m	m_ə	0.259
p	p	0.619
ɫ	l_ə	0.129
ˈe	-	0.089
