Neapolitan	Sassarese	probability
ˈɛ_ɾ	ˈɛ_j	1.0
ˈɔ_ɾ	ˈɔ_ɬ	1.0
ˈɔ_k	ɡː	1.0
ˈa_k	ˈa_ɡ	1.0
ʧ	ʦ	1.0
ʦ	-	1.0
ʤː	ʤː	1.0
ʤ	ʤ	1.0
ʎː	ʎː	1.0
ʃː	ʃː	1.0
ʃ_ə	ʦ_i	1.0
ɾ_ə	r_i	1.0
ɾ_n	rː	1.0
ɲː	ɲː	1.0
ə_ɾ	a_r	1.0
ə_n	i_n	1.0
ə_l	e	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
u_l	u_r	1.0
u	u	1.0
tː	tː	1.0
sː	-	1.0
rː	rː	1.0
r	r	1.0
p_a	p_a	1.0
o	u	1.0
nː	nː	1.0
mː_ə	u	1.0
mː	mː	1.0
m	m	1.0
l_ə	r_u	1.0
kː_j	ʧː	1.0
kː	kː	1.0
j_ˈɛ	ˈɛ	1.0
fː	fː	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
bː	b	1.0
b_w	b	1.0
b	b	1.0
a	a	1.0
n	n	0.96
ˈa	ˈa	0.87
ʃ	ʦ	0.87
ˈɔ	ˈɔ	0.783
k	k	0.759
ˈo	ˈo	0.725
e	i	0.725
p	p	0.713
ɡ	ɡ	0.695
s	s	0.684
l	l	0.683
i	i	0.618
ʦː	ʦː	0.614
lː	dː	0.614
k_j	p_j	0.6
ˈɛ	ˈe	0.598
t_ə	dː_a	0.584
ˈi	ˈi	0.544
ə	u	0.505
v	v	0.505
ˈu	ˈu	0.503
ˈe	ˈe	0.449
ɾ	r	0.443
t	t	0.43
ˈu	ˈo	0.429
t_ə	t_i	0.416
k_j	ʧ	0.4
j	-	0.4
ʦː	ʣ	0.386
i	ˈi	0.382
w	-	0.379
t	dː	0.356
ˈe	ˈɛ	0.355
l	r	0.317
w	ˈɔ	0.316
j	j	0.314
w	w	0.306
ɡ	-	0.305
ˈɛ	ˈɛ	0.291
ɾ	d	0.29
j	ʤː	0.286
ə	a	0.285
lː	-	0.277
e	-	0.275
v	β	0.27
ˈi	-	0.228
ˈi	ˈe	0.227
v	b	0.224
ɾ	-	0.221
ˈɔ	ˈo	0.217
ˈe	ˈi	0.196
ə	i	0.193
s	ɬ	0.171
p	bː	0.171
ˈo	ˈɔ	0.165
k	ɡː	0.139
ʃ	f_j	0.13
t	d	0.126
p	pː	0.116
ˈɛ	-	0.11
ˈo	-	0.11
lː	lː	0.109
s	z	0.099
t	-	0.088
k	xː	0.077
ˈa	a	0.074
ˈu	ˈɔ	0.068
