Zeelandic	Old West Norse	probability
ˈɒː	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈæi̯	ˈɛi̯	1.0
ˈæ_n	e	1.0
ˈyː_v	mː	1.0
ˈuː	ˈoː	1.0
ˈoː	ˈo	1.0
ˈiːə̯	j_ˈɑː	1.0
ɾ_ə	r	1.0
ɾ_t	r_t	1.0
ɪ	u	1.0
ə_v̥	v_r̥	1.0
z	s	1.0
x_ə	ɣ	1.0
x_t	tː	1.0
w	r̥	1.0
s	s	1.0
n_d̥	nː	1.0
n_d	nː	1.0
m	m	1.0
l	l	1.0
iː	ɑː	1.0
i	ɑ	1.0
b	b	1.0
p	p	0.907
ŋ	ŋ	0.895
ɾ	r	0.875
t	t	0.867
ʋ	v	0.849
ɫ	l	0.787
ˈyː	ˈuː	0.782
v	f	0.76
ˈu	ˈu	0.755
n	n	0.67
ˈɑ	ˈɑ	0.664
ˈøː	ˈo	0.618
k	k	0.618
ˈɪə̯	ˈɛi̯	0.601
ə_ɾ	i_r̥	0.6
ˈɔ	ˈu	0.56
d	d	0.524
v̥	v	0.522
v̥	v_r̥	0.478
ˈɛː	ˈɑː	0.477
d̥	ð	0.47
ˈʏ	-	0.45
ˈɪ	ˈi	0.444
d	θ	0.427
ˈi	ˈiː	0.423
ə	ɑ	0.423
ə_ɾ	r̥	0.4
ˈeː	-	0.399
ˈøː	ˈu	0.382
ˈɛː	ˈɑ	0.374
ˈʏ	ˈo	0.349
ˈæ	ˈe	0.347
ˈiː	ˈyː	0.337
ˈæ	ˈɑ	0.333
ˈæ	j_ˈɑ	0.32
ˈeː	ˈi	0.32
x	ɣ	0.306
ˈi	ˈi	0.289
ˈi	-	0.289
ˈeː	ˈe	0.281
ˈʊə̯	ˈɑu̯	0.26
ˈɪə̯	j_ˈɔ	0.255
ˈu	ˈoː	0.245
v	v	0.24
ˈɔ	-	0.232
ˈyː	-	0.218
ə	-	0.217
ˈiː	j_ˈuː	0.213
ɫ	lː	0.213
d̥	d	0.204
ˈʏ	ˈy	0.201
ˈiː	j_ˈoː	0.201
n	nː	0.199
ˈʊə̯	ˈøy̯	0.194
ˈɑ	ˈɔ	0.183
ˈɪ	ˈu	0.17
x	ɡ	0.169
k	ɡ_r̥	0.163
d̥	ð_r̥	0.163
d̥	d_r̥	0.163
ˈʊə̯	ˈy	0.155
ˈʊə̯	ˈo	0.153
ˈɑ	ˈɑː	0.153
ʋ	w	0.151
ˈɛː	-	0.15
ˈɪə̯	j_ˈoː	0.144
ˈiː	ˈeː	0.142
x	ɟː	0.141
k	-	0.141
ˈɔ	ˈo	0.14
ˈɪ	-	0.132
ˈɪ	ˈe	0.129
ˈɪ	ˈiː	0.126
x	c	0.121
ˈʊə̯	-	0.12
ˈiː	-	0.106
ŋ	kː	0.105
x	ɟ	0.105
n	-	0.105
ɾ	r̥ː	0.104
ə	i	0.101
ə	r̥	0.1
t	tː	0.099
x	k	0.096
p	pː	0.093
ˈʊə̯	h	0.08
k	ɡ	0.078
ˈɔ	ˈɔː	0.068
x	ʝː	0.063
