Ladin	Ladin	probability
ˈɛ_n_#>	ˈe_#>	1.0
ˈɛ_f	w	1.0
ˈɔ_n	ˈu_n	1.0
ˈo_w	ˈu	1.0
ˈi_n_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈe	1.0
ˈe_d	ˈu	1.0
ˈe_#>	ˈa_#>	1.0
ˈa_n_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʨ_a	s	1.0
ʨ_#>	s_#>	1.0
ʧ	s	1.0
ʒ_ɡ	b	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʦ	1.0
w_r_#>	#>	1.0
u	-	1.0
t_e	mː	1.0
s	s	1.0
r_ˈa	ɾ_ˈa	1.0
r_t	ʀ_t	1.0
r_n_#>	ʀ_#>	1.0
r_#>	#>	1.0
p_w	p_ˈa	1.0
p_#>	s_#>	1.0
p	p	1.0
n_t_#>	n_#>	1.0
n_a	ɔ	1.0
m_e	nː	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	l_ˈa	1.0
l_b	β	1.0
l	l	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_a	ɔ	1.0
j_#>	s_#>	1.0
f	f	1.0
e_r	ɾ_e	1.0
b	b	1.0
a_v	a_β	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_e_s	1.0
<#_w	<#_ɥ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ʨ	k	0.87
ˈu	ˈy	0.786
ˈo	ˈu	0.786
n	n	0.786
ˈɔ	ˈɔ	0.765
a	ɔ	0.736
t	t	0.688
ˈe	ˈe	0.68
ʦ	-	0.667
o	u	0.667
j_ˈɛ	ˈɛ	0.667
v	b	0.652
ʒ	ʤ	0.643
ɡ	ɡ	0.615
ʥ	-	0.6
j	j	0.6
i	i	0.6
f_#>	w_#>	0.6
e	e	0.586
ˈɛ	ˈɛ	0.571
r	ɾ	0.543
d	d	0.531
#>	e_#>	0.474
w	ɥ	0.429
ʥ	ʤ	0.4
i	-	0.4
f_#>	p_#>	0.4
ɡ	ɣ	0.385
r	ʀ	0.371
ʦ	ʦ	0.333
ʃ	ʦ	0.333
ʃ	s	0.333
ʃ	j_s	0.333
o	-	0.333
j_ˈɛ	e	0.333
e	-	0.31
w	w	0.286
#>	ɔ_#>	0.263
t	ʧ	0.219
d	ð	0.219
v	β	0.217
ˈu	ˈu	0.214
ʒ	-	0.214
n	-	0.214
a	a	0.208
j	ʎ	0.2
j	-	0.2
d	-	0.188
ˈe	ˈɛ	0.16
#>	w_#>	0.158
ˈɛ	ˈa	0.143
ˈo	-	0.143
ʒ	lː	0.143
w	ˈɔ	0.143
w	ˈa_β	0.143
ʨ	s	0.13
v	-	0.13
ˈɔ	ˈu	0.118
ˈɔ	ˈa_w	0.118
#>	s_#>	0.105
e	ɾ_e	0.103
t	ð	0.094
r	-	0.086
ˈɛ	ˈa_j	0.082
ˈe	ˈa	0.08
ˈe	-	0.08
ˈo	ˈy	0.071
d	z	0.062
ˈɛ	ˈɛ_j	0.061
ˈɛ	ˈɔ	0.061
a	-	0.056
