French	Friulian	probability
b	b	1.0
f	f	1.0
z	z	1.0
a	a	0.261
j	ˈɛ	0.1
k	k	0.581
n	ɲ	0.11
o	ˈɛ	0.101
u	ˈɔ_l	0.081
u	ˈoː	0.411
y	ˈu	0.411
œ	ˈo	0.051
ɛ	ˈɛ	0.1
ɥ	ˈu	0.391
a	e	0.072
o	ˈa_l	0.542
t	t	0.722
u	o	0.062
u	ˈo	0.332
v	v	0.912
w	-	0.392
y	ˈuː	0.512
ø	i	0.522
ɑ̃	ˈi_n	0.282
ə	a	0.122
ɛ̃	ɲ	0.212
ɥ	ʧ	0.132
ʁ	r_i	0.12
a	ˈaː	0.13
m	m	0.773
p	p	0.963
s	-	0.083
ɑ̃	a	0.073
ɔ	w_ˈi	0.103
ə	e	0.763
ɡ	-	0.113
ɲ	ɲ_e	0.763
d	d	0.984
e	-	0.164
u	-	0.114
œ	ˈoː	0.664
ɛ	ˈa	0.354
ɛ̃	ˈa_ŋ	0.224
ʁ	r_e	0.124
i	i	0.15
l	-	0.055
l	l_e	0.155
w	ʧ	0.095
w	ˈi	0.095
w	ˈu	0.135
ɔ̃	ˈo_ŋ	0.725
ə	-	0.115
ʃ	c	0.715
e	ˈaː	0.836
i	ˈɛ	0.066
k	k_w	0.376
n	n	0.376
s	s	0.656
t	s_t	0.196
w	ˈe	0.126
œ	ˈuː	0.176
ɔ	ˈa	0.116
ɔ̃	o	0.156
ɛ	j_ˈɛ	0.126
ʁ	-	0.136
a	-	0.087
m	m_e	0.227
o	j_ˈɛ_l	0.177
s	ʧ	0.217
w	ˈo	0.157
y	ˈo	0.077
ɑ̃	ˈa	0.487
ɔ	o	0.57
ɛ	ˈaː_s	0.077
ɛ	e	0.087
ɛ̃	ˈi_ŋ	0.187
ɡ	ɡ	0.887
ɲ	ɲ	0.237
ʁ	r	0.587
ʃ	c_e	0.27
a	ˈa	0.378
i	ˈi	0.598
l	l	0.738
o	ˈɛ_l	0.18
ø	ˈuː	0.478
œ	ˈɔ	0.108
ɑ̃	ˈɛ_n	0.158
ɛ̃	ŋ	0.298
ɥ	-	0.478
ʒ	-	0.388
ʒ	ʤ	0.588
i	-	0.09
j	ˈiː	0.059
j	-	0.119
j	j	0.659
n	n_e	0.479
ɔ	ˈo	0.169
ɔ̃	ˈo	0.119
ɛ	ˈaː	0.059
ɛ	ˈe	0.149
ɛ̃	ˈa	0.079
