Ligurian	Ligurian	probability
ˈɛː_r	ˈɛə̯_r	1.0
ˈɔː	ˈɔə̯	1.0
ˈyː	ˈu	1.0
ˈu_ŋ	ˈõũ̯	1.0
ˈiː_#>	ˈi_#>	1.0
ˈe_j	ˈeː	1.0
ˈaː_#>	ˈeə̯_#>	1.0
ˈa_ŋ	ˈʌ̃	1.0
ʤ_u_#>	j_#>	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_a	n_ɐ	1.0
y	u	1.0
w_e_#>	v_#>	1.0
v	v	1.0
t_u_#>	t_#>	1.0
t	t	1.0
sː	s	1.0
s_u_#>	s_#>	1.0
r_u	ɐ_r	1.0
r_b	l_b	1.0
p	p	1.0
o	-	1.0
n_u	ɐ_n	1.0
m	m	1.0
l_u_#>	l_#>	1.0
l_a	l_ɐ	1.0
l	l	1.0
k_u_#>	k_#>	1.0
k	k	1.0
j_a	r_ɐ	1.0
j_#>	#>	1.0
i_#>	#>	1.0
f	f	1.0
e_r	ɐ_r	1.0
e_#>	#>	1.0
d_u_#>	d_#>	1.0
d	d	1.0
b	b	1.0
a_v	ɐ_v	1.0
a_#>	#>	1.0
<#_ˈaː	<#_ˈeə̯	1.0
<#_ʃ	<#_f_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
r	r	0.941
a	ɐ	0.883
u_#>	#>	0.848
ʒ	z	0.846
ˈuː	ˈou̯	0.833
z	ð	0.833
n	n	0.833
i	i	0.8
ˈaː	ˈeə̯	0.765
ˈiː	ˈi	0.727
j	-	0.692
ˈøː	ˈɔə̯	0.667
ɔː	-	0.667
ŋ	n	0.645
ˈɔ	ˈɔ	0.625
ˈa	ˈʌ̃	0.607
ˈu	ˈo	0.6
ʧ	p_j	0.6
s	s	0.593
e	ɐ	0.591
ˈɛ	ˈɛə̯	0.571
ˈø	ˈɔ	0.571
ˈe	ˈɛ	0.5
#>	r_#>	0.5
ˈy	ˈo	0.455
ˈø	ˈo	0.429
u	u	0.417
ʧ	-	0.4
w	v	0.4
#>	l_#>	0.389
ˈɔ	ˈo	0.375
ˈy	ˈou̯	0.364
ˈa	ˈa	0.357
ˈi	ˈɛ	0.353
s	θ	0.352
ˈøː	ˈu	0.333
ˈeː	ˈɛ	0.333
ɔː	w	0.333
u	-	0.333
ˈɛː	ˈeː	0.308
ˈi	ˈẽ	0.294
ˈɛ	-	0.286
ˈeː	ˈi	0.286
ˈiː	j	0.273
ˈu	ˈou̯	0.267
w	u	0.267
ʤ	ʧ	0.263
ʤ	j	0.263
u	l	0.25
ˈi	ˈi	0.235
ˈɛː	ˈeə̯	0.231
ˈɛː	ˈa	0.231
ˈe	ˈɛə̯	0.219
w	u_r	0.2
i	-	0.2
ŋ	ŋ	0.194
ˈeː	ˈɛə̯	0.19
ˈy	-	0.182
e	ɐ_r	0.182
ˈuː	-	0.167
z	ʤ	0.167
n	-	0.167
ʤ	ʤ	0.158
ʤ	b_j	0.158
ʤ	-	0.158
ˈɛː	r	0.154
ʒ	-	0.154
j	ɐ	0.154
j	u_j	0.154
u_#>	r_#>	0.152
ˈɛ	e	0.143
e	-	0.136
ˈu	ˈɔ	0.133
w	ˈeə̯_d	0.133
ˈe	ˈẽ	0.125
ˈi	-	0.118
ˈaː	ˈeə̯_l	0.118
ˈaː	-	0.118
#>	ɐ_#>	0.111
ŋ	j̃	0.097
ˈeː	ˈo	0.095
ˈeː	-	0.095
e	i	0.091
a	l_ɐ	0.083
ˈɛː	ˈe	0.077
ŋ	m	0.065
ˈe	ˈeː	0.062
ˈe	-	0.062
r	-	0.059
s	-	0.056
