North Frisian	Ripuarian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ʀ	1.0
<#_v	<#_ʋ	1.0
<#_ɡ	<#_j	1.0
<#_ʃ	<#_ʃ	1.0
d	ɡ̊	1.0
dʲ_ə	d_ə	1.0
f_#>	v̥_#>	1.0
j	-	1.0
j_#>	ɕ_#>	1.0
j_ə	ɣ_ə	1.0
k_ə	k_ə	1.0
l	l	1.0
l_#>	l_#>	1.0
lʲ	l_d̥	1.0
m	m	1.0
m_#>	m_#>	1.0
n_ə	n_d̥	1.0
nʲ	ɡ̊	1.0
r_#>	ɐ_#>	1.0
r_m	ɐ_m	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	ʦ_#>	1.0
tʲ	s	1.0
v_ə_n	ə_f	1.0
z_ə	s_ə	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_ɡ̊	1.0
ŋ_k	ŋ_k	1.0
ə_n	ə	1.0
ʃ_#>	ʃ_#>	1.0
ˈa_r	ˈɛː	1.0
ˈi_t	ˈiː_s	1.0
ˈiː_#>	ˈeɪ̯_#>	1.0
ˈiː_nʲ	ˈeː_n	1.0
ˈyː_#>	ˈoː_#>	1.0
ˈyː_dʲ	ˈuː_d̥	1.0
ˈyː_s	ˈuː	1.0
ˈœ_dʲ	ˈoː_d̥	1.0
ˈɒː	ˈaː	1.0
ˈɔ	ˈɔ	1.0
ˈɔ_r	ˈoː	1.0
ˈɔu̯	ˈɔ	1.0
ˈɛ_tʲ	ˈøː_s	1.0
ˈɛː_d	ˈɛ_d	1.0
ˈʏ	ˈœ	1.0
ə	s	0.091
ə	d	0.091
ˈʊ	ˈa	0.231
<#_s	<#_ʃ	0.412
r	ʀ	0.692
v	v	0.462
ə	-	0.682
ˈa	-	0.182
ˈa	ˈɔ	0.182
ˈeː	ˈa	0.2
ˈeː	ˈœ	0.2
ˈyː	-	0.2
ˈyː	ˈo	0.2
ˈyː	ˈoː	0.2
ˈʊ	ˈo	0.462
k	ɕ	0.333
p	f	0.333
ˈa	ˈɪ	0.273
ˈi	ˈe	0.333
ˈiː	ˈeɪ̯	0.143
ˈuː	-	0.143
ˈuː	ˈoː	0.143
<#_t	<#_d	0.474
k_#>	ɕ_#>	0.714
p_#>	p_#>	0.4
v_#>	f_#>	0.4
ə_#>	#>	0.184
ˈa	ˈe	0.364
ˈiː	ˈeː	0.524
ˈuː	ˈuː	0.214
ˈuː	ˈaʊ̯	0.214
ˈyː	ˈuː	0.4
ˈɔː	ˈɔ	0.4
ˈɛː	ˈoː	0.4
ˈʊ	ˈɛ	0.154
ˈʊ	ˈɔ	0.154
<#	<#_d	0.25
<#	<#_ˈa	0.25
<#	<#_ʋ	0.5
<#_j	<#_l	0.25
<#_j	<#	0.375
<#_j	<#_j	0.375
d_#>	t_#>	0.25
d_#>	d̥_#>	0.75
i	ɕ	0.5
i	ɪ	0.5
n_#>	ŋ_#>	0.25
n_#>	n_#>	0.75
t	ʦ	0.25
t	s	0.25
t	t	0.5
x_t	ɕ	0.5
x_t	x	0.5
ˈi	ˈɛ	0.25
ˈi	ˈɪ	0.25
ˈiː	ˈyː	0.095
ˈœ	ˈa_ŋ	0.25
ˈœ	ˈa	0.375
ˈœ	ˈoː	0.375
ˈɒ	ˈaː	0.25
ˈɛi̯	ˈøː	0.5
ˈɛi̯	ˈiː	0.5
<#_t	<#_ʦ	0.526
k_#>	k_#>	0.286
n	ŋ	0.176
n	ŋ_ɡ̊	0.176
p_#>	f_#>	0.6
v_#>	v̥_#>	0.6
ə	ə	0.136
ə_#>	ə_#>	0.816
ˈeː	ˈɛ	0.6
ˈuː	ˈa	0.286
ˈøː	-	0.286
ˈøː	ˈuː	0.286
ˈɔː	ˈaː	0.6
ˈɛː	-	0.6
k	x	0.667
n	n	0.647
p	p	0.667
r	ʀ_ˈœ	0.077
r	ˈɛː_ɐ	0.077
r	ɐ	0.077
r	ˈeː_#>	0.077
ˈi	ˈiː	0.167
ˈɒ	ˈɛ	0.167
ˈɒ	ˈeː	0.167
ˈɒ	ˈa	0.417
<#_s	<#_z	0.588
v	ʋ	0.538
ˈiː	ˈiː	0.238
ˈøː	ˈyː	0.429
