Teochew	Teochew	probability
⁴⁴	⁴⁴	1.0
ʨʰ	ʨʰ	1.0
ɡ	ɲ	1.0
ŋ̍	ʋ_ɔ	1.0
¹¹	⁵³	1.0
³³	⁴⁴	1.0
²⁴	¹¹	1.0
²¹³	⁵³	1.0
w_e	i	1.0
ũ	a	1.0
u_j	i	1.0
tʰ	tʰ	1.0
p̚	p̚	1.0
pʰ	pʰ	1.0
õ	ɔ	1.0
o_w	i	1.0
n_i	n̩	1.0
n	l	1.0
j_a	a	1.0
ĩ	j	1.0
i_w	u	1.0
h_w	f	1.0
ẽ	a_ŋ	1.0
b	m	1.0
a_j	a_j	1.0
<#_ɡ	<#_ŋ	1.0
<#_kʰ	<#	1.0
<#_h	<#	1.0
²	¹	0.947
⁵⁵	¹¹	0.919
m	m	0.818
⁵²	³¹	0.786
u	u	0.733
i	i	0.722
ɯ	ɔ	0.714
⁴	⁵	0.7
ʣ	ɲ	0.667
ʦʰ	ʦʰ	0.636
l	l	0.625
j	j	0.6
p	p	0.571
e	a	0.571
ŋ	n	0.514
ʦ	s	0.5
ʔ	t̚	0.5
ʔ	k̚	0.5
³⁵	⁵³	0.5
³⁵	³¹	0.5
s	ɕ	0.5
s	s	0.5
ã	n	0.5
ã	a	0.5
ŋ	ŋ	0.486
k	k	0.467
h	h	0.455
k̚	t̚	0.429
k̚	k̚	0.429
ʦ	ʦ	0.4
j	-	0.4
l	n	0.375
kʰ	ç	0.375
kʰ	kʰ	0.375
h	f	0.364
ʣ	-	0.333
t	t	0.333
w	w	0.308
⁴	¹	0.3
ɯ	-	0.286
o	-	0.286
w	-	0.269
k	cʰ	0.267
k	c	0.267
kʰ	h	0.25
a	ʊ	0.231
a	a	0.231
t	ʦʰ	0.222
t	ʦ	0.222
t	tʰ	0.222
⁵²	⁴⁴	0.214
p	pʰ	0.214
p	f	0.214
a	ɔ	0.205
o	a_w	0.19
e	ɛ	0.19
ʦʰ	ʨʰ	0.182
ʦʰ	s	0.182
m	ʋ	0.182
h	j	0.182
i	z̩	0.167
w	j	0.154
o	ʊ	0.143
o	ɔ	0.143
o	o	0.143
k̚	ɛ_t̚	0.143
e	j_ʊ	0.143
u	i	0.133
u	a	0.133
a	o	0.128
w	u	0.115
i	-	0.111
ʦ	ʨ	0.1
o	a	0.095
e	-	0.095
⁵⁵	ŋ_¹¹	0.081
w	ʋ	0.077
w	o	0.077
a	j	0.077
a	e	0.077
²	²	0.053
a	-	0.051
