East Low German	Zeelandic	probability
ˈɛː	ˈeː	1.0
ˈɛ	ˈæ	1.0
ˈɔʏ̯	ˈuː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɒː	ˈɛː	1.0
ˈœː	ˈøː	1.0
ˈyː	ˈiː	1.0
ˈeː	ˈɪə̯	1.0
ɾ	-	1.0
ɪ	ɪ	1.0
ç_#>	x_#>	1.0
æ_n	ə_n	1.0
z	z	1.0
x	x	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	t	1.0
kʰ	k	1.0
h	-	1.0
b	b	1.0
l	ɫ	0.952
r	ɾ	0.909
ˈa	ˈɑ	0.864
ɡ	x	0.818
p	p	0.818
ˈuː	ˈyː	0.8
m	m	0.786
k	k	0.733
f	v	0.733
n	n	0.726
ˈɪ	ˈɪ	0.714
ˈɔ	ˈɔ	0.714
d	d	0.641
t	t	0.638
ʃ	s	0.636
ˈʊ	ˈɔ	0.615
j	x	0.6
ˈaʊ̯	ˈʊə̯	0.588
ŋ	ŋ	0.583
s	z̥	0.538
ˈiː	ˈi	0.529
ˈoː	ˈʊə̯	0.5
ˈoː	ˈɛː	0.5
ˈaː	ˈæ_ɾ	0.5
ˈaː	ɾ	0.5
æ	ɾ	0.5
s	s	0.462
æ	ə_ɾ	0.438
ˈʏ	ˈɪ	0.429
ˈae̯	ˈɪə̯	0.4
ˈae̯	ˈiː	0.4
j	j	0.4
d	d̥	0.359
ˈʏ	ˈʏ	0.286
ˈʏ	ˈɔ	0.286
ˈɪ	ˈi	0.286
ˈɔ	ˈøː	0.286
k	k_ə	0.267
f	v̥	0.267
t	d̥	0.255
ŋ	x_ə	0.25
ç	ŋ_k	0.25
ç	x_t	0.25
ç	x	0.25
ç	k	0.25
ˈiː	ˈiː	0.235
ˈaʊ̯	ˈuː	0.235
n	ə	0.233
ˈʊ	ˈu	0.231
ʃ	s_x	0.227
ˈuː	ˈʊə̯_ɾ	0.2
ˈae̯	ˈæi̯	0.2
ɡ	x_ə	0.182
p	p_ə	0.182
ˈaʊ̯	ˈu	0.176
ŋ	ŋ_k	0.167
ˈʊ	ˈʏ	0.154
ˈa	ˈɒː	0.136
ʃ	z	0.136
ˈiː	ˈæ	0.118
ˈiː	ˈyː	0.118
t	t_ə	0.106
r	ˈɔ	0.091
m	ə	0.071
m	v̥	0.071
m	v_ə	0.071
æ	ə	0.062
