Campidanese	Campidanese	probability
β_j	sː	1.0
ˈɔ_z	w	1.0
ˈu_ɾ	ˈyː	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_s	l_ˈeː	1.0
ˈe_l	ˈeː	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_ð	ˈɛː	1.0
ˈa_i	ˈaː	1.0
ʧ	s	1.0
ʦ	s	1.0
ɾ_ˈo	ˈɔː_r	1.0
ɾ_a	j_a	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
z_u	z_u	1.0
w	w	1.0
u_z	i	1.0
u_#>	#>	1.0
t_a	t_a	1.0
s_u	s_u	1.0
n_ʤ	ɲ	1.0
n_u_#>	ŋ_#>	1.0
m_a	m	1.0
l_ˈi	l_ˈe	1.0
l_a	a	1.0
j	-	1.0
ĭ	j	1.0
i_ɾ	e	1.0
i_n	e	1.0
f	f	1.0
ă	e	1.0
a_ð	ɥ	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ʤ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_f_ɾ	<#_ʃ	1.0
<#_a	<#	1.0
<#	<#_k	1.0
#>	a_#>	1.0
i_#>	#>	0.946
m	m	0.935
k	k	0.929
a	a	0.918
s	s	0.914
p	p	0.875
z	-	0.867
d	d	0.867
t	t	0.857
u	u	0.825
ʒ	ʒ	0.8
n	ŋ	0.756
r	r	0.75
ʃ	ʃ	0.714
ɭː	ʤ	0.667
nː	n	0.667
ˈa	ˈa	0.604
ŭ	-	0.6
o	-	0.6
b	v	0.576
ɾ	r	0.574
ɔ	-	0.571
ð	-	0.571
l	l	0.552
i	e	0.552
ɣ	ɡ	0.526
ɛ	e	0.5
ɛ	-	0.5
<#_ˈa	<#_ˈɛː	0.5
<#_ˈa	<#_ˈaː	0.5
l	-	0.448
ˈi	ˈi	0.441
ˈɛ	ˈe	0.438
β	v	0.429
ʤ	ʤ	0.429
ɔ	u	0.429
ŭ	ˈiː	0.4
o	j	0.4
b	b	0.364
ˈe	ˈeː	0.353
ˈe	ˈe	0.353
ɭː	l	0.333
nː	ɲ	0.333
e	j	0.333
e	e	0.333
e	-	0.333
ˈi	ˈe	0.324
ɾ	-	0.319
ˈo	ˈu	0.318
ɣ	ʤ	0.316
β	v_j	0.286
β	-	0.286
ʤ	z	0.286
ʤ	-	0.286
ʃ	s	0.286
ð	t	0.286
ˈo	ˈøː	0.273
ˈɔ	ˈu	0.25
ˈa	ˈaː	0.25
r	r_n	0.25
ˈu	ˈy	0.231
ˈu	ˈu	0.231
ˈu	ˈuː	0.205
ʒ	-	0.2
ˈɛ	ˈeː	0.188
ˈo	ˈɔ	0.182
ˈɔ	ˈøː	0.179
ˈɔ	ˈø	0.179
ˈɔ	ˈuː	0.179
ˈe	-	0.176
ɣ	-	0.158
ˈɛ	ˈɛ	0.156
ˈɛ	-	0.156
ˈu	ˈyː	0.154
n	n	0.146
ð	ˈɛː	0.143
i	i	0.138
ˈo	-	0.136
z	w	0.133
d	-	0.133
i	-	0.121
ˈi	ˈiː	0.118
ˈi	-	0.118
ˈe	ˈɛː	0.118
n	-	0.098
ˈo	ˈɔː	0.091
u	-	0.088
t	-	0.086
s	-	0.086
a	-	0.082
ˈu	ˈø	0.077
ˈɔ	ˈɔː	0.071
ˈɔ	ˈɔ	0.071
ˈɔ	w	0.071
k	-	0.071
i	v_e	0.069
i	j	0.069
m	-	0.065
ɾ	j	0.064
ˈɛ	r	0.062
ˈa	w	0.062
p	ʧ	0.062
p	-	0.062
b	ʒ	0.061
t	s	0.057
i_#>	ˈi_#>	0.054
i	ˈiː	0.052
ˈu	ˈɔ	0.051
ˈu	-	0.051
