Megleno-Romanian	Megleno-Romanian	probability
ʤ	ʤ	1.0
ʃ	-	1.0
ə_#>	#>	1.0
ɔ	v_ˈẽ	1.0
w_ˈo	ˈœ	1.0
u_r	ʀ	1.0
u_#>	#>	1.0
u	ə	1.0
r_ə	ʀ_ɔ	1.0
r_n	ʀ	1.0
p_t	j	1.0
p_#>	#>	1.0
o̯ˈa	w_ˈɔ	1.0
n_t	ŋ	1.0
m	m	1.0
l_o̯ˈa	l	1.0
k_ʎ	ʎ	1.0
k_#>	k_#>	1.0
j	-	1.0
f	f	1.0
b	b	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#	<#_ʤ	1.0
ə	ɔ	0.864
<#_n	<#_n	0.818
s	s	0.786
v	v	0.75
ɡ	ɡ	0.667
ˈe	ˈe	0.636
p	p	0.636
k	ʧ	0.636
r	ʀ	0.633
n	ŋ	0.625
i	-	0.618
l	l	0.615
ˈu	ˈu	0.6
ʎ	l	0.6
z	ʤ	0.6
<#_ˈa	<#_ˈa	0.6
ˈa	ˈa	0.591
ʦ	s	0.583
ˈɔ	ˈã	0.571
w	w	0.571
e̯ˈa	ˈɪ	0.556
d	d	0.556
#>	ɔ_#>	0.5
d	-	0.444
ˈɔ	ˈa	0.429
w	-	0.429
ʦ	-	0.417
ˈa	ˈe	0.409
ˈu	-	0.4
ʎ	ʎ	0.4
z	-	0.4
<#_ˈa	<#_ˈã	0.4
ˈo	ˈu	0.385
l	w	0.385
ˈi	ˈi	0.375
ˈi	ˈẽ	0.375
t	t	0.375
t	-	0.375
n	n	0.375
ˈe	ˈa	0.364
k	k	0.364
ɡ	-	0.333
#>	ə_#>	0.333
i	ə	0.324
ˈo	ˈɔ	0.308
ˈo	w_ˈɔ	0.308
v	vʲ	0.25
e̯ˈa	ˈe	0.222
e̯ˈa	-	0.222
s	ɪ	0.214
r	l	0.2
p	b	0.182
p	-	0.182
<#_n	<#	0.182
r	-	0.167
#>	k_#>	0.167
ə	ə	0.136
ˈi	ˈĩ	0.125
ˈi	-	0.125
t	ʧ	0.125
t	j_ʀ	0.125
i	ɒ	0.059
