Gallurese	Gallurese	probability
ˈɛ_m	ˈe_m	1.0
ˈɔ_n	ˈo	1.0
ˈu_tː	ˈo_ð	1.0
ˈi_u	ˈi_ʊ	1.0
ˈe_n	ˈe	1.0
ˈa_l	w	1.0
ʦː_u	θ_ʊ	1.0
ʦ	θ	1.0
ʣ	ʃ	1.0
ʒ	θ	1.0
ʃː	ʃ	1.0
ɲː_u	ɲ_ɐ	1.0
ɟ	ʃ	1.0
ŋ	ŋ	1.0
z	s	1.0
v	b	1.0
u_l	o	1.0
u_#>	#>	1.0
t_a	ð_ɐ	1.0
sː_u	s_ʊ	1.0
sː	ʃ	1.0
s	s	1.0
r_u	ɾ_ʊ	1.0
pː	β	1.0
p_u	p_ʊ	1.0
p_j	ʧ	1.0
p_a	β	1.0
nː	n	1.0
n_u	ŋ	1.0
n_i	ŋ	1.0
n_a	ɐ	1.0
mː_u	m_ɪ	1.0
mː	m	1.0
m	m	1.0
l_u	ʊ	1.0
kː	k	1.0
k_r	k_ɾ	1.0
i_d	ˈe	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʧ	1.0
f	f	1.0
e	-	1.0
cː	ɟ	1.0
c	ʧ	1.0
bː	β	1.0
a_t	a_ð	1.0
a_r	ɾ	1.0
a_n	v	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɟ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
r	ɾ	0.88
p	p	0.848
ˈa_#>	ˈa_ɾ_#>	0.846
ʧ	θ	0.833
ɖː	l	0.824
b	b	0.81
t	t	0.806
k	k	0.8
#>	ɾ_#>	0.75
ɲː	ɲ	0.714
u	ʊ	0.702
ɡ	ɣ	0.7
a	ɐ	0.7
ˈa	ˈa	0.673
ˈo	ˈo	0.667
r_a	ɾ_ɐ	0.667
n	n	0.655
ˈi	ˈi	0.65
d	d	0.636
ˈɔ	ˈɔ	0.618
rː	ɾ_n	0.6
ˈu	ˈu	0.583
ˈe	ˈe	0.583
tː	j_t	0.583
o	o	0.571
ˈɛ	ˈɛ	0.524
l	ɾ	0.516
ɟː	j	0.5
ɟː	-	0.5
m_u	m_ɪ	0.5
m_u	m_o	0.5
j	j	0.5
<#_ˈu	<#_ˈu	0.5
<#_ˈu	<#_ˈo	0.5
<#_a	<#_o	0.5
<#_a	<#	0.5
ˈɛ	ˈe	0.476
ˈu	ˈo	0.417
tː	t	0.417
rː	-	0.4
ˈɔ	ˈo	0.382
i	ɪ	0.378
d	-	0.364
ˈo	ˈɔ	0.333
r_a	ɐ	0.333
ɡ	ɡ	0.3
ˈe	ˈɛ	0.292
l	l	0.29
ɲː	n	0.286
o	ʊ	0.286
j	β_j	0.25
j	s_ˈo	0.25
#>	ɐ_#>	0.25
a	a	0.233
n	ɲ	0.207
ˈi	ˈe	0.2
t	ð	0.194
l	-	0.194
b	β	0.19
ˈa	ˈɑ	0.184
i	i	0.178
ɖː	-	0.176
ʧ	-	0.167
i	e	0.156
ˈa_#>	#>	0.154
p	β	0.152
k	ɣ	0.15
o	ɔ	0.143
n	-	0.138
ˈe	ɾ	0.125
r	r	0.12
i	-	0.111
ˈi	ˈe_ɾ	0.1
u	ɪ	0.095
i	β_ɪ	0.067
i	o_s	0.067
ˈa	ˈɛ	0.061
