Fuzhounese	Fuzhounese	probability
⁵	⁴	1.0
ɥ_ʔ	k̚	1.0
ɥ_ŋ	ŋ	1.0
ɛ_j	i	1.0
ɔ_ʔ	ʔ	1.0
ɔ_ŋ	ŋ̍	1.0
³³	⁵³	1.0
²⁴²_#>	#>	1.0
²⁴²	³³	1.0
²¹³	¹¹	1.0
w_ʔ	t̚	1.0
w_ɔ	ɔ	1.0
w_ŋ	ŋ̍	1.0
w_o	ɔ	1.0
u_j	e	1.0
tʰ_o	tʰ	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p_w	p	1.0
p	p	1.0
m_w	m	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_²⁴²	²²	1.0
j_e	i	1.0
h	h	1.0
e_ŋ	ĩ	1.0
e_w	o	1.0
e	w	1.0
a_ŋ	ã	1.0
<#_ŋ	<#_ɡ	1.0
⁵³	²⁴	0.975
²⁴	³²	0.947
⁵⁵	⁴⁴	0.941
i	i	0.846
ø	a	0.778
u	u	0.778
nˡ	l	0.778
ɛ	j	0.75
o_ŋ	ŋ̍	0.75
m	b	0.714
y	u	0.667
o_w	ɔ	0.667
ʦʰ	ʦʰ	0.636
ɑ	a	0.615
ɔ	a	0.6
s	ɕ	0.538
ɥ	j	0.5
ɥ	-	0.5
w	w	0.5
<#	<#_l	0.5
<#	<#_h	0.5
a	a	0.48
ʦ	ʦ	0.455
j	-	0.423
ʔ	ʔ	0.421
ɔ	ɔ	0.4
j	j	0.385
o	o	0.375
o	-	0.375
ʔ	k̚	0.368
ʦʰ	ʨʰ	0.364
ʦ	ʨ	0.364
ŋ	n	0.343
y	ɪ	0.333
o_w	u	0.333
ɑ	-	0.308
s	s	0.308
ŋ	ŋ	0.286
m	m	0.286
ɛ	a_j	0.25
o_ŋ	w̃	0.25
a	e	0.24
ø	-	0.222
u	ɔ	0.222
nˡ	-	0.222
ʔ	t̚	0.211
o	u	0.188
ʦ	-	0.182
ŋ	ã	0.171
a	j	0.16
w	-	0.156
s	ʨ	0.154
j	ɪ	0.154
i	a_j	0.154
ŋ	m	0.143
a	w	0.12
w	j	0.094
w	e	0.094
ɑ	j̃	0.077
w	u	0.062
w	o	0.062
o	ɔ̃	0.062
⁵⁵	³³	0.059
ŋ	ĩ	0.057
²⁴	⁵	0.053
