Western Lombard	Gascon	probability
ĩ	i	1.0
w	w	1.0
z	z	1.0
ɲ	ɲ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈĩː	ˈi_ŋ	1.0
ˈɛ̃ː	ˈe	1.0
d	ð	0.411
j	-	0.111
s	s	0.681
t	n	0.221
u	-	0.091
ʦ	s	0.61
ʧ	s	0.51
ˈa	ˈa	0.931
ˈẽː	ˈe_n	0.651
b	b	0.772
f	h	0.832
j	j	0.252
p	p	0.972
r	ɾ	0.502
t	t	0.762
u	e	0.082
ɡ	ɡ	0.542
ʃ	<#_a	0.142
ʧ	-	0.352
ˈø	ˈe	0.32
ˈø	ˈu	0.422
a	-	0.053
a	a	0.213
l	w	0.223
n	n	0.953
s	ʦ	0.143
ˈãː	ˈa_ŋ	0.753
e	e	0.814
i	-	0.384
ʋ	b	0.634
ˈe	ˈe	0.524
ˈyː	ˈu	0.574
a	ɔ	0.65
e	u	0.095
l	l	0.515
ʤ	-	0.075
ˈũː	ˈy	0.075
ˈũː	ˈu_ŋ	0.925
ˈy	ˈy	0.955
ˈɔ	ˈa_w	0.135
d	-	0.056
i	e	0.616
m	m	0.856
s	j_ʃ	0.176
ˈe	ˈɛ	0.476
ˈu	ˈu	0.786
j	l	0.637
l	t	0.217
m	-	0.107
ˈãː	ˈa	0.247
ˈu	ˈɔ	0.067
ˈu	ˈy	0.147
ˈyː	ˈy	0.387
ˈøː	s_#>	0.227
ˈøː	e_#>	0.227
ˈøː	ˈa	0.337
ˈɔ	ˈe	0.087
b	β	0.228
f	w	0.168
u	u	0.708
ɡ	ɣ	0.458
ʃ	s	0.858
ʧ	t	0.138
ˈi	ˈi	0.908
ˈø	ˈɔ	0.258
ˈɔ	ˈɔ	0.778
ˈɛ	ˈe	0.178
d	d	0.499
k	k	0.979
r	r	0.449
u	a	0.119
ʋ	β	0.319
ʤ	ʒ	0.889
ʦ	w	0.39
ˈẽː	ˈe	0.349
ˈøː	ŋ_#>	0.209
ˈɛ	ˈɛ	0.809
