Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈiː	1.0
ˈɔʏ̯	ˈiː	1.0
ˈœ	-	1.0
ˈøː	ˈɪ	1.0
ˈuː_æ	ˈɔː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈeː	ˈəʊ̯	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaɪ̯	ˈiː_z	1.0
ˈae̯_ŋ	ˈaɪ̯	1.0
ˈa_l	ˈɑː	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊	-	1.0
ɡ_l	ɫ	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z_ˈɪ	s_ˈɪ	1.0
z	s	1.0
x_t	t	1.0
x	ˈaɪ̯	1.0
w	w	1.0
v̥_#>	f_#>	1.0
tʰ	tʰ	1.0
r_ˈʏ	ɜː	1.0
r	ɹ	1.0
pʰ	pʰ	1.0
p	p	1.0
n_n	n	1.0
m	m	1.0
kʰ_n	n	1.0
k_#>	#>	1.0
h	h	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_n	d	1.0
b_m	v	1.0
b	b	1.0
ae̯	ˈiː	1.0
<#_ˈuː	<#_ˈaʊ̯	1.0
f	f	0.92
v	w	0.913
t	t	0.825
s	s	0.778
ˈiː	ˈaɪ̯	0.769
k	k	0.765
æ	ə	0.758
ɡ	ɡ	0.727
ˈɛː	-	0.714
ɾ	ð	0.714
ˈoː	-	0.667
kʰ	kʰ	0.667
ˈʊ	ˈɐ	0.643
ˈaː	ˈɑː	0.625
ˈʏ	ˈɪ	0.6
ˈœː	-	0.6
ˈyː	ˈɪ	0.6
ˈuː	ˈaʊ̯	0.583
l	l	0.578
n	n	0.558
ˈɛ	ˈe	0.545
ʃ	ʃ	0.542
d	d	0.536
j	ɡ	0.5
j	j	0.5
#>	θ_#>	0.5
#>	f_#>	0.5
d	θ	0.464
ʃ	s	0.458
ˈɪ	ˈɪ	0.44
l	ɫ	0.422
ˈa	ˈæ	0.409
ˈɔ	ˈɒ	0.4
ˈœː	ˈɐ	0.4
ˈyː	ˈaɪ̯	0.4
ˈɒː	-	0.375
ˈaː	-	0.375
ˈɪ	ˈaɪ̯	0.36
n	-	0.351
ˈoː	ˈɛ	0.333
ˈae̯	ˈəʊ̯	0.333
ç	ʤ	0.333
kʰ	ʧ	0.333
ˈɒː	ˈiː	0.312
ˈɒː	ˈeɪ̯	0.312
ˈɛː	ˈiː	0.286
ˈae̯	ˈiː	0.286
ɾ	-	0.286
ˈɛ	-	0.273
ɡ	-	0.273
ˈuː	ˈɐ	0.25
k	ʧ	0.235
ˈiː	ˈɪ	0.231
ç	ˈaʊ̯	0.222
ç	ˈaɪ̯	0.222
ç	t	0.222
s	k_s	0.222
ˈʊ	ˈʊ	0.214
ˈʏ	ˈɐ	0.2
ˈʏ	-	0.2
ˈɔ	ˈəʊ̯	0.2
ˈɔ	ˈɐ	0.2
ˈɔ	-	0.2
ˈaʊ̯	ˈuː	0.2
ˈaʊ̯	ˈiː	0.2
ˈae̯	ˈe	0.19
ˈɛ	ˈɪ	0.182
ˈa	ˈeɪ̯	0.182
ˈuː	-	0.167
ˈaʊ̯	ˈʊ	0.15
ˈaʊ̯	ˈe	0.15
ˈʊ	-	0.143
ˈa	-	0.136
æ	-	0.121
ˈɪ	-	0.12
ˈaʊ̯	ˈəʊ̯	0.1
ˈaʊ̯	ˈɐ	0.1
ˈaʊ̯	-	0.1
ˈae̯	ˈɪ	0.095
ˈae̯	-	0.095
ˈa	ˈɔː	0.091
ˈa	ˈɒ	0.091
ˈa	ˈɑː	0.091
v	w_ˈɔː	0.087
ˈɪ	ˈəʊ̯	0.08
f	v	0.08
t	-	0.075
æ	ˈɔː	0.061
æ	ɡ_ə	0.061
n	n_d	0.052
