Swabian	Mecklenburgisch-Vorpommersch	probability
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɛ_ʕ	ˈaː	1.0
ˈɔe̯	ˈae̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈiː	-	1.0
ˈeə̯	-	1.0
ˈae̯_#>	ˈae̯_#>	1.0
ˈa_ʕ	ˈaː	1.0
ʕ_n	æ_n	1.0
ʌ	æ	1.0
ɪ	ɪ	1.0
ɡ_s	s	1.0
ɡ_a	ŋ	1.0
ɡ_#>	ç_#>	1.0
ŋ	ŋ	1.0
ç_d	ç	1.0
ç	k	1.0
t	d̥	1.0
s_a	t_n	1.0
n_d	n	1.0
m	m	1.0
l_e	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
d_a	nː	1.0
b̥͡f	-	1.0
b_a	m	1.0
b_#>	v̥_#>	1.0
b	b	1.0
a_#>	#>	1.0
a	n	0.895
n	n	0.889
ʃ	ʃ	0.862
ʋ	v	0.792
ʁ	r	0.786
ˈuə̯	ˈaʊ̯	0.778
ˈae̯	-	0.75
ʕ	æ	0.75
ˈiə̯	ˈae̯	0.714
ˈaː	-	0.7
ˈa	ˈa	0.692
ˈi	ˈɪ	0.667
ˈao̯	ˈuː	0.667
ˈəi̯	ˈiː	0.643
ʦ	tʰ	0.6
ˈo	ˈʊ	0.588
ˈe	ˈɪ	0.571
x	x	0.556
ˈɔː	ˈɒː	0.5
ˈeː	n	0.5
ˈeː	-	0.5
f_a	p_n	0.5
f_a	m	0.5
#>	n_#>	0.5
ɡ	ɡ	0.481
ˈoː	ˈaʊ̯	0.455
s	z	0.452
ˈu	-	0.444
x	k	0.444
ˈɔ	ˈɔ	0.429
ˈe	-	0.429
d	d	0.408
ʦ	t	0.4
ˈɛ	ˈɛ	0.375
ˈoː	ˈɒː	0.364
d	d̥	0.338
ˈu	ˈʏ	0.333
s	t	0.31
ˈaː	ˈɒː	0.3
ˈɔ	ˈuː	0.286
ˈɔ	-	0.286
ˈiə̯	ˈɔʏ̯	0.286
ˈɔː	ˈoː	0.25
ˈɔː	-	0.25
ˈae̯	ˈʏ	0.25
ʕ	-	0.25
ˈo	-	0.235
ˈuə̯	ˈɔʏ̯	0.222
ˈu	ˈɔ	0.222
ˈao̯	ˈaʊ̯	0.222
ɡ	k	0.222
ˈəi̯	ˈyː	0.214
#>	t_#>	0.214
ˈi	-	0.2
s	z̥	0.19
ˈɛ	ˈɛː	0.188
ˈɛ	-	0.188
ˈoː	-	0.182
ˈo	ˈɔ	0.176
d	t	0.169
ˈa	ˈɒː	0.154
ˈəi̯	ˈɪ	0.143
#>	ç_#>	0.143
#>	k_#>	0.143
ʃ	s	0.138
ˈi	ˈiː	0.133
ˈɛ	ˈiː	0.125
ˈɛ	ˈa	0.125
ʋ	w	0.125
ˈao̯	-	0.111
ɡ	ˈɛ	0.111
ɡ	j	0.111
n	-	0.111
ʁ	r_ˈɔʏ̯	0.107
ʁ	-	0.107
a	ŋ	0.105
d	ɾ	0.085
ʋ	v_ˈɪ	0.083
ˈa	ˈɔ	0.077
ˈa	-	0.077
ɡ	ɣ̊	0.074
