Logudorese	Logudorese	probability
ˈɛ_ɾ	j_ˈɛ	1.0
ˈɔ_ɾ	w_ˈa	1.0
ˈɔ_ɛ	ˈuː	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈu_ɾ	ˈuː	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_ɣ	ˈøː	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɛ	ˈiː	1.0
ˈi_n	ˈẽ	1.0
ˈe_ɖː	j	1.0
ˈa_ɾ	ˈiː	1.0
ˈa_ð	ˈɛː	1.0
ˈa_n	ˈɑ̃	1.0
ʣ_a	j	1.0
ʣ	-	1.0
ʃ	-	1.0
ɾ_ɛ	ˈe	1.0
ɾ_t	ˈa_ʀ	1.0
ɲ	ɲ	1.0
ɣ_ɛ	ˈɛ	1.0
ɛ_#>	#>	1.0
ɖː_a	j	1.0
ɖː	-	1.0
ɔ̆_#>	#>	1.0
ɔ̆	ˈoː_t	1.0
ɔ_n	ɔ̃	1.0
ŋ	-	1.0
ð_ɛ	ˈe	1.0
ð	-	1.0
z	-	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ˈa	t	1.0
s_ˈa	s	1.0
s_t	s	1.0
s_k	ʃ	1.0
r	-	1.0
n_ʣ	ɲ	1.0
n_ɛ	ˈẽ	1.0
n_t	ˈɛ̃	1.0
n_a	n	1.0
m_i	m	1.0
l_ˈa	l	1.0
l_a	j	1.0
k_a	ʧ	1.0
j_z	z	1.0
i_m	ẽ	1.0
f	f	1.0
e_n	ɛ̃	1.0
e	-	1.0
b_ˈi	v	1.0
b_e	ɲː	1.0
ă	-	1.0
a_ʣ	ɛː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
p	p	0.931
l	l	0.821
m	m	0.818
ɣ	-	0.812
ɔ	-	0.8
s	s	0.741
ɡ	-	0.714
d	d	0.714
ʦ	s	0.667
<#_i	<#	0.667
ɛ	-	0.63
β	f	0.6
ˈe	-	0.6
i	-	0.6
<#	<#_k	0.6
ɾ	ʀ	0.593
t	t	0.577
j	-	0.545
ˈo	ˈɔ	0.5
nː	n	0.5
nː	-	0.5
ˈi	ˈɛ	0.452
k	k	0.452
b	v	0.417
β	-	0.4
ˈe	ˈɛ	0.4
<#	<#_a	0.4
b	b	0.389
t	-	0.346
ʦ	-	0.333
<#_i	<#_ɛ	0.333
k	ʧ	0.323
ˈu	ˈɔ	0.316
ˈo	ˈuː	0.3
u	ˈa	0.294
u	-	0.294
ɡ	ɡ	0.286
d	-	0.286
ˈa	ˈa	0.275
j	l	0.273
ˈu	ˈu	0.263
ɾ	-	0.254
ˈa	ˈɔː	0.25
ˈɔ	ˈuː	0.24
ˈɔ	ɔ	0.24
n	ˈɛ̃ː	0.231
n	ˈɛ̃	0.231
n	-	0.231
a	a	0.214
ˈu	ˈøː	0.211
ˈɛ	ˈiː	0.208
ˈo	ˈoː	0.2
ɔ	ɔ	0.2
i	ɛ	0.2
i	s	0.2
ˈi	w	0.194
ɣ	ˈɛ	0.188
s	ʃ	0.185
m	-	0.182
j	j	0.182
l	-	0.179
a	n	0.179
a	j	0.179
a	-	0.179
u	ˈɛ	0.176
ˈɛ	w	0.167
ˈɛ	-	0.167
ˈi	ˈi	0.161
ˈɔ	ˈɔ	0.16
n	ɲ	0.154
n	n	0.154
ˈa	-	0.15
ɛ	j	0.148
k	s	0.129
ˈɛ	ˈɛ	0.125
ˈɛ	ˈi	0.125
ˈɛ	j	0.125
ˈɔ	w	0.12
ɾ	l	0.119
u	ɔ	0.118
u	j	0.118
a	w	0.107
ˈu	ˈy	0.105
ˈu	w	0.105
ˈi	ˈiː	0.097
ˈi	-	0.097
k	-	0.097
ˈɛ	j_ˈɛ	0.083
b	ɡ	0.083
ˈɔ	ˈɔ̃	0.08
ˈɔ	ˈøː	0.08
ˈɔ	-	0.08
t	s	0.077
ˈa	ˈe	0.075
ˈa	ɛ	0.075
ˈa	w	0.075
ɛ	ˈi	0.074
ɛ	ʀ	0.074
ɛ	j_ˈa	0.074
s	-	0.074
a	ɛ	0.071
a	f	0.071
p	-	0.069
b	ʤ	0.056
b	k_w	0.056
