Western Lombard	Western Lombard	probability
ˈøː_l	ʎ	1.0
ˈyː	ˈu	1.0
ˈo	o̯ˈa_m	1.0
ˈĩ	ˈi	1.0
ˈiː	ˈi	1.0
ˈe	-	1.0
ˈã	ˈɨ_n	1.0
ʧ_#>	#>	1.0
ʧ	k_ʎ	1.0
ʤ_a	ʎ_i	1.0
ʃ	ɲ	1.0
z	z	1.0
w	-	1.0
s_t	s_t	1.0
s_#>	#>	1.0
r_n	r_n	1.0
r_a	r	1.0
l_#>	r_#>	1.0
k_u	k_u	1.0
ẽ	n_i	1.0
e_r	r_u	1.0
a_d	ə_t	1.0
<#_ˈœ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʦ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_a	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
k	k	0.917
a	ə	0.897
p	p	0.882
n	n	0.882
b	b	0.833
e	i	0.818
r	r	0.789
m	m	0.765
ˈøː	ˈo	0.667
ˈũ	ˈu_n	0.667
i	i	0.667
u	u	0.625
k_#>	k_#>	0.625
t	t	0.619
ˈɑː	ˈa	0.6
ˈẽ	ˈi_n	0.6
ɲ	ɲ	0.6
#>	i_#>	0.573
ˈuː	ˈu	0.556
ˈeː	e̯ˈa	0.545
s	s	0.541
ˈɔ	ˈo	0.5
ʒ	ʤ	0.5
ʒ	-	0.5
v	j	0.5
l	l	0.5
d	d	0.5
<#	<#_a	0.5
j	l	0.462
ˈu	ˈu	0.455
ˈi	-	0.455
ˈa	ˈa	0.444
f	f	0.409
ˈẽ	ˈi_m	0.4
ɲ	m	0.4
ɡ	b	0.375
ɡ	-	0.375
v	v	0.375
u	-	0.375
k_#>	#>	0.375
ˈi	ˈi_r	0.364
ˈøː	-	0.333
ˈũ	ˈu_ŋ	0.333
i	-	0.333
ˈɛ	ˈe	0.32
j	-	0.308
ˈɛ	e̯ˈa	0.28
ˈa	ˈa_r	0.278
l	r	0.278
ˈu	ˈo	0.273
ˈu	o̯ˈa	0.273
ˈeː	ˈe	0.273
ɡ	ɡ	0.25
d	ʣ	0.25
d	t	0.25
<#	<#_ˈa	0.25
<#	<#_ʣ	0.25
m	ɲ	0.235
j	ˈi	0.231
f	ç	0.227
f	w	0.227
ˈuː	ˈo	0.222
ˈuː	-	0.222
ˈɔ	o̯ˈa	0.214
ˈɛ	ˈa	0.2
t	p_t	0.19
#>	u_#>	0.187
ˈi	ˈi	0.182
ˈeː	ˈa	0.182
e	-	0.182
ˈa	-	0.167
b	-	0.167
ˈɔ	ˈu	0.143
ˈɔ	-	0.143
f	-	0.136
s	ʦ_i	0.135
s	ʃ	0.135
ˈɑː	ˈɨ	0.133
ˈɑː	ˈa_r	0.133
ˈɑː	-	0.133
#>	ə_#>	0.133
v	r	0.125
ˈɛ	e̯ˈa_r	0.12
p	k	0.118
n	-	0.118
ˈa	r	0.111
l	ʎ	0.111
l	-	0.111
a	-	0.103
t	d	0.095
t	-	0.095
k	u	0.083
s	ʃ_t	0.081
ˈɛ	-	0.08
r	u_r	0.079
r	-	0.079
s	ʦ	0.054
s	t	0.054
r	r_u	0.053
#>	k_#>	0.053
