Auvergnat	Auvergnat	probability
ˈɪ̃_ŋ	ã	1.0
ˈɛ	oʊ̯	1.0
ˈɔ̃	ɒ̃ʊ̯̃	1.0
ˈɔ_k	øʏ̯	1.0
ˈỹ	œ̃ʏ̯̃	1.0
ˈũ	ɒ̃ʊ̯̃	1.0
ˈĩ	ẽɪ̯̃	1.0
ˈẽ_ŋ	ã	1.0
ˈe_s	i	1.0
ˈe_l	oʊ̯	1.0
ˈe_j	æɛ̯	1.0
ˈã_ŋ	ã	1.0
ˈã	ẽɪ̯̃	1.0
ˈa_w	oʊ̯	1.0
ˈa_s	æɛ̯	1.0
ˈa_l	ɛ_l	1.0
ˈa_#>	e_#>	1.0
ʒ	z	1.0
ʎ_#>	#>	1.0
ʃ	-	1.0
ʀ_ə	ɛ_ʁ	1.0
ɥ	ɥ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	i	1.0
œ	-	1.0
ŋ_#>	#>	1.0
ŋ	ẽɪ̯̃	1.0
w_ˈɔ̃	ɒ̃ʊ̯̃	1.0
w_ˈẽ	w	1.0
vʲ	v	1.0
v_ˈa	v_a	1.0
v	v	1.0
ũ	-	1.0
t_ɔ_#>	t_#>	1.0
t	t	1.0
s_ɔ_#>	s_#>	1.0
s	s	1.0
pʲ	p_w	1.0
p	p	1.0
n_w	n	1.0
n	n	1.0
mʲ	m	1.0
m_#>	#>	1.0
lː	l	1.0
l_#>	#>	1.0
l	l	1.0
k_w	k	1.0
k_#>	#>	1.0
j_ˈɔ	œ	1.0
j_#>	ɛ_#>	1.0
ĩ	-	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
e	-	1.0
dʲ	ʣ	1.0
b_ʀ	v_ʁ	1.0
b_ɔ_#>	b_#>	1.0
b_w	b	1.0
b	b	1.0
ã_ŋ	ã	1.0
a	a	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɪ	<#_e	1.0
<#	<#_e	1.0
ʀ	ʁ	0.939
m	m	0.923
k	k	0.905
w	-	0.8
ʤ	ʒ	0.762
s_#>	#>	0.75
ʧ	ʃ	0.741
ɡ	ɡ	0.727
ˈœ	ɥ	0.714
ʎ	j	0.714
ˈy	y	0.667
d	d	0.636
z	-	0.6
w_#>	#>	0.556
j	i	0.538
ˈɔ	œ	0.5
ˈɔ	-	0.5
ˈu	u	0.5
ɲ	ɲ	0.5
ɲ	ẽɪ̯̃	0.5
ˈi	ɪ	0.474
w_ˈɔ	ɑɔ̯	0.462
u	u	0.455
w_#>	f_#>	0.444
ɒ	a	0.412
z	z	0.4
d	-	0.364
ˈy	ʏ	0.333
ˈa	æɛ̯	0.333
ˈa	a	0.333
ə	œ	0.316
w_ˈɔ	ɔ	0.308
ɒ	æɛ̯	0.294
ˈœ	œ	0.286
ˈe	æɛ̯	0.286
ɡ	-	0.273
u	ɔ	0.273
u	-	0.273
ˈi	i_ʁ	0.263
ˈi	i	0.263
ə	-	0.263
ˈɪ	-	0.261
s_#>	ɛ_#>	0.25
ʤ	-	0.238
w_ˈɔ	o	0.231
ˈɪ	ɛ	0.217
ˈɪ	w	0.217
ˈe	-	0.214
w	v	0.2
ɒ	œ	0.176
ˈɪ	w_ɛ	0.174
ˈu	aœ̯_ʁ	0.154
ˈu	-	0.154
j	ɛ	0.154
j	œ	0.154
j	-	0.154
ʧ	-	0.148
ʎ	øʏ̯	0.143
ʎ	l	0.143
ˈɪ	æɛ̯	0.13
ˈa	-	0.121
ɒ	-	0.118
ˈu	w	0.115
ʧ	ʦ	0.111
ˈe	ɛɪ̯	0.107
ˈe	ɛ	0.107
ˈe	w	0.107
ˈe	j	0.107
ə	ʁ	0.105
ə	ɛ_ʁ	0.105
ə	ɛ	0.105
ə	w_ɛ	0.105
k	øʏ̯	0.095
ˈa	e	0.091
ˈu	ʊ	0.077
m	-	0.077
ˈe	j_e	0.071
ˈa	ɛ	0.061
ˈa	ɑ	0.061
