Occitan	Romansch	probability
<#_a_w	<#_u	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_ʃ	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ_ˈɛ	<#_ˈɛ	1.0
<#_ʤ	<#_ʃ	1.0
<#_ˈe	<#_ˈe	1.0
a	ə	1.0
d_ɾ	d_ə	1.0
e_#>	r_#>	1.0
i	-	1.0
j_s	ʃ_ə	1.0
j_ɾ_e	r	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_ɔ	ʨ_ə	1.0
l	l	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_t	1.0
r	r	1.0
r_#>	r_n	1.0
r_k	r_ʨ	1.0
s_p	p	1.0
t_#>	t_#>	1.0
t_ɾ	t_ə	1.0
v	ʒ_ɡ	1.0
w_ɾ	v_ə	1.0
y	i	1.0
ð	d	1.0
ŋ_k_#>	ŋ_#>	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɔ_#>	ə_#>	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɾ_ˈa	r_ˈɔ	1.0
ʎ	ʎ	1.0
ʤ	ʥ	1.0
ʤ_e	d_i	1.0
ˈa_#>	w_n	1.0
ˈa_w	ˈa_w	1.0
ˈa_ɣ	ˈaː	1.0
ˈe_#>	j_n	1.0
ˈi_#>	ˈi_n	1.0
ˈu_#>	ˈu_n	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_l_#>	ˈɛː_#>	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_r	ˈɛː_r	1.0
β	v	1.0
e	-	0.381
ˈɛ	ˈɛː	0.071
<#_s	<#_s	0.742
<#_ˈa	<#_ˈɔ	0.222
ˈy	ˈu	0.182
<#_a	<#	0.333
e	ə	0.333
n	-	0.083
ɾ	r_ə	0.103
ˈɔ	ˈu	0.133
ˈɔ	ˈɔ	0.333
ˈɔ	ˈɔː	0.533
ˈɛ	j	0.143
ˈɛ	ˈɛ	0.393
<#_k	<#_k	0.444
j	-	0.444
u	-	0.154
ɔ	-	0.714
ˈe	ˈe	0.174
ˈe	ˈeː	0.174
ˈi	ˈiː	0.64
ˈy	ˈi	0.364
#>	i_#>	0.065
#>	r_#>	0.935
<#_l	<#_ʎ	0.125
<#_l	<#_l	0.875
e	ˈu	0.095
e	i	0.095
e	e	0.095
k_#>	w_#>	0.5
k_#>	k_#>	0.5
l_#>	ʎ_#>	0.35
l_#>	l_#>	0.65
s	ʃ	0.25
s	ʧ	0.25
s	s	0.5
s_t	s_t	0.5
s_t	t	0.5
t	-	0.25
t	t	0.75
w	-	0.5
w	w	0.5
w_#>	w_#>	0.25
w_#>	f_#>	0.75
z	-	0.5
z	ʃ	0.5
ɥ_ˈɔ	ˈɔ	0.5
ɥ_ˈɔ	j_ˈɛ	0.5
ʦ_#>	ʦ_#>	0.25
ʦ_#>	ʃ_#>	0.75
ʧ_#>	ʦ_#>	0.25
ʧ_#>	ʨ_#>	0.75
ˈa	ˈɔ	0.055
ˈa	-	0.055
ˈe	ˈa_j	0.565
ˈe_k	ˈi_ʨ	0.5
ˈe_k	ˈe_ʨ	0.5
ˈu	ˈuɔ̯	0.065
ˈu	ˈu	0.645
ˈy	ˈiː	0.455
<#_k	<#_ʨ	0.556
j	j	0.556
s_#>	s_#>	0.826
ɔ	n	0.286
ˈa	ˈa	0.436
<#_a	<#_ə	0.667
n	n	0.917
s_#>	ʧ_#>	0.087
s_#>	p_#>	0.087
ɾ	-	0.207
ˈe	ˈɛ	0.087
ˈɛ	ˈe	0.107
ˈɛ	ˈeː	0.107
<#_s	<#_ʧ	0.258
<#_ˈa	<#_ˈa	0.778
u	o	0.308
u	u	0.538
ˈa	ˈaː	0.418
ˈi	ə	0.08
ˈi	ˈi	0.28
ɾ	r	0.69
ˈu	ˈuː	0.29
ˈɛ	ˈiə̯	0.179
