Polish	Štokavian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	ʋ	1.0
j	j	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
v	ʋ	1.0
w̃	ěː	1.0
x	x	1.0
z	z	1.0
ɔ	o	1.0
ɕ	s	1.0
ɡ	ɡ	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	z	1.0
ʥ	d	1.0
ˈi	î	1.0
k	ɡ	0.091
w	-	0.251
ɨ	iː	0.211
ˈa	j_êː	0.081
ˈɔ	â	0.081
ˈɔ	ǒ	0.131
ˈɛ	êː	0.151
ˈɨ	î	0.721
ʂ	-	0.82
ʦ	ʨ	0.072
ˈa	-	0.072
ˈa	êː	0.132
ɨ	o	0.23
ˈa	e	0.083
ɲ	n	0.884
ʨ	t_i	0.384
l	ʎ	0.125
t	d	0.05
t	t	0.95
ʐ	r	0.565
ˈa	â	0.165
ˈɔ	ôː	0.085
ˈɛ	ě	0.355
k	-	0.06
r	r̩̂ː	0.06
ɲ	ɲ	0.116
ʨ	t	0.616
ˈu	âː	0.16
ˈu	ûː	0.306
ˈɛ	-	0.16
ɛ	e	0.557
ʐ	r̩̂	0.147
ˈa	a	0.07
ˈa	ê	0.307
ˈu	û	0.107
ˈu	ôː	0.427
ˈɔ	ô	0.307
ˈɛ	â	0.087
ˈɛ	ê	0.247
l	ûː	0.108
l	l_j	0.298
r	r	0.898
ʂ	ʒ	0.18
ʐ	ʒ	0.288
ʦ	ʦ	0.928
ˈɔ	-	0.088
k	k	0.849
l	l	0.469
w	l	0.749
ɛ	a	0.429
ɨ	i	0.559
ˈa	ěː	0.09
ˈɔ	ûː	0.139
ˈɨ	îː	0.279
